item,Description,size decimal,cost,chop,join,group
ANRDNAT212,CFC Angles Red/Natural 2 1/2,2.5,21.00,21.00,21.00,Wood
ANRDTL212,"CFC Angles Red/Teal 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANRDWHT212,"CFC Angles Red/White 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANSB1CUST,"Angles Shadow Box 1"" Deep",2.5,25.00,25.00,25.00,Wood
ANSB2CUST,"Angles Shadow Box 2"" Deep",2.5,28.00,28.00,28.00,Wood
ANSB3CUST,"Angles Shadow Box 3"" Deep",2.5,30.00,30.00,30.00,Wood
ANSB4CUST,"Angles Shadow Box 4"" Deep",2.5,32.00,32.00,32.00,Wood
ANSG212,"CFC Angles Sage/Sage 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANSGBK212,"CFC Angles Sage/Black 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANSGGLD212,"CFC Angles Sage / Gold 2 1/2""",2.5,25.00,25.00,25.00,Wood
ANSGNAT212,"CFC Angles Sage/Natural 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANSGWHT212,"CFC Angles Sage/White 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANTL212,"CFC Angles Teal/Teal 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANTLBK212,"CFC Angles Teal/Black 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANTLGLD212,"CFC Angles Teal / Gold 2 1/2""",2.5,25.00,25.00,25.00,Wood
ANTLNAT212,"CFC Angles Teal/Natural 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANTLRD212,"CFC Angles Teal/Red 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANTRQNAT212,CFC Angles Turquoise/Natural 2 1/2,2.5,21.00,21.00,21.00,Wood
ANTRQOR212,"CFC Angles Turquoise / Orange 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANTURQ212,"CFC Angles Turquoise / Turquoise 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANTURQGLD212,"CFC Angles Turquoise / Gold 2 1/2""",2.5,25.00,25.00,25.00,Wood
ANTURQWHT212,"CFC Angles Turquoise / White 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANWHT212,"CFC Angles White/White 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANWHTBRN212,"CFC Angles White/Brown 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANWHTDRKGRN212,"CFC Angles White/Dark Green 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANWHTGRY212,"CFC Angles White/Gray 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANWHTLEN212,"CFC Angles White/Lentil 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANWHTNAT212,"CFC Angles White/Natural 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANWHTOR212,"CFC Angles White/Orange 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANWHTPNK212,"CFC Angles White/Pink 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANWHTPRP212,"CFC Angles White/Purple 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANWHTPUT212,"CFC Angles White/Putty 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANWHTSG212,"CFC Angles White/Sage 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANWTBK212,CFC Angles White/Black 2 1/2,2.5,21.00,21.00,21.00,Wood
ANWTBL212,CFC Angles White/Blue 2 1/2,2.5,21.00,21.00,21.00,Wood
ANWTGLD212,"CFC Angles White / Gold 2 1/2""",2.5,25.00,25.00,25.00,Wood
ANWTGRN212,CFC Angles White/Green 2 1/2,2.5,21.00,21.00,21.00,Wood
ANWTLAV212,CFC Angles White/Lavender 2 1/2,2.5,21.00,21.00,21.00,Wood
ANWTRD212,CFC Angles White/Red 2 1/2,2.5,21.00,21.00,21.00,Wood
ANWTTRQ212,CFC Angles White/Turquoise 2 1/2,2.5,21.00,21.00,21.00,Wood
ANWTY212,CFC Angles White/Yellow 2 1/2,2.5,21.00,21.00,21.00,Wood
ANY212,"CFC Angles Yellow/Yellow 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANYBK212,"CFC Angles Yellow/Black 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANYGLD212,"CFC Angles Yellow / Gold 2 1/2""",2.5,25.00,25.00,25.00,Wood
ANYNAT212,CFC Angles Yellow/Natural 2 1/2,2.5,21.00,21.00,21.00,Wood
ANYWHT212,"CFC Angles Yellow/White 2 1/2""",2.5,21.00,21.00,21.00,Wood
BLKGRY114,CFC Soho - Black Over Gray 1 1/4,1.25,15.00,15.00,15.00,Wood
BLKGRY58,CFC Soho - Black Over Gray 5/8,0.625,14.00,14.00,14.00,Wood
BLKWHT114,CFC Soho - Black Over White 1 1/4,1.25,15.00,15.00,15.00,Wood
BLKWHT58,CFC Soho - Black Over White 5/8,0.625,14.00,14.00,14.00,Wood
BSB1CUST,"Brights Shadow Box 1"" Deep",1.25,17.50,17.50,17.50,Wood
BSB2CUST,"Brights Shadow Box 2"" Deep",1.25,18.50,18.50,18.50,Wood
BSB3CUST,"Brights Shadow Box 3"" Deep",1.25,20.00,20.00,20.00,Wood
BSB4CUST,"Brights Shadow Box 4"" Deep",1.25,22.00,22.00,22.00,Wood
BSB5CUST,"Brights Shadow Box 5"" Deep",1.25,26.00,26.00,26.00,Wood
BSB6CUST,"Brights Shadow Box 6"" Deep",1.25,28.00,28.00,28.00,Wood
BWW2CUST,"Brights Wider Width Custom 2""",2,18.50,18.50,18.50,Wood
BWW3CUST,"Brights Wider Width Custom 3""",3,20.00,20.00,20.00,Wood
BWW4CUST,"Brights Wider Width Custom 4""",4,22.00,22.00,22.00,Wood
CAPCUST,"CFC Cap Custom 2"" Deep",0.75,19.50,19.50,19.50,Wood
CRNBL114,"CFC Crayon Blue 1 1/4""",1.25,15.00,15.00,15.00,Wood
CRNBL58,"CFC Crayon Blue 5/8""",0.625,14.00,14.00,14.00,Wood
CRNBRGR114,"CFC Crayon Bright Green 1 1/4""",1.25,15.00,15.00,15.00,Wood
CRNBRGR58,"CFC Crayon Bright Green 5/8""",0.625,14.00,14.00,14.00,Wood
CRNGR114,"CFC Crayon Green 1 1/4""",1.25,15.00,15.00,15.00,Wood
CRNGR58,"CFC Crayon Green 5/8""",0.625,14.00,14.00,14.00,Wood
CRNLAV114,"CFC Crayon Lavender 1 1/4""",1.25,15.00,15.00,15.00,Wood
CRNLAV58,"CFC Crayon Lavender 5/8""",0.625,14.00,14.00,14.00,Wood
CRNLTBL114,"CFC Crayon Lite Blue 1 1/4""",1.25,15.00,15.00,15.00,Wood
CRNLTBL58,"CFC Crayon Lite Blue 5/8""",0.625,14.00,14.00,14.00,Wood
CRNOR114,"CFC Crayon Orange 1 1/4""",1.25,15.00,15.00,15.00,Wood
CRNOR58,"CFC Crayon Orange5/8""",0.625,14.00,14.00,14.00,Wood
CRNPRP114,"CFC Crayon Purple 1 1/4"" ",1.25,15.00,15.00,15.00,Wood
CRNPRP58,"CFC Crayon Purple 5/8""",0.625,14.00,14.00,14.00,Wood
CRNRD114,"CFC Crayon Red 1 1/4""",1.25,15.00,15.00,15.00,Wood
CRNRD58,"CFC Crayon Red 5/8""",0.625,14.00,14.00,14.00,Wood
CRNSB1CUST,"Crayon Shadow Box 1"" Deep",1.25,17.50,17.50,17.50,Wood
CRNSB2CUST,"Crayon Shadow Box 2"" Deep",1.25,18.50,18.50,18.50,Wood
CRNSB3CUST,"Crayon Shadow Box 3"" Deep",1.25,20.00,20.00,20.00,Wood
CRNSB4CUST,"Crayon Shadow Box 4"" Deep",1.25,22.00,22.00,22.00,Wood
CRNSB5CUST,"Crayon Shadow Box 5"" Deep",1.25,26.00,26.00,26.00,Wood
CRNSB6CUST,"Crayon Shadow Box 6"" Deep",1.25,28.00,28.00,28.00,Wood
CRNTRQ114,"CFC Crayon Turquoise 1 1/4""",1.25,15.00,15.00,15.00,Wood
CRNTRQ58,"CFC Crayon Turquoise 5/8""",0.625,14.00,14.00,14.00,Wood
CRNWW2CUST,"Crayon Wider Width Custom 2""",2,18.50,18.50,18.50,Wood
CRNWW3CUST,"Crayon Wider Width Custom 3""",3,20.00,20.00,20.00,Wood
CRNWW4CUST,"Crayon Wider Width Custom 4""",4,22.00,22.00,22.00,Wood
CRNY114,"CFC Crayon Yellow 1 1/4""",1.25,15.00,15.00,15.00,Wood
CRNY58,"CFC Crayon Yellow 5/8""",0.625,14.00,14.00,14.00,Wood
DISBK58,CFC Distressed - Black 5/8,0.625,14.00,14.00,14.00,Wood
DISBL114,CFC Distressed - Blue  1 1/4,1.25,15.00,15.00,15.00,Wood
DISBL58,CFC Distressed - Blue 5/8,0.625,14.00,14.00,14.00,Wood
DISBLK114,CFC Distressed - Black 1 1/4,1.25,15.00,15.00,15.00,Wood
DISBRN114,CFC Distressed - Brown 1 1/4,1.25,15.00,15.00,15.00,Wood
DISBRN58,CFC Distressed - Brown 5/8,0.625,14.00,14.00,14.00,Wood
DISCUST114,CFC Distressed Custom 1 1/4,1.25,15.00,15.00,15.00,Wood
DISDRKGRN114,CFC Distressed - Dark Green 1 1/4,1.25,15.00,15.00,15.00,Wood
DISDRKGRN58,CFC Distressed - Dark Green 5/8,0.625,14.00,14.00,14.00,Wood
DISGR114,CFC Distressed - Green  1 1/4,1.25,15.00,15.00,15.00,Wood
DISGR58,CFC Distressed - Green 5/8,0.625,14.00,14.00,14.00,Wood
DISGRY114,CFC Distressed - Gray 1 1/4,1.25,15.00,15.00,15.00,Wood
DISGRY58,CFC Distressed - Gray 5/8,0.625,14.00,14.00,14.00,Wood
DISLAV114,CFC Distressed - Lavender 1 1/4,1.25,15.00,15.00,15.00,Wood
DISLAV58,CFC Distressed - Lavender 5/8,0.625,14.00,14.00,14.00,Wood
DISLEN114,CFC Distressed - Lentil 1 1/4,1.25,15.00,15.00,15.00,Wood
DISLEN58,CFC Distressed - Lentil 5/8,0.625,14.00,14.00,14.00,Wood
DISNAT114,CFC Distressed - Natural 1 1/4,1.25,15.00,15.00,15.00,Wood
DISNAT58,CFC Distressed - Natural 5/8,0.625,14.00,14.00,14.00,Wood
DISOR114,CFC Distressed - Orange 1 1/4,1.25,15.00,15.00,15.00,Wood
DISOR58,CFC Distressed - Orange 5/8,0.625,14.00,14.00,14.00,Wood
DISPNK114,CFC Distressed - Pink 1 1/4,1.25,15.00,15.00,15.00,Wood
DISPNK58,CFC Distressed - Pink 5/8,0.625,14.00,14.00,14.00,Wood
DISPRP114,CFC Distressed - Purple 1 1/4,1.25,15.00,15.00,15.00,Wood
DISPRP58,CFC Distressed - Purple 5/8,0.625,14.00,14.00,14.00,Wood
DISPUT114,CFC Distressed - Putty 1 1/4,1.25,15.00,15.00,15.00,Wood
DISPUT58,CFC Distressed - Putty 5/8,0.625,14.00,14.00,14.00,Wood
DISRD114,CFC Distressed - Red  1 1/4,1.25,15.00,15.00,15.00,Wood
DISRD58,CFC Distressed - Red 5/8,0.625,14.00,14.00,14.00,Wood
DISSB1CUST,"Distressed Shadow Box 1"" Deep",1.25,17.50,17.50,17.50,Wood
DISSB2CUST,"Distressed Shadow Box 2"" Deep",1.25,18.50,18.50,18.50,Wood
DISSB3CUST,"Distressed Shadow Box 3"" Deep",1.25,20.00,20.00,20.00,Wood
DISSB4CUST,"Distressed Shadow Box 4"" Deep",1.25,22.00,22.00,22.00,Wood
DISSB5CUST,"Distressed Shadow Box 5"" Deep",1.25,26.00,26.00,26.00,Wood
DISSB6CUST,"Distressed Shadow Box 6"" Deep",1.25,28.00,28.00,28.00,Wood
DISSG114,CFC Distressed - Sage 1 1/4,1.25,15.00,15.00,15.00,Wood
