ITEM,description,WIDTH,UPC,cost,chop,join,group
533516,ANSLEY CHERRY FLAT,1.25,720472144520,5.87,9.87,10.87,Wood
533517,ANSLEY COFFEE FLAT,1.25,720472144537,5.87,9.87,10.87,Wood
533519,ANSLEY MAHOGANY FLAT,1.25,720472144551,5.87,9.87,10.87,Wood
533526,"ANSLEY BLACK 1 1/4""",1.25,,5.52,9.28,10.28,Wood
538120,"DRESDEN BLACK UMBER 2 15/16""",2.9375,720472163446,25.05,42.08,43.08,Wood
542285,TRIBECA BLK TRAD. W/BEAD,2,720472139793,7.32,12.29,13.29,Wood
543960,FLAX OYSTER LINEN LINER,2.5,720472160001,7.78,13.06,14.06,Liner
543964,FLAX PEBBLE LINEN LINER,2.5,720472160025,7.78,13.06,14.06,Liner
546100,"PANZANO SML FLAT PEAT 1 1/4""",1.25,,12.68,21.3,22.3,Wood
546200,PANZANO SML FLAT BEECHNT 1 1/4,1.25,,12.68,21.3,22.3,Wood
549670,"TATE GOLD SLANT 3""",3,,10.78,18.11,19.11,Wood
550285,TRIBECA BLK WIDE FLAT,2.25,720472139809,6.19,10.41,11.41,Wood
550286,WHITE WIDE FLAT,2.25,720472142670,7.39,12.42,13.42,Wood
550350,"BRIMFIELD BLK MED EMB 2 1/2""",2.5625,,12.85,21.59,22.59,Wood
550360,"BRIMFIELD WHT MED EMB 2 1/2""",2.5625,,12.85,21.59,22.59,Wood
551800,BELMONT LT OLIVE SCOOP,2.5,720472154673,27.08,45.5,46.5,Wood
551801,BELMONT MED OLIVE SCOOP,2.5,720472154680,27.08,45.5,46.5,Wood
551802,BELMONT DK OLIVE SCOOP,2.5,720472154697,27.08,45.5,46.5,Wood
552100,"PANZANO SML SCOOP PEAT 1 9/16""",1.5625,,14.83,24.91,25.91,Wood
552200,PANZANO SML SCOOP BCHNT,1.5625,,14.83,24.91,25.91,Wood
552285,TRIBECA BLK REVERSE W/RDG,2.5,720472139816,7.89,13.25,14.25,Wood
553440,"BAUHAUS II WHITE WD FLAT 2""",2,,9.46,15.9,16.9,Wood
