ITEM,description,WIDTH,cost,group
B8060,URBAN GRY 32X40 PREC MTLS,32x40,38.55,Matboard
B8063,DESERT 32X40 PRECIOUS MTL,32x40,37.92,Matboard
B8083,GOL MOCHA ALPHA METAL32X40,32x40,56.13,Matboard
B8085,NICKEL ALPHA METALS 32X40,32x40,56.13,Matboard
B8086,BRA BAND ALPHA METAL 32X40,32x40,56.12,Matboard
B8093,REAL RED PRECIO METAL32X40,32x40,56.11,Matboard
B8094,PATRIOT BLUE PREC.METALS 32X40,32x40,56.13,Matboard
B8097,ALUMINUM PRECIOUS MET32X40,32x40,44.98,Matboard
B8105,BLUE IRIS ALPHA 32X40,32x40,32.96,Matboard
B8107,DISC  -PEACOCK ALPHA 32X40,32x40,28.03,Matboard
B8108,SHERRY ALPHA 32X40,32x40,35.32,Matboard
B8140,TOPAZ ALPHA 32X40,32x40,47.77,Matboard
B8142,AZURITE ALPHA 32X40,32x40,47.73,Matboard
B8153,JUTE ALPHA 32X40,32x40,35.34,Matboard
B8156,PRATO ALPHA SOLIDS 32X40,32x40,35.32,Matboard
B8157,VERDE ALPHA SOLIDS 32X40,32x40,35.32,Matboard
B8158,SOLE ALPHA SOLIDS 32X40,32x40,35.32,Matboard
B8159,MARE ALPHA SOLIDS 32X40,32x40,35.32,Matboard
B8160,LUNA ALPHA SOLIDS 32X40,32x40,35.32,Matboard
B8161,TERRA ALPHA SOLIDS 32X40,32x40,31.22,Matboard
B8162,FANGO ALPHA SOLIDS 32X40,32x40,35.32,Matboard
B8180,MOCHA NATL CLASSIC 32X40,32x40,35.32,Matboard
B8181,MATTE BLK NATL CLSC 32X40,32x40,18.31,Matboard
B8182,FOREST GRN NATL CLASSIC 32X40,32x40,35.32,Matboard
B8183,DARK BLUE NATL CLASSIC 32X40,32x40,35.34,Matboard
B8189,TOAST ALM NATL CLASSIC 32X40,32x40,35.32,Matboard
B8192,FIERY RED ALPHA 32X40,32x40,35.32,Matboard
B8254,COWHIDE LEATHER ALPHA32X40,32x40,42.83,Matboard
B8260,ICE WHITE ALPHA SOLID 32X40,32x40,35.32,Matboard
B8260L,ICE WHT ALPHA SOLID 40X60,40x60,86.13,Matboard
B8262,POLAR WHT ALPHA SOLID 32X40,32x40,35.32,Matboard
B8263,BEESWAX ALPHA SOLID 32X40,32x40,34.9,Matboard
B8264,WILD OLIVE ALPHA SOLID 32X40,32x40,35.32,Matboard
B8265,TABASCO ALPHA SOLID 32X40,32x40,35.31,Matboard
B8267,CRYSTAL BLUE ALPHA 32X40,32x40,35.31,Matboard
B8268,MOONROCK ALPHA 32X40,32x40,35.31,Matboard
B8269,CLARET ALPHA 32X40,32x40,35.32,Matboard
B8270,CLEMENTINE ALPHA 32X40,32x40,35.4,Matboard
B8271,DREAMWEAVER ALPHA 32X40,32x40,32.72,Matboard
B8272,GOLDENROD ALPHA 32X40,32x40,35.31,Matboard
B8273,BERYL ALPHA 32X40,32x40,35.31,Matboard
B8274,DAWN ALPHA 32X40,32x40,35.32,Matboard
B8275,DRIED SAGE ALPHA 32X40,32x40,35.31,Matboard
