item,cost,chop,join,width,description,group
PR9532,10.89,18.51,22.22,2.5,,Wood
PR9533,10.89,18.51,22.22,2.5,,Wood
PR9570,8.83,15.46,18.55,2.75,,Wood
PR9572,8.83,15.46,18.55,2.75,,Wood
PR9601,4,7.21,8.65,1.13,,Wood
PR9602,4,7.21,8.65,1.13,,Wood
PR9613,2.76,5.24,6.28,0.63,,Wood
PR9614,2.76,5.24,6.28,0.63,,Wood
PR9615,2.76,5.24,6.28,0.63,,Wood
PR9616,2.76,5.24,6.28,0.63,,Wood
PR9617,2.76,5.24,6.28,0.63,,Wood
PR9712,5.15,7.9,9.48,1.25,,Wood
PR9727,5.15,9.01,10.81,2.5,,Wood
PR9993,2.89,5.36,6.42,1.63,,Wood
PR15534,2.95,5.67,6.8,0.75,,Wood
PR45300,4,7.08,8.5,1.25,,Wood
PR50300,4.51,8.12,9.75,2,,Wood
PR155112,4.65,8.23,9.88,1.5,,Wood
PR155118,3.76,6.74,8.1,1.13,,Wood
