item,cost,chop,join,width,description,group
222147,4.79,7.66,9.19,1,"1"" Dark Blue Italy",Wood
222148,4.79,7.66,9.19,1,"1"" Mandarino Italy",Wood
222149,4.79,7.66,9.19,1,"1"" Primavera Italy",Wood
222150,4.79,7.66,9.19,1,"1"" Rosso Italy",Wood
222152,4.79,7.66,9.19,1,"1"" Giallo Italy",Wood
222153,4.79,7.66,9.19,1,"1"" Emerald Ocean Italy",Wood
222155,4.79,7.66,9.19,1,"1"" Midnight Gray Italy",Wood
222156,4.79,7.66,9.19,1,"1"" Lily Italy",Wood
222157,4.79,7.66,9.19,1,"1"" Rosa Italy",Wood
222158,4.79,7.66,9.19,1,"1"" Violetto Italy",Wood
222159,4.79,7.66,9.19,1,"1"" Cherry Maple Italy",Wood
222160,4.79,7.66,9.19,1,"1"" Nude Italy",Wood
420301,4.26,7.76,9.31,0.88,"<GG> 7/8"" Width 3"" H Mat White Shadow Box",Wood
450101,1.77,3.7,4.44,1.31,"<GG> 1-5/16"" Rounded Cap Matte White",Wood
450401,2.18,4.03,4.84,1.13,"<GG> 1-1/8"" Rounded Reverse Matte White",Wood
T2112,2.78,4.75,5.7,0.75,<GG> Gold Pyramid Compo -4B,Wood
T2121,2.49,4.35,5.22,0.88,"<GG> 3/4"" Gold w/ Diamond Lip -1B",Wood
T2281,9.9,15.35,18.42,4,"<GG> 3-7/8"" Ornate Silver w/ Wash -14A",Wood
T2641,3.69,6.07,7.28,1.63,"<GG> 1-5/8"" Reverse - Antique Black - 47A",Wood
T2832,2.4,4.31,5.17,0.88,"7/8"" Antique Gold w/ Black Beaded -1-B",Wood
T2881,6.46,10.33,12.4,3.5,"<GG> 3-1/2"" Rev - Gold w/ Red Wash Pan -4C",Wood
T3212,3.8,6.26,7.51,1.5,"<GG> 1-1/2"" Antique Silver w/ Red Under",Wood
T6514,7.59,12.34,14.81,2.88,"<GG> 2-7/8"" Antique Black w/ Red Undertone -2B",Wood
T9001,3.63,6.36,7.63,0.75,"3/4"" Natural Wood",Wood
T9002,3.63,6.36,7.63,0.75,"3/4"" Honey Maple",Wood
T9003,3.63,6.36,7.63,0.75,"3/4"" Walnut",Wood
T9004,3.63,6.36,7.63,0.75,"3/4"" Burgundy",Wood
T9005,3.63,6.36,7.63,0.75,"3/4"" Graphite Black",Wood
T9006,3.63,6.36,7.63,0.75,"3/4"" White Wash",Wood
T9007,3.63,6.36,7.63,0.75,"3/4"" Cherry",Wood
T9201,3.7,6.47,7.76,1.13,"1-1/8"" Natural",Wood
T9202,3.7,6.47,7.76,1.13,"1-1/8"" Honey Maple",Wood
T9203,3.7,6.47,7.76,1.13,"1-1/8"" Walnut",Wood
T9204,3.7,6.47,7.76,1.13,"1-1/8"" Burgundy",Wood
T9205,3.7,6.47,7.76,1.13,"1-1/8"" Grey",Wood
T9206,3.7,6.47,7.76,1.13,"1-1/8"" White Wash",Wood
T9207,3.7,6.47,7.76,1.13,"1-1/8"" Cherry",Wood
T12522,4.22,6.96,8.35,3,"<GG> 3"" Antique Silver Ornate Reverse -2A",Wood
A13106,7.83,12.91,15.49,1.25,"1-1/4"" Black w/ Silver Lip",Wood
A13107,7.83,12.91,15.49,1.25,"1-1/4"" Black w/ Gold Lip",Wood
A13108,7.83,12.91,15.49,1.25,"1-1/4"" Cream w/ Silver Lip",Wood
A13109,7.83,12.91,15.49,1.25,"1-1/4"" Cream w/ Gold Lip",Wood
T15743,5.43,8.75,10.5,3.5,"<GG> 3-1/2"" Old Gold w/ Black Wash Rev -4C",Wood
A21101,12.63,20.2,24.24,2,"2"" Antique Black w/ Gold",Wood
A21102,12.63,20.2,24.24,2,"2"" Antique Black w/ Silver",Wood
A21103,12.63,20.2,24.24,2,"2"" Silver",Wood
A21104,12.63,20.2,24.24,2,"2"" Creamy Alfredo",Wood
A21105,12.63,20.2,24.24,2,"2"" Black w/Red Rub",Wood
A22101,5.73,9.45,11.34,1.25,"1-1/4"" White w/ Gold Lip",Wood
A22102,5.73,9.45,11.34,1.25,"1-1/4"" White w/ Silver Lip",Wood
A22103,6.11,10.07,12.08,1.25,"1-1/4"" Gold",Wood
A22104,6.11,10.07,12.08,1.25,"1-1/4"" Silver w/ Gold",Wood
A23101,8.57,13.71,16.45,1.56,"1-9/16"" Aged Blue",Wood
A23102,8.57,13.71,16.45,1.56,"1-9/16"" Aged White Silver",Wood
A23103,8.57,13.71,16.45,1.56,"1-9/16"" Aged Brown",Wood
A23104,8.81,14.09,16.91,1.56,"1-9/16"" Gold",Wood
A23105,8.81,14.09,16.91,1.56,"1-9/16"" Warm Silver",Wood
A24100,7.44,11.89,14.27,1.31,"1-5/16"" Gold",Wood
A24101,7.44,11.89,14.27,1.31,"1-5/16"" Warm Silver",Wood
A24102,7.44,11.89,14.27,1.38,"1-3/8"" White w/ Two-tone Eggplant Lip",Wood
A24103,7.44,11.89,14.27,1.39,"1-3/8"" White w/ Two-tone Walnut Lip",Wood
A24104,7.44,11.89,14.27,1.38,"1-3/8"" White w/ Two-tone Blue Lip",Wood
A24105,7.44,11.89,14.27,1.25,"1-1/4"" White w/ Gold Lip",Wood
A24106,7.44,11.89,14.27,1.25,"1-1/4"" White w/ Silver Lip",Wood
A24107,7.44,11.89,14.27,1.31,"1-5/16"" Gold w/ Balck Lip",Wood
A24108,7.44,11.89,14.27,1.31,"1-5/16"" Silver w/ Balck Lip",Wood
A27701,5.76,9.22,11.06,1.19,"1-3/16"" White w/ Black Wash",Wood
A27702,5.76,9.22,11.06,1.19,"1-3/16"" White w/ Bule Wash",Wood
A27703,5.76,9.22,11.06,1.19,"1-3/16"" White w/ Red Wash",Wood
A27704,5.76,9.22,11.06,1.19,"1-3/16"" White w/ Green Wash",Wood
T30601,3.1,5.39,6.47,0.88,"<GG> 7/8"" Natural",Wood
T30602,3.1,5.39,6.47,0.88,"<GG> 7/8"" Honey",Wood
T30603,3.1,5.39,6.47,0.88,"<GG> 7/8"" Walnut -7B",Wood
T30604,3.1,5.39,6.47,0.88,"<GG> 7/8"" Mahogany",Wood
T30605,3.1,5.39,6.47,0.88,"<GG> 7/8"" Graphite Black",Wood
T30606,3.1,5.39,6.47,0.88,"<GG> 7/8"" Cherry",Wood
T32112,3.33,5.64,6.77,1.5,"<GG> 1-1/2"" Silver w/ Umber Undertone -5B",Wood
A38001,11.89,19.02,22.82,2.75,"2-3/4"" Antique Black w/ Gold Lip",Wood
A38002,11.89,19.02,22.82,2.75,"2-3/4"" Antique Black w/ Silver Lip",Wood
A38008,11.89,19.02,22.82,2.75,"2-3/4"" Antique White w/ Silver Lip",Wood
A38009,11.89,19.02,22.82,2.75,"2-3/4"" Antique Gold",Wood
A38010,11.89,19.02,22.82,2.75,"2-3/4"" Antique Silver",Wood
T38801,2.7,4.79,5.75,1.25,"<GG> 1-1/4"" Natural",Wood
T38802,2.7,4.79,5.75,1.25,"<GG> 1-1/4"" Honey",Wood
T38803,2.7,4.79,5.75,1.25,"<GG> 1-1/4"" Walnut",Wood
T38804,2.7,4.79,5.75,1.25,"<GG> 1-1/4"" Mahogany -4B,7B",Wood
T38805,2.7,4.79,5.75,1.25,"<GG> 1-1/4"" Graphite Black",Wood
T38806,2.7,4.79,5.75,1.25,"<GG> 1-1/4"" Cherry",Wood
A42001,7.29,12.01,14.41,1.5,"1-1/2"" Antique Gold w/Black",Wood
A42002,7.29,12.01,14.41,1.5,"1-1/2"" Antique Silver w/Black",Wood
A42003,7.29,12.01,14.41,1.5,"1-1/2"" Antique Black",Wood
A42004,7.29,12.01,14.41,1.5,"1-1/2"" Antique White",Wood
A43001,5.9,9.72,11.66,0.88,"7/8"" Antique Gold w/Black",Wood
A43002,5.9,9.72,11.66,0.88,"7/8"" Antique Silver w/Black",Wood
A43003,5.9,9.72,11.66,0.88,"7/8"" Antique Black",Wood
A43004,5.9,9.72,11.66,0.88,"7/8"" Antique White",Wood
A54001,7.68,12.28,14.74,1.5,"1-1/2"" Fusion Gold Brown",Wood
A54002,7.68,12.28,14.74,1.5,"1-1/2"" Fusion Silver Black",Wood
A54003,7.68,12.28,14.74,1.5,"1-1/2"" Fusion Silver White",Wood
A54004,7.68,12.28,14.74,1.5,"1-1/2"" Fusion Silver Blue",Wood
A54005,7.68,12.28,14.74,1.5,"1-1/2"" Fusion Red Gold",Wood
A54301,11.76,18.81,22.57,2,"2"" Gold English Rose",Wood
A54302,11.76,18.81,22.57,2,"2"" Silver English Rose",Wood
A54303,11.76,18.81,22.57,2,"2"" Black w/Gold English Rose",Wood
A54304,11.76,18.81,22.57,2,"2"" White w/Gold English Rose",Wood
A56100,6.96,11.48,13.78,1.25,"1-1/4"" Green Grey Gold",Wood
A56101,6.96,11.48,13.78,1.25,"1-1/4"" Copper Green Silver",Wood
A63301,8.81,14.09,16.91,1.25,"1-1/4"" Distressed Black",Wood
A63302,8.81,14.09,16.91,1.25,"1-1/4"" Distressed Silver Muave",Wood
A63303,8.81,14.09,16.91,1.25,"1-1/4"" Distressed Gold",Wood
A63304,8.81,14.09,16.91,1.25,"1-1/4"" Pale White w/ Silver Lip",Wood
A71001,5.38,8.88,10.66,1.19,"1-3/16"" Antique Silver",Wood
A71002,5.38,8.88,10.66,1.19,"1-3/16"" Antique Gold",Wood
A71003,5.38,8.88,10.66,1.19,"1-3/16"" Antique Black w/ Gold Bead",Wood
A71006,5.38,8.88,10.66,1.19,"1-3/16"" Antique Black w/ Silver Bead",Wood
A87010,11.76,18.81,22.57,1.5,"1-1/2"" Gold Starry",Wood
A87012,11.76,18.81,22.57,1.5,"1-1/2"" Silver Starry",Wood
A87015,11.76,18.81,22.57,1.5,"1-1/2"" White Starry w/Gold",Wood
A87016,11.76,18.81,22.57,1.5,"1-1/2"" Black Starry w/Gold",Wood
A91001,4.93,7.88,9.46,1.19,"13/16"" Antique Silver",Wood
A91002,4.93,7.88,9.46,1.19,"13/16"" Antique Gold",Wood
A91003,4.93,7.88,9.46,1.19,"13/16"" Antique Black w/ Gold Lip",Wood
A91006,4.93,7.88,9.46,1.19,"13/16"" Antique Black w/ Silver Bead",Wood
T93013,2.7,4.31,5.17,1.81,"<GG> Mahogany Ash W.1 13/16"" H.13/16"" R.9/16""",Wood
A105100,7.57,12.11,14.53,1.19,"1-3/16"" Green Grey Gold",Wood
A105101,7.57,12.11,14.53,1.19,"1-3/16"" Grey Copper Silver",Wood
T903344,3.91,6.82,8.18,1.63,"<GG> 1 5/8"" Traditional - Black w/ Silver Lip",Wood
N1101,3.53,5.31,,0.25,ML11 Silver,Metal
N1102,3.53,5.31,,0.25,ML11 Frosted Silver,Metal
N1103,3.53,5.31,,0.81,ML11 Gold,Metal
N1104,3.53,5.31,,0.25,ML11 Frosted Gold,Metal
N1108,4.08,6.04,,0.25,ML11 Frosted Bronze,Metal
N1110,4.08,6.04,,0.25,ML11 Graphite,Metal
N1112,4.08,6.04,,0.25,ML11 Frosted Pewter,Metal
N1113,4.08,6.04,,0.81,ML11 Contrast Grey,Metal
N1114,4.08,6.04,,0.25,ML11 German Silver,Metal
N1120,4.08,6.04,,0.5,ML11 Anodic Black,Metal
N1121,4.08,6.04,,0.5,ML11 Matte Black,Metal
N1123,3.53,5.29,,0.5,ML11 Antique Gold,Metal
N1150,3.53,5.29,,0.5,ML11 Black,Metal
N1202,4.08,6.04,,0.5,ML12 Frosted Silver,Metal
N1221,4.59,7.01,,1,ML12 Matte Black,Metal
N1314,5.08,7.51,,0.5,ML13 German Silver,Metal
N1321,5.08,7.51,,0.5,ML13 Matte Black,Metal
N1414,8.29,12.26,,0.5,ML14 German Silver,Metal
N1421,8.29,12.26,,0.5,ML14 Matte Black,Metal
N1501,3.88,5.93,,0.25,ML15 Silver,Metal
N1502,3.88,5.93,,0.25,ML15 Frosted Silver,Metal
N1503,3.88,5.93,,1,ML15 Gold,Metal
N1504,3.88,5.93,,1,ML15 Frosted Gold,Metal
N1508,4.37,6.43,,1,ML15 Frosted Bronze,Metal
N1510,4.37,6.43,,1,ML15 Graphite,Metal
N1512,4.37,6.43,,1,ML15 Frosted Pewter,Metal
N1513,4.37,6.43,,1,ML15 Contrast Grey,Metal
N1514,4.37,6.43,,1,ML15 German Silver,Metal
N1519,4.37,6.43,,1,ML15 Frosted Walnut,Metal
N1520,4.37,6.43,,1,ML15 Anodic Black,Metal
N1521,4.37,6.43,,1,ML15 Matte Black,Metal
N1523,3.88,5.83,,1,ML15 Antique Gold,Metal
N1524,4.37,6.43,,1,ML15 Cobalt,Metal
N1550,3.88,5.83,,1,ML15 Black,Metal
N1552,3.88,5.83,,1,ML15 Bright White,Metal
N1555,3.88,5.83,,1,ML15 Right Red,Metal
N1558,3.88,5.83,,1,ML15 Indigo,Metal
N1566,3.88,5.83,,1,ML15 Lapis,Metal
N1568,3.88,5.83,,1,ML15 Chinese Red,Metal
N2108,5.25,7.48,,0.5,ML21 Frosted Rose Gold,Metal
N2121,5.25,7.48,,0.5,ML21 Matte Black,Metal
N2123,5.25,7.48,,0.5,ML21 Antique Gold,Metal
N2150,5.25,7.48,,0.59,ML21 Black,Metal
N2201,4.43,6.75,,0.5,ML22 Silver,Metal
N2202,4.43,6.75,,0.25,ML22 Frosted Silver,Metal
N2203,4.43,6.75,,0.5,ML22 Gold,Metal
N2214,5.15,7.42,,0.5,ML22 German Silver,Metal
N2220,5.15,7.42,,0.5,ML22 Anodic Black,Metal
N2221,5.15,7.42,,1,ML22 Matte Black,Metal
N2501,4.33,6.47,,1,ML25 Silver,Metal
N2502,4.33,6.47,,1,ML25 Frosted Silver,Metal
N2504,4.33,6.47,,1,ML25 Frosted Gold,Metal
N2520,4.95,7.31,,1,ML25 Anodic Black,Metal
N2521,4.95,7.31,,1,ML25 Matte Black,Metal
N3350,4.09,6.06,,1,ML33 Black,Metal
N3414,4.59,6.72,,1,ML34 German Silver,Metal
N3421,4.59,6.72,,1,ML34 Matte Black,Metal
N7121,5.82,8.6,,1,ML71 Matte Black,Metal
N9301,4.07,6.02,,1,ML93 Silver,Metal
N9304,4.07,6.02,,1,ML93 Frosted Gold,Metal
N9314,4.59,6.74,,1,ML93 German Silver,Metal
N9319,4.59,6.74,,1,ML93 Frosted Walnut,Metal
N9320,4.59,6.74,,1,ML93 Anodic Black,Metal
N9321,4.59,6.74,,1,ML93 Matte Black,Metal
N9323,4.07,6.15,,1,ML93 Antique Gold,Metal
N9350,4.07,6.15,,1,ML93 Black,Metal
N9352,4.07,6.15,,1,ML93 Bright White,Metal
N9402,4.47,6.6,,1.13,ML94 Frosted Silver,Metal
N9421,5.13,7.46,,1.13,ML94 Matte Black,Metal
N9510,6.39,9.28,,1.13,ML95 Graphite,Metal
N9514,6.39,9.28,,1.13,ML95 German Silver,Metal
N9521,6.39,9.28,,1.13,ML95 Matte Black,Metal
N9523,5.77,8.29,,1.13,ML95 Antique Gold,Metal
N9714,5.43,7.79,,1.13,ML97 German Silver,Metal
N9721,5.43,7.79,,1.13,ML97 Matte Black,Metal
N9750,4.8,6.86,,1.13,ML97 Black,Metal
N9921,6.39,9.05,,2.19,ML99 Matte Black,Metal
N10014,9.76,13.66,,0.38,ML100 German Silver,Metal
N10021,9.76,13.66,,0.37,ML100 Matte Black,Metal
N11154,4.11,6.09,,0.25,ML11 Florentine Grey,Metal
N11156,4.11,6.09,,0.25,ML11 Florentine Black,Metal
N11701,4.08,5.99,,1.31,ML117 Silver,Metal
N11702,4.08,5.99,,1.31,ML117 Frosted Silver,Metal
N11704,4.08,5.99,,1.31,ML117 Frosted Gold,Metal
N11710,4.59,6.74,,1.31,ML117 Graphite,Metal
N11712,4.59,6.74,,1.31,ML117 Frosted Pewter,Metal
N11714,4.59,6.74,,1.31,ML117 German Silver,Metal
N11719,4.59,6.74,,1.31,ML117 Frosted Walnut,Metal
N11720,4.59,6.74,,1.31,ML117 Anodic Black,Metal
N11721,4.59,6.74,,1.31,ML117 Matte Black,Metal
N11723,4.58,6.74,,1.31,ML117 Antique Gold,Metal
N11750,4.08,5.99,,1.31,ML117 Black,Metal
N11752,4.08,5.99,,1.31,ML117 Bright White,Metal
N11755,4.08,5.99,,1.31,ML117 Right Red,Metal
N11758,4.08,5.99,,1.31,ML117 Indigo,Metal
N12901,3.53,5.29,,0.32,ML129 Tiffany Silver,Metal
N12907,3.53,5.29,,0.31,ML129 Tiffany Bronze,Metal
N12913,3.53,5.29,,0.31,ML129 Tiffany Contrast Grey,Metal
N12915,3.53,5.29,,0.31,ML129 Tiffanyamber,Metal
N12920,3.53,5.29,,0.31,ML129 Tiffany Black,Metal
N12921,3.53,5.29,,0.31,ML129 Matte Black,Metal
N12952,3.53,5.29,,0.31,ML129 Tiffany Bright White,Metal
N15150,4.58,6.74,,1,ML15 Florentine Silver,Metal
N15153,4.58,6.74,,1,ML15 Florentine Pewter,Metal
N15154,4.58,6.74,,1,ML15 Florentine Grey,Metal
N15155,4.58,6.74,,1,ML15 Florentine Amber,Metal
N15156,4.58,6.74,,1,ML15 Florentine Black,Metal
N15164,4.37,6.43,,1,ML15 Dusk,Metal
N15170,4.37,6.43,,1,ML15 Frosted Umber,Metal
N21227,5.25,7.2,,0.59,ML21 Tornado Red,Metal
N21233,5.25,7.2,,0.5,ML21 Purple Haze,Metal
N21235,5.25,7.2,,0.5,ML21 Tangerine Twist,Metal
N21250,5.25,7.2,,0.5,ML21 Merlot,Metal
N21257,5.25,7.2,,0.5,ML21 Sapphire,Metal
N21258,5.25,7.2,,0.5,ML21 Really Teal,Metal
N21261,5.25,7.2,,0.59,ML21 Dawn,Metal
N21400,5.25,7.2,,0.5,ML21 Chrome,Metal
N24414,5.43,7.71,,1,ML24 Brushed Satin Ger. Slvr,Metal
N24421,5.43,7.71,,1,ML24 Satin Black,Metal
N24423,5.43,7.71,,1,ML24 Brushed Satin Antiq. Gld,Metal
N24469,5.43,7.71,,1,ML24 Brushed Satin Stainless Steel,Metal
N24471,5.43,7.71,,1,ML24 Brushed Satin Slate,Metal
N24475,5.43,7.71,,1,ML24 Brushed Satin Choc,Metal
N24476,5.43,7.71,,1,ML24 Brushed Satin Sapphire,Metal
N34179,5.07,7.15,,1,ML34 Black Metalline,Metal
N34280,5.39,8.21,,1,ML34 American Natural,Metal
N65246,5.25,7.64,,1,ML65 Old Gold,Metal
N65251,5.25,7.64,,0.5,ML65 Barely Gold,Metal
N65252,5.25,7.64,,2,ML65 Robin'S Egg,Metal
N65421,5.25,7.64,,1,ML65 Brushed Satin Black,Metal
N65429,5.25,7.64,,1,ML65 Ebony,Metal
N93150,4.92,7.14,,1,ML93 Florentine Silver,Metal
N93154,4.92,7.14,,1,ML93 Florentine Grey,Metal
N93156,4.92,7.14,,1,ML93 Florentine Black,Metal
N93170,4.59,6.75,,1,ML93 Frosted Umber,Metal
N93550,4.92,7.14,,0.44,ML93 Tuscan Linen Silver,Metal
N93552,4.92,7.14,,1,ML93 Tuscan Linen Raw Steel,Metal
N93553,4.92,7.14,,1,ML93 Tuscan Linen Caramel,Metal
N93555,4.92,7.14,,1,ML93 Tuscan Linen Amber,Metal
N93556,4.92,7.14,,1,ML93 Tuscan Linen Black,Metal
N93557,4.92,7.14,,1,ML93 Tuscan Linen Pewter,Metal
N93558,4.92,7.14,,1,ML93 Tuscan Linen Slate,Metal
N95224,5.77,8.29,,1.13,ML95 Matte White,Metal
N95429,6.59,9.63,,1.13,ML95 Brushed Anodic Black,Metal
N95470,7.27,9.48,,0.91,ML95 Brushed Satin Nickel,Metal
N97150,6.22,8.87,,1.13,ML97 Florentine Silver,Metal
N97151,6.22,8.87,,1.13,ML97 Florentine Gold,Metal
N97154,6.22,8.87,,1.13,ML97 Florentine Grey,Metal
N97155,6.22,8.87,,1.13,ML97 Florentine Amber,Metal
N97156,6.22,8.87,,1.13,ML97 Florentine Black,Metal
N97167,6.22,8.87,,1.13,ML97 Florentine Walnut,Metal
N97400,6.22,8.87,,1.13,ML97 Brushed Aluminum (Satin),Metal
N97550,6.22,8.87,,1.13,ML97 Tuscan Linen Silver,Metal
N97552,6.22,8.87,,1.13,ML97 Tuscan Linen Raw Steel,Metal
N97553,6.22,8.87,,1.13,ML97 Tuscan Linen Caramel,Metal
N97555,6.22,8.87,,1,ML97 Tuscan Linen Amber,Metal
N97556,6.22,8.87,,1.13,ML97 Tuscan Linen Black,Metal
N97557,6.22,8.87,,1.13,ML97 Tuscan Linen Pewter,Metal
N97558,6.22,8.87,,1.13,ML97 Tuscan Linen Slate,Metal
N99150,7.27,10.7,,2.19,ML99 Florentine Silver,Metal
N99154,7.27,10.7,,2.19,ML99 Florentine Grey,Metal
N99156,7.27,10.7,,2.19,ML99 Florentine Black,Metal
N99421,7.55,11.11,,0.25,ML99 Brushed Satin Black,Metal
N99430,7.27,10.43,,2.19,ML99 Brushed German Silver,Metal
N99470,7.55,11.11,,1.38,ML99 Brushed Satin Nickel,Metal
N99478,7.55,11.11,,1.38,ML99 Brushed Satin Pewter,Metal
N117164,4.59,6.78,,1.31,ML117 Dusk,Metal
N117201,4.08,6.04,,1.31,ML117 Maroon,Metal
N117202,4.08,6.04,,1.31,ML117 Tiger Orange,Metal
N117203,4.08,6.04,,1.31,ML117 Sunshine,Metal
N117204,4.08,6.04,,1.31,ML117 Kelly Green,Metal
N117205,4.08,6.04,,1.31,ML117 Forest Green,Metal
N117206,4.08,6.04,,1.31,ML117 Aqua,Metal
N117207,4.08,6.04,,1.31,ML117 Bright Blue,Metal
N117208,4.08,6.04,,1.31,ML117 Royal Purple,Metal
N117227,4.78,7.07,,0.25,ML117 Tornado Red,Metal
N117230,4.78,7.07,,1.31,ML117 Reflex Silver,Metal
N117231,4.78,7.07,,1.31,ML117 Gold Bullion,Metal
N117232,4.78,7.07,,0.25,ML117 Galactic Blue,Metal
N117233,4.78,7.07,,0.25,ML117 Purple Haze,Metal
N117235,4.78,7.07,,0.44,ML117 Tangerine Twist,Metal
N117236,4.78,7.07,,0.25,ML117 Cyber Green,Metal
N117237,4.78,7.07,,0.25,ML117 Raspberry Fizz,Metal
N117238,4.78,7.07,,0.25,ML117 Turquoise,Metal
N117240,4.78,7.07,,0.44,ML117 Amethyst,Metal
N117270,4.59,6.74,,1.31,ML117 Burnt Sienna,Metal
N117280,5.18,7.83,,0.44,ML117 American Natural,Metal
N117400,4.78,7.24,,1.31,ML117 Brushed Aluminum,Metal
N117470,5.43,7.79,,0.44,ML117 Brushed Satin Nickel,Metal
N117478,5.43,7.79,,0.44,ML117 Brushed Satin Pewter,Metal
N225154,7.19,10.53,,1.25,ML225 Graphite,Metal
N225421,7.19,10.53,,1.25,ML225 Jet Black,Metal
N225452,7.19,10.53,,1.25,ML225 Frosted Gold,Metal
N225469,7.19,10.53,,1.25,ML225 Modern Pewter,Metal
NC3996,6.65,11.63,13.96,0.88,Canyon Ivory,Wood
NC14603,5.53,9.68,11.62,0.75,Castile Forged Pewter,Wood
NC14604,5.53,9.68,11.62,0.75,Castile Forged Iron,Wood
NC14606,5.53,9.68,11.62,0.75,Castile Forged Brass,Wood
NC14609,5.53,9.68,11.62,0.75,Castile Forged Bronze,Wood
NC14703,7.25,12.69,15.23,1.31,Castile Forged Pewter,Wood
NC14704,7.25,12.69,15.23,1.31,Castile Forged Iron,Wood
NC14706,7.25,12.69,15.23,1.31,Castile Forged Brass,Wood
NC14709,7.25,12.69,15.23,1.31,Castile Forged Bronze,Wood
NC14803,10.5,18.39,22.07,2.5,Castile Forged Pewter,Wood
NC14804,10.5,18.39,22.07,2.5,Castile Forged Iron,Wood
NC14806,10.5,18.39,22.07,2.5,Castile Forged Brass,Wood
NC14809,10.5,18.39,22.07,2.5,Castile Forged Bronze,Wood
NC17004,8.06,14.1,16.92,2,Dualita Ebony,Wood
NC17005,8.06,14.1,16.92,2,Dualita White Oak,Wood
NC17009,8.06,14.1,16.92,2,Dualita Mahogany,Wood
NC17013,8.06,14.1,16.92,2,Dualita Black Walnut,Wood
NC17017,8.06,14.1,16.92,2,Dualita Honey Birch,Wood
NC17027,8.06,14.1,16.92,2,Dualita Hickory,Wood
NC17104,6.5,11.38,13.66,1.5,Dualita Ebony,Wood
NC17105,6.5,11.38,13.66,1.5,Dualita White Oak,Wood
NC17109,6.5,11.38,13.66,1.5,Dualita Mahogany,Wood
NC17113,6.5,11.38,13.66,1.5,Dualita Black Walnut,Wood
NC17117,6.5,11.38,13.66,1.5,Dualita Honey Birch,Wood
NC17127,6.5,11.38,13.66,1.5,Dualita Hickory,Wood
NC17403,6.5,11.38,13.66,1.5,Colonna Windswept,Wood
NC17404,6.5,11.38,13.66,1.5,Colonna Gilded Black,Wood
NC17409,6.5,11.38,13.66,1.5,Colonna Sepia,Wood
NC17481,6.5,11.38,13.66,1.5,Colonna Sage,Wood
NC17491,6.5,11.38,13.66,1.5,Colonna Terra,Wood
NC17492,6.5,11.38,13.66,1.5,Colonna Slate,Wood
NC17503,8.11,14.2,17.04,2.25,Colonna Windswept,Wood
NC17504,8.11,14.2,17.04,2.25,Colonna Gilded Black,Wood
NC17509,8.11,14.2,17.04,2.25,Colonna Sepia,Wood
NC17581,8.11,14.2,17.04,2.25,Colonna Sage,Wood
NC17591,8.11,14.2,17.04,2.25,Colonna Terra,Wood
NC17592,8.11,14.2,17.04,2.25,Colonna Slate,Wood
NC17703,6.5,11.38,13.66,1.75,Rialto Pelican,Wood
NC17704,6.5,11.38,13.66,1.75,Rialto Cypress,Wood
NC17709,6.5,11.38,13.66,1.75,Rialto Walnut,Wood
NC17791,6.5,11.38,13.66,1.75,Rialto Cedar,Wood
NC17803,8.27,14.47,17.36,2.5,Rialto Pelican,Wood
NC17804,8.27,14.47,17.36,2.5,Rialto Cypress,Wood
NC17809,8.27,14.47,17.36,2.5,Rialto Walnut,Wood
NC17891,8.27,14.47,17.36,2.5,Rialto Cedar,Wood
NC17902,4.35,7.61,9.13,1,Marrakesh Medina Silver,Wood
NC17914,4.35,7.61,9.13,1,Marrakesh Galena Black,Wood
NC17915,4.35,7.61,9.13,1,Marrakesh Tajine,Wood
NC17941,4.35,7.61,9.13,1,Marrakesh Saffron Gold,Wood
NC18002,8.7,15.24,18.28,2.25,Marrakesh Medina Silver,Wood
NC18014,8.7,15.24,18.28,2.25,Marrakesh Galena Black,Wood
NC18015,8.7,15.24,18.28,2.25,Marrakesh Tajine,Wood
NC18041,8.7,15.24,18.28,2.25,Marrakesh Saffron Gold,Wood
NC18102,6.81,11.92,14.3,1.38,Marrakesh Medina Silver,Wood
NC18106,3.01,5.26,6.31,0.75,Altamira Slate,Wood
NC18107,3.01,5.26,6.31,0.75,Altamira Ivory,Wood
NC18109,3.01,5.26,6.31,0.75,Altamira Umber,Wood
NC18114,6.81,11.92,14.3,1.38,Marrakesh Galena Black,Wood
NC18115,6.81,11.92,14.3,1.38,Marrakesh Tajine,Wood
NC18141,6.81,11.92,14.3,1.38,Marrakesh Saffron Gold,Wood
NC18206,4.5,7.88,9.46,1.25,Altamira Slate,Wood
NC18207,4.5,7.88,9.46,1.25,Altamira Ivory,Wood
NC18209,4.5,7.88,9.46,1.25,Altamira Umber,Wood
NC18502,4.99,8.74,10.48,1.25,Ironworks Silver,Wood
NC18503,4.99,8.74,10.48,1.25,Ironworks Pewter,Wood
NC18504,4.99,8.74,10.48,1.25,Ironworks Black,Wood
NC18515,4.99,8.74,10.48,1.25,Ironworks Champagne,Wood
NC18562,4.99,8.74,10.48,1.25,Ironworks Bronze,Wood
NC18602,4.79,8.39,10.07,1.38,Ironworks Silver Slant,Wood
NC18603,4.79,8.39,10.07,1.38,Ironworks Pewter Slant,Wood
NC18604,4.79,8.39,10.07,1.38,Ironworks Black Slant,Wood
NC18615,4.79,8.39,10.07,1.38,Ironworks Champagne Slant,Wood
NC18662,4.79,8.39,10.07,1.38,Ironworks Bronze Slant,Wood
