ITEM,description,WIDTH,cost,group
C7706,HARVEST MOORMAN 32X40,32x40,102.14,Matboard
C7707,MIDNIGHT MOORMAN 32X40,32x40,102.14,Matboard
C7801,ANTWHT SILK MOORMAN 32X4,32x40,73.02,Matboard
C81027,SILVER GRAY 40X60,40x60,28.2,Matboard
C81028,SPICE IVORY 40X60,40x60,28.2,Matboard
C81038,MAROON 40X60,40x60,28.2,Matboard
C81051,OLDE TAN 40X60,40x60,28.2,Matboard
C81081,VOLCANO BLUE 40X60,40x60,28.2,Matboard
C81088,MIST 40X60,40x60,28.2,Matboard
C81096,SEPIA 40X60,40x60,28.2,Matboard
C81104,ANT.TAN 4PL 40X60 MUS SO,40x60,67.62,Matboard
C81105,DESERT SAND4PL 40X60MUSSOL,40x60,85.17,Matboard
C81106,ANT GRY 4PL 40X60 MUS SO,40x60,67.62,Matboard
C81112,SOFT WHT RAG MUSEUM 40X6,40x60,80.59,Matboard
C81114,ALMOND RAG MUSEUM 40X60,40x60,85.17,Matboard
C81115,BLACK RAG MUSEUM 40X60,40x60,105.86,Matboard
C81121,INVERNESS RAG MUSM 40X60,40x60,68.3,Matboard
C81126,SND DOLR 4PL 40X60 MUSSO,40x60,63.97,Matboard
C81188,WINTER WHITE RAG MUS 40X60,40x60,63.97,Matboard
C81687,EIDERDOWN 100% RAG 40X60,40x60,62.65,Matboard
C821112,SOFTWHT RAG MUS 8PL 40X6,40x60,185.87,Matboard
C821115,BLK RAG MUSEUM 8PL 40X60,40x60,199.45,Matboard
C821188,WINTER WHIT 8PLY RAG 40X60,40x60,231.82,Matboard
C82239,ANTWHT RAG MUS 8PL 40X60,40x60,185.87,Matboard
C8229502,40X60 SEL WHITE SALE 8 PLY,40x60,71.32,Matboard
C8229508,40X60 SELWHITE SANDS 8 PLY,40x60,71.32,Matboard
C8229613,40X60 SEL SUPE WHITE 8 PLY,40x60,71.32,Matboard
C825700,VIVDWHT 40X60 8PL SEL CN,40x60,110.29,Matboard
C825702,WHT 40X60 8PLY SEL CNSSL,40x60,88.43,Matboard
C825703,ANTWHT 40X60 8PL SEL CNS,40x60,110.29,Matboard
C825706,TAN 40X60 8PL SEL CNSSLD,40x60,87.55,Matboard
C825711,BLK 40X60 8PLY SEL CNSSL,40x60,93.69,Matboard
C825712,40X60 SELSLD CLOUDGRAY8PLY,40x60,87.55,Matboard
C831,SMOOTH BLACK 40X60,40x60,28.2,Matboard
C83214,CHINESE RED 40X60,40x60,28.2,Matboard
C83300,ALABASTER FLANNEL 40X60,40x60,28.2,Matboard
C83326,LAPIS 40X60,40x60,28.2,Matboard
C83331,SAGE 40X60,40x60,28.2,Matboard
C85579,ETCHED BLK 40X60 SELECT,40x60,60.82,Matboard
C85598,ETCH BLK 40X60 SEL IMPAC,40x60,46.18,Matboard
C85700,VIVIDWHT 40X60 SEL CNSSL,40x60,63.86,Matboard
C85702,WHITE 40X60 SEL CNSSLD,40x60,50.42,Matboard
C85703,ANTQWHT 40X60 SEL CNSSLD,40x60,50.72,Matboard
C85704,CRM 40X60 CRESSEL CNSSLD,40x60,50.72,Matboard
C85706,TAN 40X60 CRESSEL CNSSLD,40x60,50.72,Matboard
C85711,BLACK 40X60 SEL CNSSLD,40x60,72.21,Matboard
C85713,40X60 SEL SLD NEUTRAL GRAY,40x60,51.23,Matboard
C85714,40X60 SEL SLD CLASSIC GRAY,40x60,57.34,Matboard
C863297,ARCTIC WHITE B.C 40X60,40x60,34.89,Matboard
C87100,MOUTARDE MOORMAN 40X60,40x60,121.06,Matboard
C87101,PERLE MOORMAN 40X60,40x60,121.06,Matboard
C87102,DUNE MOORMAN 40X60,40x60,121.06,Matboard
C87104,CHAMOIS MOORMAN 40X60,40x60,121.06,Matboard
C87105,DARK RUST MOORMAN 40X60,40x60,121.06,Matboard
C87106,ANTELOPE MOOMANE 40X60,40x60,121.06,Matboard
C87109,TAUPE MOORMAN 40X60,40x60,121.06,Matboard
C87111,SHAMROCK GREEN 40X60,40x60,121.06,Matboard
C87112,BORDEAUX MOORMAN 40X60,40x60,121.06,Matboard
C87113,MARINE BLUE MOORMAN 40X6,40x60,152.51,Matboard
C87114,BLACK MOORMAN 40X60,40x60,152.51,Matboard
C87115,MOKA MOORMAN 40X60,40x60,121.06,Matboard
C87116,CHINESE RED MOORMAN 40X6,40x60,152.51,Matboard
C87120,POLARIS MOORMAN 40X60,40x60,121.06,Matboard
C87127,40X60 MRM SDE MILKWEED,40x60,121.06,Matboard
C87128,OFF WHITE MOORMAN 40X60,40x60,121.06,Matboard
C87132,WHISPER MOORMAN 40X60,40x60,121.06,Matboard
C87133,DUSTY GREEN MOORMAN 40X6,40x60,152.51,Matboard
C87134,SPARAGUS MOORMAN 40X60,40x60,121.06,Matboard
C87135,40X60 MRM SDE PINE GREEN,40x60,121.06,Matboard
C87136,LE BEIGE MOORMAN 40X60,40x60,121.06,Matboard
C87139,ANTHRACITE MOORMAN 40X60,40x60,122.27,Matboard
C87141,PLATINUM MOORMAN 40X60,40x60,121.06,Matboard
C87155,WILDGRASS MOORMAN 40X60,40x60,122.27,Matboard
C87157,CATTAIL MOORMAN 40X60,40x60,121.06,Matboard
C87158,STORM GRAY MOORMAN 40X60,40x60,121.06,Matboard
C87163,RATTAN MOORMAN 40X60,40x60,121.06,Matboard
C87164,MEADOW MOORMAN 40X60,40x60,122.27,Matboard
C87166,NAVY MOORMAN 40X60,40x60,122.27,Matboard
C87168,GRAPHITE MOORMAN 40X60,40x60,122.27,Matboard
C87180,WHITE MOORMAN 40X60,40x60,122.27,Matboard
C87182,BRONZE MOORMAN 40X60,40x60,122.27,Matboard
C87183,MOCCASIN MOORMAN 40X60,40x60,122.27,Matboard
C87184,CINNAMON MOORMAN 40X60,40x60,121.06,Matboard
C87185,CHAMBORD MOORMAN 40X60,40x60,121.06,Matboard
C87188,MERCURY MOORMAN 40X60,40x60,121.06,Matboard
C87190,OLIVE MOORMAN 40X60,40x60,121.06,Matboard
C87191,PFALZGRAFF MOORMAN 40X60,40x60,121.06,Matboard
C87193,TUMBLEWEED MOORMAN 40X60,40x60,122.27,Matboard
C87195,SAPPHIRE MOORMAN 40X60,40x60,152.51,Matboard
C87199,SPRUCE MOORMAN 40X60,40x60,121.06,Matboard
C87501,VINK TWEED MOORMAN 40X60,40x60,116.44,Matboard
C87513,FOREST GRN MOORMAN 40X60,40x60,116.44,Matboard
C87519,WHITE MOORMAN 40X60,40x60,117.6,Matboard
C87522,BLACK MOORMAN 40X60,40x60,117.6,Matboard
C87526,CREAM MOORMAN 40X60,40x60,116.44,Matboard
C87540,LT BEIGE MOORMAN 40X60,40x60,117.6,Matboard
C87542,40X60 MRM LIN RED CARPET,40x60,116.44,Matboard
C87548,40X60 MRM LIN TRUE BLUE,40x60,117.6,Matboard
C87549,40X60 MRM LIN JASPER BROWN,40x60,116.44,Matboard
C87550,SMOKEY HILL MOORMAN 40X6,40x60,146.66,Matboard
C87551,FLAX MOORMAN 40X60,40x60,116.44,Matboard
C87553,EDELWEISS MOORMAN 40X60,40x60,117.6,Matboard
C87554,NORTH SEA MOORMAN 40X60,40x60,116.44,Matboard
C87556,40X60 MRM LINDUTCH CHOCO,40x60,116.44,Matboard
C87557,40X60 MRM LIN TOPIARY,40x60,116.44,Matboard
C87560,BASQUE MOORMAN 40X60,40x60,116.44,Matboard
C87564,MAROON MOORMAN 40X60,40x60,116.44,Matboard
C87571,40X60 MRM LIN DELFT BROWN,40x60,116.44,Matboard
C87572,40X60 MRM LIN WORN GRAY,40x60,117.6,Matboard
C87573,40X60 MRM LIN BRINDL BRWN,40x60,116.44,Matboard
C87580,BURGUNDY MOORMAN 40X60,40x60,116.44,Matboard
C87581,JEWEL BLUE MOORMAN 40X60,40x60,117.6,Matboard
C87582,LOTUS LINEN MOORMAN 40X6,40x60,116.44,Matboard
C87586,SUMI LINEN MOORMAN 40X60,40x60,116.44,Matboard
C87597,OFF WHITE MOORMAN 40X60,40x60,116.44,Matboard
C87700,40X60 MRM LIN WARM WHITE,40x60,194.45,Matboard
C87706,40X60 MRM LIN HARVEST,40x60,194.45,Matboard
C87707,40X60 MRM LIN MIDNIGHT,40x60,194.45,Matboard
C8900,RED 40X60,40x60,28.2,Matboard
C8948,SAND 40X60,40x60,28.2,Matboard
C89500,WHT GLOVE 40X60 SELECT,40x60,49.54,Matboard
C89501,WHT COLLAR 40X60 SELECT,40x60,49.54,Matboard
C89502,WHT SALE 40X60 SELECT,40x60,49.58,Matboard
C89505,WHT WASH 40X60 SELECT,40x60,39.74,Matboard
C89506,EGG WHT 40X60 CRES SELEC,40x60,39.35,Matboard
