Item,Description,Price,FortybySixty
C7193,TUMBLEWEED SUEDE 32 X 40,61.47,
C7194,GARNET SUEDE 32 X 40,61.47,
C7195,SAPPHIRE SUEDE 32 X 40,61.47,
C7196,TEAL SUEDE 32 X 40,61.47,
C7199,SPRUCE SUEDE 32 X 40,61.47,
C7310,ICICLE SHIMMER WOVEN 32 X 40,122.99,
C7311,GOLDEN MOON SHIMMER WOVEN 32 X 40,122.99,
C7312,MINT JULEP SHIMMER WOVEN 32 X 40,122.99,
C7313,PRALINE SHIMMER WOVEN 32 X 40,122.99,
C7314,STARDUST SHIMMER WOVEN 32 X 40,122.99,
C7315,BLUE GALAXY SHIMMER WOVEN 32 X 40,122.99,
C7501,VINK TWEED LINEN 32 X 40,52.99,
C7513,FOREST GREEN LINEN 32 X 40,52.99,
C7519,WHITE LINEN 32 X 40,52.99,
C7520,MEDIUM GRAY LINEN 32 X 40,52.99,
C7521,BLUE GRAY LINEN 32 X 40,52.99,
C7522,BLACK LINEN 32 X 40,52.99,
C7526,CREAM LINEN 32 X 40,52.99,
C7531,LIGHT GRAY LINEN 32 X 40,52.99,
C7533,MEDIUM BLUE LINEN 32 X 40,52.99,
C7536,BLUE GREEN LINEN 32 X 40,52.99,
C7537,LIGHT MOSS LINEN 32 X 40,52.99,
C7540,LIGHT BIEGE LINEN 32 X 40,52.99,
C7541,SILVER GRAY LINEN 32 X 40,52.99,
C7542,RED CARPET LINENS 32 X 40,52.99,
C7548,TRUE BLUE LINENS 32 X 40,52.99,
C7549,JASPER BROWN LINENS 32 X 40,52.99,
C7550,SMOKEY HILL LINEN 32 X 40,52.99,
C7551,FLAX LINEN 32 X 40,52.99,
C7553,EDELWEISS LINEN 32 X 40,52.99,
C7554,NORTH SEA LINEN 32 X 40,52.99,
C7556,DUTCH CHOCOLATE LINENS 32 X 40,52.99,
C7557,TOPIARY LINENS 32 X 40,52.99,
C7560,BASQUE LINEN 32 X 40,52.99,
C7564,MAROON LINEN 32 X 40,52.99,
C7565,VINTAGE RUBY LINEN 32 X 40,52.99,
C7566,AMETHYST LINEN 32 X 40,52.99,
C7567,ULTRAMARINE BLUE LINEN 32 X 40,52.99,
C7569,LODEN GREEN LINEN 32 X 40,52.99,
C7572,WORN GRAY LINENS 32 X 40,52.99,
C7543,DARK MAUVE LINEN 32 X 40,52.99,
