ITEM,description,fortybysixty,UPC,cost,group
C87580,MOORMAN LINEN BURGUNDY 40X60,40x60,93924127892,92.66,Matboard
C87581,MOORMAN LINEN JEWEL BLUE 40X60,40x60,93924127908,92.66,Matboard
C87582,MOORMAN LINEN LOTUS 40X60,40x60,93924133404,92.66,Matboard
C87586,MOORMAN LINEN SUMI 40X60,40x60,93924133428,92.66,Matboard
C87597,MOORMAN LINEN OFF WHITE 40X60,40x60,93924112829,92.66,Matboard
C87700,40X60 MRM LIN Warm White,40x60,93924185885,155.05,Matboard
C87706,40X60 MRM LIN Harvest,40x60,93924185892,155.05,Matboard
C87707,40X60 MRM LIN Midnight,40x60,93924185915,155.05,Matboard
C8900,RED 40X60,40x60,93924204777,22.19,Matboard
C8918,VERY WHITE 40X60,40x60,93924231872,22.19,Matboard
C8948,SAND 40X60,40x60,93924204814,22.19,Matboard
C89500,SELECT WHITE GLOVE 40X60,40x60,93924194092,32.03,Matboard
C89501,SELECT WHITE COLLAR 40X60,40x60,93924194108,32.03,Matboard
C89502,SELECT WHITE SALE 40X60,40x60,93924194115,32.03,Matboard
C89505,SELECT WHITE WASH 40X60,40x60,93924194085,32.03,Matboard
C89506,SELECT EGG WHITE 40X60,40x60,93924194122,32.03,Matboard
C89507,SELECT WHITE ELEPHANT 40X60,40x60,93924185496,32.03,Matboard
C89508,SELECT WHITE SANDS 40X60,40x60,93924185502,32.03,Matboard
C89511,SELECT FOSSIL 40X60,40x60,93924193903,32.03,Matboard
C89514,40X60 SEL Toasty,40x60,93924193910,32.03,Matboard
C89516,SELECT TUSK 40X60,40x60,93924186035,32.03,Matboard
C89518,SUMMER 40X60,40x60,93924186042,32.03,Matboard
C89520,SELECT HAYSTACK 40X60,40x60,93924186059,32.03,Matboard
C89521,GOLD RUSH 40X60,40x60,93924186066,37.59,Matboard
C89527,SELECT WISE GREEN 40X60,40x60,93924184239,32.03,Matboard
C89533,SELECT BONSAI 40X60,40x60,93924184321,32.03,Matboard
C89542,SELECT BLUE MONDAY 40X60,40x60,93924184376,32.03,Matboard
C89552,NYPD 40X60,40x60,93924169618,32.03,Matboard
C89553,SELECT MOODY BLUE 40X60,40x60,93924184383,32.03,Matboard
C89554,SELECT PHARAOH 40X60,40x60,93924169632,32.03,Matboard
C89574,SELECT MAROONED 40X60,40x60,93924184352,32.03,Matboard
C89591,SELECT TOP SOIL 40X60,40x60,93924184369,32.03,Matboard
C89592,SELECT BLIZZARD 40X60,40x60,93924184338,32.03,Matboard
