item,Description,cost,Chop,Join,rabbet fraction,size fraction,group
WM3673,3/4 SILVER,3.98,6.97,8.71, 7/16, 3/4 ,Wood
WM3674,3/4 SILVER BLACK,3.98,6.97,8.71, 7/16, 3/4 ,Wood
WM3675,3/4 SILVER ORANGE,3.98,6.97,8.71, 7/16, 3/4 ,Wood
WM3676,3/4 SILVER NAVY,3.98,6.97,8.71, 7/16, 3/4 ,Wood
WM3677,3/4 SILVER GREEN,3.98,6.97,8.71, 7/16, 3/4 ,Wood
WM3678,1 GOLD IVORY,4.36,7.62,9.53, 7/16,1,Wood
WM3679,1 SILVER IVORY,4.36,7.62,9.53, 7/16,1,Wood
WM3680,1 SILVER BLACK,4.36,7.62,9.53, 7/16,1,Wood
WM3681,1 SILVER ORANGE,4.36,7.62,9.53, 7/16,1,Wood
WM3682,1 SILVER NAVY,4.36,7.62,9.53, 7/16,1,Wood
WM3683,1 SILVER GREEN,4.36,7.62,9.53, 7/16,1,Wood
WM3684,9/16 ORANGE SLOPE,1.90,3.32,4.15, 1/2 , 9/16,Wood
WM3685,9/16 YELLOW SLOPE,1.90,3.32,4.15, 1/2 , 9/16,Wood
WM3686,9/16 RED SLOPE,1.90,3.32,4.15, 1/2 , 9/16,Wood
WM3687,9/16 GREEN SLOPE,1.90,3.32,4.15, 1/2 , 9/16,Wood
WM3688,9/16 BLACK SLOPE,1.90,3.32,4.15, 1/2 , 9/16,Wood
WM3689,9/16 NAVY SLOPE,1.90,3.32,4.15, 1/2 , 9/16,Wood
WM3690,9/16 WHITE SLOPE,1.90,3.32,4.15, 1/2 , 9/16,Wood
WM3695,5/8 FLAT LIGHT CHERRY,1.06,1.84,2.29, 3/8 , 5/8 ,Wood
WM3696,5/8 FLAT WALNUT,1.06,1.84,2.29, 3/8 , 5/8 ,Wood
WM3697,5/8 FLAT CHARCOAL BLACK,1.06,1.84,2.29, 3/8 , 5/8 ,Wood
WM3698,5/8 FLAT LIGHT MAHOGANY,0.88,1.53,1.91, 3/8 , 5/8 ,Wood
WM3699,13/16 FLAT LIGHT CHERRY,1.18,2.06,2.57, 3/8 ,13/16,Wood
WM3700,13/16 FLAT WALNUT,1.18,2.06,2.57, 3/8 ,13/16,Wood
WM3701,13/16 FLAT CHARCOAL BLACK,1.18,2.06,2.57, 3/8 ,13/16,Wood
WM3702,13/16 FLAT LIGHT MAHOGANY,1.18,2.06,2.57, 3/8 ,13/16,Wood
WM3706,1 GOLD BAMBOO,3.19,5.91,7.39, 3/4 ,1,Wood
WM3707,1 WALNUT BAMBOO,3.19,5.91,7.39, 3/4 ,1,Wood
WM3709,5/8 LIGHT BROWN DUNE,2.68,4.96,6.20, 5/8 , 5/8 ,Wood
WM3710,5/8 BLUE GRAY DUNE,2.68,4.96,6.20, 5/8 , 5/8 ,Wood
WM3711,5/8 BLACK DUNE,2.68,4.96,6.20, 5/8 , 5/8 ,Wood
WM3713,1/2 SILVER FILLET(LENGTH ONLY),1.39,,,, 1/2 ,Fillet
WM3715,1 1/8 BLACK DUNE,3.24,5.99,7.49, 1/2 ,1  1/8 ,Wood
WM3716,1 3/4 BLACK DUNE,4.24,7.52,9.40, 1/2 ,1  3/4 ,Wood
WM3717,2 1/2 BLACK DUNE,6.36,11.17,13.96, 1/2 ,2  1/2 ,Wood
WM3720,1 REVERSE CHARCOAL BLACK W/,1.09,1.90,2.37, 3/8 ,1,Wood
WM3727,1 REVERSE CHARCOAL W/SILVER,1.33,2.33,2.91, 1/4 ,1,Wood
WM3729,1 3/4 MARBLED GOLD W/FANCY LIP,7.58,13.06,16.31, 1/2 ,1  3/4 ,Wood
WM3730,1 3/4 MARBLED SILV W/FANCY LIP,7.58,13.06,16.31, 1/2 ,1  3/4 ,Wood
WM3731,5/8 RIPPLED SOLID GOLD,4.85,8.13,10.15, 1/2 , 5/8 ,Wood
WM3732,5/8 RIPPLED SOLID SILVER,4.85,8.13,10.15, 1/2 , 5/8 ,Wood
WM3733,5/8 RIPPLED DARK GOLD W/BROWN,4.85,8.13,10.15, 1/2 , 5/8 ,Wood
WM3734,5/8 RIPPLED DARK SILV W/DARK,4.85,8.13,10.15, 1/2 , 5/8 ,Wood
WM3735,5/8 RIPPLED SOLID SILV W/WHIT,4.85,8.13,10.15, 1/2 , 5/8 ,Wood
WM3736,5/8 WEATHERED BLUE WASH,2.21,3.86,4.84, 1/2 , 5/8 ,Wood
WM3737,5/8 WEATHERED GREY WASH,2.21,3.86,4.84, 1/2 , 5/8 ,Wood
WM3738,5/8 WEATHERED ORANGE WASH,2.21,3.86,4.84, 1/2 , 5/8 ,Wood
WM3739,5/8 WEATHERED PINK WASH,2.21,3.86,4.84, 1/2 , 5/8 ,Wood
WM3740,5/8 WEATHERED GREEN WASH,2.21,3.86,4.84, 1/2 , 5/8 ,Wood
WM3741,5/8 WEATHERED GREY/BLUE WASH,2.21,3.86,4.84, 1/2 , 5/8 ,Wood
WM3742,5/8 WEATHERED WHITE WASH,2.21,3.86,4.84, 1/2 , 5/8 ,Wood
WM3763,1 1/8 LIGHT WALNUT SILVER LIP,2.75,5.09,6.49, 1/2 ,1  1/8 ,Wood
WM3764,1 1/8 DARK WALNUT SILVER LIP,2.75,5.09,6.49, 1/2 ,1  1/8 ,Wood
WM3765,1 5/8 LIGHT WALNUT SILVER LIP,4.02,7.36,9.38, 1/2 ,1  5/8 ,Wood
WM3766,1 5/8 DARK WALNUT SILVER LIP,4.02,7.36,9.38, 1/2 ,1  5/8 ,Wood
WM3767,3/4 WHITE LARCH VENEER,3.39,5.98,7.48, 3/4 , 1/2 ,Wood
WM3768,3/4 GREY LARCH VENEER,3.39,5.98,7.48, 3/4 , 1/2 ,Wood
WM3769,3/4 BLACK LARCH VENEER,3.39,5.98,7.48, 3/4 , 1/2 ,Wood
WM3770,1 5/8 WHITE LARCH VENEER,5.90,10.31,12.88, 3/4 , 1/2 ,Wood
WM3771,1 5/8 GREY LARCH VENEER,5.90,10.31,12.88,1  5/8 , 1/2 ,Wood
WM3772,1 5/8 BLACK LARCH VENEER,5.90,10.31,12.88,1  5/8 , 1/2 ,Wood
WM3773,7/8 WHITE LARCH VENEER,5.00,9.24,11.55, 7/8 ,1,Wood
WM3774,7/8 GREY LARCH VENEER,5.00,9.24,11.55, 7/8 ,1,Wood
WM3775,7/8 BLACK LARCH VENEER,5.00,9.24,11.55, 7/8 ,1,Wood
WM3776,7/8 SILVER,3.24,5.73,7.17, 7/8 , 1/2 ,Wood
WM3777,7/8 GOLD,3.24,5.73,7.17, 7/8 , 1/2 ,Wood
WM3778,7/8 CHARCOAL,3.24,5.73,7.17, 7/8 , 1/2 ,Wood
WM3779,1 3/4 SILVER,5.20,9.62,12.02,1  3/4 , 1/2 ,Wood
WM3780,1 3/4 GOLD,5.20,9.62,12.02,1  3/4 , 1/2 ,Wood
WM3781,1 3/4 CHARCOAL,5.20,9.62,12.02,1  3/4 , 1/2 ,Wood
WM3782,1 1/4 ORNATE SILVER,6.06,10.48,13.10, 9/16,1  1/4 ,Wood
WM3783,1 1/4 ORNATE GOLD,6.06,10.48,13.10, 9/16,1  1/4 ,Wood
WM3784,1 1/4 ORNATE WHITE,4.97,8.54,10.67, 9/16,1  1/4 ,Wood
WM3785,1 1/2 WASHED OFF WHITE W/SILV,3.30,5.78,7.23, 1/2 ,1  1/2 ,Wood
WM3786,1 1/2 WASHED BLACK W/SILVER,3.30,5.78,7.23, 1/2 ,1  1/2 ,Wood
WM3787,1 1/2 WASHED GREY W/SILVER,3.30,5.78,7.23, 1/2 ,1  1/2 ,Wood
WM3788,2 5/8 WHITE NATURAL WOOD,4.50,7.88,9.85, 1/2 ,2  5/8 ,Wood
WM3790,2 5/8 BROWN BEECHWOOD,4.50,7.88,9.85, 1/2 ,2  5/8 ,Wood
WM3791,1 5/8 WHITE NATURAL WOOD,2.94,5.15,6.44, 1/2 ,1  5/8 ,Wood
WM3794,2 1/2 SILVER SLOPE,5.40,9.45,11.81, 1/2 ,2  1/2 ,Wood
WM3795,2 1/2 BRONZE SLOPE,5.40,9.45,11.81, 1/2 ,2  1/2 ,Wood
WM3797,2 1/2 CHAMPAGNE SLOPE,5.40,9.45,11.81, 1/2 ,2  1/2 ,Wood
WM3802,1 7/8 REV OFF WHITE  W/SILV,3.66,6.41,8.01, 1/2 ,1  7/8 ,Wood
WM3803,1 7/8 REVERSE WALNUT W/SILVER,3.66,6.41,8.01, 1/2 ,1  7/8 ,Wood
WM3805,1 1/8 REVERSE MAHOGANY WBEAD,2.34,4.10,5.13, 1/2 ,1  1/8 ,Wood
WM3806,3/4 CONCAVE ANTIQUE WHITE,1.92,3.36,4.20, 5/8 , 3/4 ,Wood
WM3808,3/4 CONCAVE PEWTER,1.92,3.36,4.20, 5/8 , 3/4 ,Wood
WM3809,3/4 HIGH GLOSS LIGHT GREEN,1.68,2.94,3.68, 5/8 , 3/4 ,Wood
WM3810,3/4 HIGH GLOSS RED,1.68,2.94,3.68, 5/8 , 3/4 ,Wood
WM3811,3/4 HIGH GLOSS DARK GREY,1.68,2.94,3.68, 5/8 , 3/4 ,Wood
WM3812,3/4 HIGH GLOSS ORANGE,1.68,2.94,3.68, 5/8 , 3/4 ,Wood
WM3813,3/4 HIGH GLOSS BLUE,1.68,2.94,3.68, 5/8 , 3/4 ,Wood
WM3814,3/4 HIGH GLOSS MAUVE,1.68,2.94,3.68, 5/8 , 3/4 ,Wood
WM3815,3/4 HIGH GLOSS LIGHT GREY,1.68,2.94,3.68, 5/8 , 3/4 ,Wood
WM3816,3/4 HIGH GLOSS GREEN,1.68,2.94,3.68, 5/8 , 3/4 ,Wood
WM3817,1/2 HIGH GLOSS LIGHT GREEN,1.32,2.31,2.89, 3/8 , 1/2 ,Wood
WM3818,1/2 HIGH GLOSS RED,1.32,2.31,2.89, 3/8 , 1/2 ,Wood
WM3819,1/2 HIGH GLOSS DARK GREY,1.32,2.31,2.89, 3/8 , 1/2 ,Wood
WM3820,1/2 HIGH GLOSS ORANGE,1.32,2.31,2.89, 3/8 , 1/2 ,Wood
WM3821,1/2 HIGH GLOSS BLUE,1.32,2.31,2.89, 3/8 , 1/2 ,Wood
WM3822,1/2 HIGH GLOSS MAUVE,1.32,2.31,2.89, 3/8 , 1/2 ,Wood
WM3823,1/2 HIGH GLOSS LIGHT GREY,1.32,2.31,2.89, 3/8 , 1/2 ,Wood
WM3824,1/2 HIGH GLOSS GREEN,1.32,2.31,2.89, 3/8 , 1/2 ,Wood
WM3825,7/16 SMOOTH SILVER,1.80,3.15,3.94, 7/8 ,38/87,Wood
WM3827,1 7/8 SILVER LEAF PARLIAMENT,2.85,4.99,6.24, 3/4 ,1  7/8 ,Wood
WM3829,2 1/2 GOLD W/FLAT PANEL,4.74,8.30,10.38, 3/4 ,2  3/8 ,Wood
WM3831,1 3/8 MOTTLED BRUSHED GOLD,5.50,9.47,11.84, 7/16,1  3/8 ,Wood
WM3840,5/8 SLOPE CHARCOAL W/SILVER,2.86,5.01,6.27, 1/2 , 5/8 ,Wood
WM3841,5/8 SLOPE GREY W/SILVER,2.86,5.01,6.27, 1/2 , 5/8 ,Wood
WM3842,5/8 SLOPE BLUE W/SILVER,2.86,5.01,6.27, 1/2 , 5/8 ,Wood
WM3844,5/8 SLOPE BRONZE W/GOLD,2.86,5.01,6.27, 1/2 , 5/8 ,Wood
WM3845,5/8 NAVY BLUE,2.22,3.89,4.86, 5/16, 5/8 ,Wood
WM3846,5/8 GREEN,2.22,3.89,4.86, 5/16, 5/8 ,Wood
WM3847,5/8 SLATE BLUE,2.22,3.89,4.86, 5/16, 5/8 ,Wood
WM3848,5/8 YELLOW,2.22,3.89,4.86, 5/16, 5/8 ,Wood
WM3849,5/8 RED,2.22,3.89,4.86, 5/16, 5/8 ,Wood
WM3850,5/8 WHITE,2.22,3.89,4.86, 5/16, 5/8 ,Wood
WM3851,5/8 ORANGE,2.22,3.89,4.86, 5/16, 5/8 ,Wood
WM3852,9/16 ANTIQUE GOLD,2.59,4.54,5.68, 5/16, 9/16,Wood
WM3853,9/16 GOLD W/GREEN,2.59,4.54,5.68, 5/16, 9/16,Wood
WM3854,9/16 GOLD W/CHARCOAL,2.59,4.54,5.68, 5/16, 9/16,Wood
WM3855,9/16 GOLD W/IVORY,2.59,4.54,5.68, 5/16, 9/16,Wood
WM3856,9/16 ANTIQUE SILVER,2.59,4.54,5.68, 5/16, 9/16,Wood
WM3857,9/16 SILVER W/BLUE,2.59,4.54,5.68, 5/16, 9/16,Wood
WM3858,9/16 SILVER W/GREEN,2.59,4.54,5.68, 5/16, 9/16,Wood
WM3859,9/16 SILVER W/CHARCOAL,2.59,4.54,5.68, 5/16, 9/16,Wood
WM3860,7/8 BEAD WHITE PERLITA,3.24,5.73,7.17, 1/2 , 7/8 ,Wood
WM3861,7/8 BEAD SILVER PERLITA,3.24,5.73,7.17, 1/2 , 7/8 ,Wood
WM3862,7/8 BEAD GOLD PERLITA,3.24,5.73,7.17, 1/2 , 7/8 ,Wood
WM3863,7/8 BEAD BLACK PERLITA,3.24,5.73,7.17, 1/2 , 7/8 ,Wood
WM3864,7/8 SILVER ALUMINA LIVINGSTON,3.48,6.18,7.72, 1/2 , 7/8 ,Wood
WM3865,7/8 SILVER CHAMPAGNE,3.48,6.18,7.72, 1/2 , 7/8 ,Wood
WM3866,7/8 BLACK PIANO LIVINGSTON,3.48,6.18,7.72, 1/2 , 7/8 ,Wood
WM3867,1 3/4 SILVER ALUMINA,6.07,10.59,13.24, 1/2 ,1  3/4 ,Wood
WM3868,1 3/4 SILVER CHAMPAGNE,6.07,10.59,13.24, 1/2 ,1  3/4 ,Wood
WM3869,1 3/4 BLACK PIANO,6.07,10.59,13.24, 1/2 ,1  3/4 ,Wood
WM3870,2 3/4 SILVER ALUMINA,9.49,16.47,20.59, 1/2 ,2  3/4 ,Wood
WM3871,2 3/4 SILVER CHAMPAGNE,9.49,16.47,20.59, 1/2 ,2  3/4 ,Wood
WM3872,2 3/4 BLACK PIANO,9.49,16.47,20.59, 1/2 ,2  3/4 ,Wood
WM3873,1 1/8 WHITE GRAY SILVER LIP,2.77,5.08,6.50, 1/2 ,1  1/8 ,Wood
WM3874,1 1/8 BROWN GRAY SILVER LIP,2.70,5.08,6.50, 1/2 ,1  1/8 ,Wood
WM3875,1 1/8 BLUE GRAY SILVER LIP,2.70,5.08,6.50, 1/2 ,1  1/8 ,Wood
WM3876,2 1/8 WHITE GRAY SILVER LIP,3.96,7.32,9.34, 1/2 ,2  1/8 ,Wood
WM3877,2 1/8 BROWN GRAY SILVER LIP,3.96,7.32,9.34, 1/2 ,2  1/8 ,Wood
WM3878,2 1/8 BLUE GRAY SILVER LIP,3.96,7.32,9.34, 1/2 ,2  1/8 ,Wood
WM3880,7/8 SILVER ELITE,3.86,6.76,8.45, 3/4 , 7/8 ,Wood
WM3881,7/8 BROWN AND SILVER ELITE,3.86,6.76,8.45, 3/4 , 7/8 ,Wood
WM3882,7/8 RED AND SILVER ELITE,3.86,6.76,8.45, 3/4 , 7/8 ,Wood
WM3883,7/8 GREEN AND SILVER ELITE,3.86,6.76,8.45, 3/4 , 7/8 ,Wood
WM3884,7/8 BLACK AND SILVER ELITE,3.86,6.76,8.45, 3/4 , 7/8 ,Wood
WM3885,7/8 BLUE AND SILVER ELITE,3.86,6.76,8.45, 3/4 , 7/8 ,Wood
WM3886,1 5/8 WHITE BUNGALOW HAS KNOTS,6.11,11.29,14.12, 1/2 ,1  5/8 ,Wood
WM3887,1 5/8 GRAY BUNGALOW HAS KNOTS,6.11,11.29,14.12, 1/2 ,1  5/8 ,Wood
WM3888,1 5/8 WALNUT BUNGALOW HAS KNOT,6.11,11.29,14.12, 1/2 ,1  5/8 ,Wood
WM3889,1 5/8 CHARCOAL BUNGALOW KNOTS,6.11,11.29,14.12, 1/2 ,1  5/8 ,Wood
WM3890,2 3/8 WHITE BUNGALOW HAS KNOTS,9.25,15.98,19.97, 1/2 ,2  3/8 ,Wood
WM3891,2 3/8  GRAY BUNGALOW HAS KNOTS,9.25,15.98,19.97, 1/2 ,2  3/8 ,Wood
WM3892,2 3/8 WALNUT BUNGALOW  KNOTS,9.25,15.98,19.97, 1/2 ,2  3/8 ,Wood
WM3893,2 3/8 CHARCOAL BUNGALOW KNOTS,9.25,15.98,19.97, 1/2 ,2  3/8 ,Wood
WM3894,1 1/2 GRAY OAK VENEER DORY,7.12,12.32,15.40, 1/2 ,1  1/2 ,Wood
WM3895,1 1/2 BLACK OAK VENEER DORY,7.12,12.32,15.40, 1/2 ,1  1/2 ,Wood
WM3897,2 1/2 BLACK OAK VENEER DORY,12.38,21.48,26.85, 1/2 ,2  1/2 ,Wood
WM3898,1 CHERRY STAIN FLAT MLDG,3.19,5.64,7.05, 1/2 ,1,Wood
WM3899,1 MAHOGANY STAIN FLAT MLDG,3.19,5.64,7.05, 1/2 ,1,Wood
WM3900,1 3/4 GOLD,6.70,11.72,14.65, 5/8 ,1  3/4 ,Wood
WM3902,1 3/4 COPPER,6.70,11.62,14.65, 5/8 ,1  3/4 ,Wood
WM3903,1 3/4 PEWTER,6.70,11.72,14.65, 5/8 ,1  3/4 ,Wood
WM3904,1 3/4 BLACK,6.70,11.72,14.65, 5/8 ,1  3/4 ,Wood
WM3905,1 3/4 WHITE,6.70,11.72,14.65, 5/8 ,1  3/4 ,Wood
WM3906,7/8 SILVER LEAF,2.95,5.25,6.57, 5/8 , 7/8 ,Wood
WM3907,7/8 GOLD LEAF,2.95,5.25,6.57, 5/8 , 7/8 ,Wood
WM3908,1 3/8 SILVER LEAF,5.51,9.81,12.26,1  1/4 ,1  3/8 ,Wood
WM3909,1 3/8 GOLD LEAF,5.51,9.81,12.26,1  1/4 ,1  3/8 ,Wood
WM3912,3/4 TALL COPPER,5.46,9.44,11.80,1  1/8 , 3/4 ,Wood
WM3913,3/4 TALL BLACK SILVER,5.46,9.44,11.80,1  1/8 , 3/4 ,Wood
WM3922,1 1/8 CHAMPAGE CAMBRIDGE,3.52,6.15,7.69, 1/2 ,1  1/8 ,Wood
WM3923,1 1/8 OXIDIZED CHAMPAGNE,3.52,6.15,7.69, 1/2 ,1  1/8 ,Wood
WM3924,1 1/8 CHAMPAGNE BLACK,3.52,6.15,7.69, 1/2 ,1  1/8 ,Wood
WM3925,1 1/8 CHAMPAGNE WHITE,3.52,6.15,7.69, 1/2 ,1  1/8 ,Wood
WM3926,3/4 ALUMINUM ELEMENT,4.51,7.54,9.42,1  1/16, 3/4 ,Wood
WM3928,3/4 BRASS ELEMENT,4.51,7.54,9.42,1  1/16, 3/4 ,Wood
WM3929,5/8  ALUMINUM ELEMENT,3.43,5.99,7.49, 1/2 , 5/8 ,Wood
WM3931,5/8 BRASS ELEMENT,3.43,5.99,7.49, 1/2 , 5/8 ,Wood
WM3932,7/8 SILVER VINE,4.03,7.15,8.94, 3/8 , 7/8 ,Wood
WM3933,7/8 GOLD VINE,4.03,7.15,8.94, 3/8 , 7/8 ,Wood
WM3934,7/8 WHITE VINE,4.03,7.15,8.94, 3/8 , 7/8 ,Wood
WM3935,7/8 BLACK VINE,4.03,7.15,8.94, 3/8 , 7/8 ,Wood
WM3936,1 1/2 SILVER VINE,6.77,11.86,14.82, 3/8 ,1  1/2 ,Wood
WM3937,1 1/2 GOLD VINE,6.77,11.86,14.82, 3/8 ,1  1/2 ,Wood
WM3938,1 1/2 WHITE VINE,6.77,11.86,14.82, 3/8 ,1  1/2 ,Wood
WM3939,1 1/2 BLACK VINE,6.77,11.86,14.82, 3/8 ,1  1/2 ,Wood
WM3942,1 3/8 WALNUT,6.97,12.04,15.05, 1/2 ,1  3/8 ,Wood
WM3944,2 1/2 GREY,10.30,17.82,22.27, 1/2 ,2  1/2 ,Wood
WM3945,2 1/2 WALNUT,10.30,17.82,22.27, 1/2 ,2  1/2 ,Wood
WM3946,1 SATIN WHITE FLAT MLDG,2.48,4.59,5.73, 1/2 ,1,Wood
WM3947,1/4 SATIN WHITE FLOATER,5.20,9.22,11.52, 7/8 , 1/4 ,Wood
WM3948,1/4 SATIN BLACK FLOATER,5.20,9.22,11.52, 7/8 , 1/4 ,Wood
WM3949,3/4 WHITE GALLERY 1 1/2 DEEP,4.02,7.23,9.03,1  1/2 , 3/4 ,Wood
WM3950,3/4 WHITE SILVER BECKHAM,4.55,8.19,10.23,1  1/2 , 3/4 ,Wood
WM3951,3/4 WHITE GOLD BECKHAM,4.55,8.19,10.23,1  1/2 , 3/4 ,Wood
WM3952,3/4 PURPLE BRONZE BECKHAM,4.55,8.19,10.23,1  1/2 , 3/4 ,Wood
WM3953,3/4 CHARCOAL SILVER BECKHAM,4.55,8.19,10.23,1  1/2 , 3/4 ,Wood
WM3954,3/4 BEIGE JAVA,3.33,5.83,7.29, 5/8 , 3/4 ,Wood
WM3955,3/4 GRAY JAVA,3.33,5.83,7.29, 5/8 , 3/4 ,Wood
WM3956,3/4 BROWN JAVA,3.33,5.83,7.29, 5/8 , 3/4 ,Wood
WM3957,3/4 BLACK JAVA,3.33,5.83,7.29, 5/8 , 3/4 ,Wood
WM3958,3/4 SILVER CLEO,3.63,6.53,8.16, 3/4 , 3/4 ,Wood
WM3959,3/4 GOLD CLEO,3.63,6.53,8.16, 3/4 , 3/4 ,Wood
WM3960,1 1/8 SILVER CLEO,3.74,6.73,8.41, 1/2 ,1  1/8 ,Wood
WM3961,1 1/8 GOLD CLEO,3.74,6.73,8.41, 1/2 ,1  1/8 ,Wood
WM3962,5/8 FLAT SILVER,1.69,3.03,3.79, 1/2 , 5/8 ,Wood
WM3963,5/8 FLAT GOLD,1.69,3.12,3.99, 1/2 , 5/8 ,Wood
WM3965,1 IVORY FERRO,3.54,6.89,8.96, 1/2 ,1,Wood
WM3966,1 CHARCOAL FERRO,3.54,6.89,8.96, 1/2 ,1,Wood
WM3967,1 AUBURN FERRO,3.54,6.89,8.96, 1/2 ,1,Wood
WM3969,1 1/2 CHARCOAL FERRO,5.92,11.54,15.00,1,1  1/2 ,Wood
WM3970,3/4 LEAD SILVER MASSIMO,4.58,8.92,11.59,1, 3/4 ,Wood
WM3971,3/4 CHAMPAGNE MASSIMO,4.58,8.89,11.59,1, 3/4 ,Wood
WM3972,3/4 GOLD MASSIMO,4.58,8.92,11.59,1, 3/4 ,Wood
WM3973,3/4 SILVER MASSIMO,4.58,8.92,11.59,1, 3/4 ,Wood
WM3974,3/4 DARK SILVER MASSIMO,4.58,8.92,11.59,1, 3/4 ,Wood
WM3975,3/4 BLACK GOLD MASSIMO,4.58,8.92,11.59,1, 3/4 ,Wood
WM3976,3/4 GOLD MILANO,5.44,10.59,13.76, 5/8 , 3/4 ,Wood
WM3977,3/4 DARK SILVER,5.44,10.59,13.76, 5/8 , 3/4 ,Wood
WM3978,3/4 CHAMPAGNE MILANO,5.44,10.59,13.76, 5/8 , 3/4 ,Wood
WM3979,3/4 BLACK MILANO,5.44,10.59,13.76, 5/8 , 3/4 ,Wood
WM3980,3/4 ROSE GOLD MILANO,5.44,10.59,13.76, 5/8 , 3/4 ,Wood
WM3981,2 1/2 CHARCOAL BLACK,2.45,4.73,6.15, 1/2 ,2  1/2 ,Wood
WM3982,2 1/2 MARSHMALLOW WHITE,2.45,4.73,6.15, 1/2 ,2  1/2 ,Wood
WM3983,2 1/2 WEATHERED BLUE,2.45,4.73,6.15, 1/2 ,2  1/2 ,Wood
WM3984,3/4 CHARCOAL BLACK,1.94,3.74,4.86,1, 3/4 ,Wood
WM3985,3/4 MARSHMALLOW WHITE,1.94,3.74,4.86,1, 3/4 ,Wood
WM3986,3/4 WHISKEY BROWN,1.94,3.74,4.86,1, 3/4 ,Wood
WM3987,3/4 ALABAMA RED,1.94,3.74,4.86,1, 3/4 ,Wood
WM3988,3/4 WEATHERED BLUE,1.94,3.74,4.86,1, 3/4 ,Wood
WM3989,3/4 DIXIE GREY,1.94,3.74,4.86,1, 3/4 ,Wood
WM3990,3/4 MISSISSIPPI MUD,1.94,3.74,4.86,1, 3/4 ,Wood
WM3991,3/4 OAK GRAIN DARK GREY,2.74,5.34,6.94,1, 3/4 ,Wood
WM3992,3/4 OAK GRAIN NATURAL,2.74,5.34,6.94,1, 3/4 ,Wood
WM3993,3/4 OPEN GRAIN WALNUT,2.74,5.34,6.94,1, 3/4 ,Wood
WM3995,3/4 OPEN GRAIN MAHOGANY,2.74,5.34,6.94,1, 3/4 ,Wood
WM3996,3/4 OAK GRAIN BLACK,2.74,5.34,6.94,1, 3/4 ,Wood
WM3997,3/4 OAK GRAIN LIGHT GREY,2.74,5.34,6.94,1, 3/4 ,Wood
WM3998,3/4 OPEN GRAIN BLACK,2.74,5.34,6.94,1, 3/4 ,Wood
WM3999,3/4 OPEN GRAIN WHITE,2.74,5.34,6.94,1, 3/4 ,Wood
WM4001,3/4 MATTE WHITE,2.85,5.56,7.22,1, 3/4 ,Wood
WM4002,1 1/4 OAK GRAIN DARK GREY,2.74,5.34,6.94, 1/2 ,1  1/4 ,Wood
WM4003,1 1/4 OPEN GRAIN WALNUT,2.74,5.34,6.94, 1/2 ,1  1/4 ,Wood
WM4004,1 1/4 OPEN GRAIN MOCHA,2.74,5.34,6.94, 1/2 ,1  1/4 ,Wood
WM4005,1 1/4 OPEN GRAIN MAHOGANY,2.74,5.34,6.94, 1/2 ,1  1/4 ,Wood
WM4006,1 1/4 OAK GRAIN BLACK,2.74,5.34,6.94, 1/2 ,1  1/4 ,Wood
WM4007,1 1/4 OAK GRAIN LIGHT GREY,2.74,5.34,6.94, 1/2 ,1  1/4 ,Wood
WM4008,1 1/4 OPEN  GRAIN MAPLE,2.74,5.34,6.94, 1/2 ,1  1/4 ,Wood
WM4009,1 1/4 OPEN GRAIN BLACK,2.74,5.34,6.94, 1/2 ,1  1/4 ,Wood
WM4010,1 1/4 OPEN GRAIN WHITE,2.74,5.34,6.94, 1/2 ,1  1/4 ,Wood
WM4011,1 1/4 MATTE WHITE,2.85,5.56,7.22, 1/2 ,1  1/4 ,Wood
WM4013,13/16 NATURAL OAK,4.31,7.54,9.80,15/16,13/16,Wood
WM4014,13/16 DARK WALNUT,4.31,7.54,9.80,15/16,13/16,Wood
WM4015,13/16 LIGHT WALNUT,4.31,7.54,9.80,15/16,13/16,Wood
WM4016,13/16 GREY,4.31,7.54,9.80,15/16,13/16,Wood
WM4018,13/16 WHITE,4.31,7.54,9.80,15/16,13/16,Wood
WM4019,1 5/16 CARBON BLACK,3.80,6.50,8.26, 7/16,1  5/16,Wood
WM4020,1 5/16 BIRCH GREY,3.80,6.50,8.26, 7/16,1  5/16,Wood
WM4021,1 5/16 QUARTZ WHITE,3.80,6.50,8.26, 7/16,1  5/16,Wood
WM4022,1 5/16 MIDNIGHT BLUE,3.80,6.50,8.26, 7/16,1  5/16,Wood
WM4023,1 5/16 SKY BLUE,3.80,6.50,8.26, 7/16,1  5/16,Wood
WM4024,1 5/16 MOSSY GREEN,3.80,6.50,8.26, 7/16,1  5/16,Wood
WM4025,1 5/16 OLIVE,3.80,6.50,8.26, 7/16,1  5/16,Wood
WM4026,1 5/16 RASPBERRY RED,3.80,6.50,8.26, 7/16,1  5/16,Wood
WM4027,1 5/16 EARTH BROWN,3.80,6.50,8.26, 7/16,1  5/16,Wood
WM4028,1 5/16 MUSTARD,3.80,6.50,8.26, 7/16,1  5/16,Wood
WM4029,13/16 CARBON BLACK,3.28,5.49,7.14, 9/16,13/16,Wood
WM4030,13/16 BIRCH GREY,3.28,5.49,7.14, 9/16,13/16,Wood
WM4031,13/16 QUARTZ WHITE,3.28,5.49,7.14, 9/16,13/16,Wood
WM4032,13/16 MIDNIGHT BLUE,3.28,5.49,7.14, 9/16,13/16,Wood
WM4033,13/16 MOSSY GREEN,3.28,5.49,7.14, 9/16,13/16,Wood
