item,Description,cost,Chop,Join,rabbet fraction,size fraction,group
NC87201,1 GOLD LEAF BEAD,6.97,11.50,15.53, 3/8 ,1,Wood
NC87202,1 SILVER LEAF BEAD,6.97,11.50,15.53, 3/8 ,1,Wood
NC87204,1 BLACK BEAD,6.93,11.44,15.45, 3/8 ,1,Wood
NC87209,1 BROWN BEAD,6.93,11.44,15.45, 3/8 ,1,Wood
NC87501,2 GOLD LEAF,12.90,20.65,27.87, 5/8 ,2,Wood
NC87502,2 SILVER LEAF,12.90,20.65,27.87, 5/8 ,2,Wood
NC87504,2 BLACK,9.06,14.50,19.58, 5/8 ,2,Wood
NC87509,2 BROWN,9.06,14.50,19.58, 5/8 ,2,Wood
NC93809,2 5/16 CARBON HYGGE,10.61,18.04,24.35, 3/4 ,2  5/16,Wood
NC93817,2 5/16 NATURAL  HYGGE,10.61,18.04,24.35, 3/4 ,2  5/16,Wood
NC93823,2 5/16 DOVE GREY HYGGE,10.61,18.04,24.35, 3/4 ,2  5/16,Wood
NC93827,2 5/16 WALNUT HYGGE,10.61,18.04,24.35, 3/4 ,2  5/16,Wood
NC93831,2 5/16 DRIFTWOOD HYGGE,10.61,18.04,24.35, 3/4 ,2  5/16,Wood
NC93909,1 CARBON HYGGE,6.24,10.61,14.33,27/40,1,Wood
NC93917,1 NATURAL HYGGE,6.24,10.61,14.33,27/40,1,Wood
NC93923,1 DOVE GREY HYGGE,6.24,10.61,14.33,27/40,1,Wood
NC93927,1 WALNUT HYGGE,6.24,10.61,14.33,27/40,1,Wood
NC93931,1 DRIFTWOOD HYGGE,6.24,10.61,14.33,27/40,1,Wood
NC94009,2 3/16 CARBON HYGGE,9.59,16.31,22.01,11/16,2  3/16,Wood
NC94017,2 3/16 NATURAL HYGGE,9.59,16.31,22.01,11/16,2  3/16,Wood
NC94023,2 3/16 DOVE GREY HYGGE,9.59,16.31,22.01,11/16,2  3/16,Wood
NC94027,2 3/16 WALNUT HYGGE,9.59,16.31,22.01,11/16,2  3/16,Wood
NC94031,2 3/16 DRIFTWOOD HYGGE,9.59,16.31,22.01,11/16,2  3/16,Wood
NC95004,1 7/16 BLACK,3.24,5.18,6.74, 1/2 , 7/16,Wood
NC95104,7/8 BLACK,2.77,4.43,5.75, 5/8 , 7/8 ,Wood
NC95604,1 9/16 BLACK,3.44,5.50,7.15, 1/2 ,1  9/16,Wood
NC96604,2 BLACK,5.93,9.49,12.34,13/16,2,Wood
NC96904,3/4 BLACK,2.33,3.73,4.85, 3/8 , 3/4 ,Wood
NC97101,3/4 ANTIQUE GOLD PALLADIO,6.32,10.10,13.14, 5/8 , 3/4 ,Wood
NC97102,3/4 ANTIQUE SILVER PALLADIO,6.32,10.10,13.14, 5/8 , 3/4 ,Wood
NC97132,3/4 WEDGE BLUE/SIL LEAF PALLA,6.32,10.10,13.14, 5/8 , 3/4 ,Wood
NC97141,3/4 ESPRESSO/GLD LEAF PALLADIO,6.32,10.10,13.14, 5/8 , 3/4 ,Wood
NC97142,3/4 GRAPHITE/SIL LEAF PALLADIO,6.32,10.10,13.14, 5/8 , 3/4 ,Wood
NC97181,3/4 EVERGR/GOLD LEAF PALLADIO,6.32,10.10,13.14, 5/8 , 3/4 ,Wood
NC97191,3/4 ROSEWOOD/GLD LEAF PALLADIO,6.32,10.10,13.14, 5/8 , 3/4 ,Wood
NC97201,1 1/2 ANTIQUE GOLD PALLADIO,9.46,15.14,19.69, 3/4 ,1  1/2 ,Wood
NC97202,1 1/2 ANTIQUE SILVER PALLADIO,9.46,15.14,19.69, 3/4 ,1  1/2 ,Wood
NC97232,1 1/2 WEDGE BLUE/SIL LEAF PALL,9.46,15.14,19.69, 3/4 ,1  1/2 ,Wood
NC97241,1 1/2 ESPRES/GLD LEAF PALLADIO,9.46,15.14,19.69, 3/4 ,1  1/2 ,Wood
NC97242,1 1/2 GRAP/SIL LEAF PALLADIO,9.52,15.23,19.80, 3/4 ,1  1/2 ,Wood
NC97281,1 1/2 EVERGR/GLD LEAF PALLADIO,9.52,15.23,19.80, 3/4 ,1  1/2 ,Wood
NC97301,2 3/4 ANTIQUE GOLD PALLADIO,14.85,23.76,30.89, 3/4 ,2  3/4 ,Wood
NC97302,2 3/4 ANTIQUE SILVER PALLADIO,14.85,23.76,30.89, 3/4 ,2  3/4 ,Wood
NC97341,2 3/4 ESPRES/GLD LEAF PALLADIO,14.85,23.76,30.89, 3/4 ,2  3/4 ,Wood
641-2011,1 1/4 WHITE UNAGI,3.32,6.47,8.40,,1  1/4 ,Wood
V108,"7/8"" RAINBOW NAVY BLUE",1.85,3.61,4.69,, 7/8 ,Wood
