CFS #,Description,Size,Length,Chop,Join,group
4685300,"1 3/4"" x 2"" Luminoso Gold Floater",1 3/4,14.88,23.81,30.94,Wood
4685402,Luminoso Bronze,2 1/2,9.49,15.18,19.74,Wood
46872,Wolf Grey Barnwood Floater,1 1/2,6.86,10.98,14.28,Wood
4691002,Oak Grain Natural Cap,3/4,3.97,6.34,8.24,Wood
4691003,Open Grain Walnut Cap,3/4,3.97,6.34,8.24,Wood
4691004,Open Grain Mocha Cap,3/4,3.97,6.34,8.24,Wood
4691005,Open Grain Charcoal Cap,3/4,3.97,6.34,8.24,Wood
4691006,Open Grain Mahogany Cap,3/4,3.97,6.34,8.24,Wood
4691010,Oak Grain Black Cap,3/4,3.97,6.34,8.24,Wood
4691012,Open Grain Maple Cap,3/4,3.97,6.34,8.24,Wood
4691210,Open Grain Black Cap,3/4,3.97,6.34,8.24,Wood
4691211,Open Grain White Cap,3/4,3.97,6.34,8.24,Wood
4691310,Matte Black Cap,3/4,4.14,6.63,8.61,Wood
4691311,Matte White Cap,3/4,4.14,6.63,8.61,Wood
4691407,Danica Open Grain Natural w/Gold,3/4,4.63,7.41,9.63,Wood
4691507,Danica Open Grain White w/Gold,3/4,4.63,7.41,9.63,Wood
4691608,Danica Open Grain Grey w/Silver,3/4,4.63,7.41,9.63,Wood
46920,Charcoal Black,1 1/2,2.80,4.49,5.83,Wood
4692002,Oak Grain Natural,1 1/4,3.97,6.34,8.24,Wood
4692003,Open Grain Walnut,1 1/4,3.97,6.34,8.24,Wood
4692004,Open Grain Mocha,1 1/4,3.97,6.34,8.24,Wood
4692005,Open Grain Charcoal,1 1/4,3.97,6.34,8.24,Wood
4692006,Open Grain Mahogany,1 1/4,3.97,6.34,8.24,Wood
4692010,Oak Grain Black,1 1/4,3.97,6.34,8.24,Wood
4692012,Open Grain Maple,1 1/4,3.97,6.34,8.24,Wood
46921,Marshmallow White,1 1/2,2.80,4.49,5.83,Wood
46922,Whiskey Brown,1 1/2,2.80,4.49,5.83,Wood
4692210,Open Grain Black,1 1/4,3.97,6.34,8.24,Wood
4692211,Open Grain White,1 1/4,3.97,6.34,8.24,Wood
46923,Alabama Red,1 1/2,2.80,4.49,5.83,Wood
4692310,Matte Black,1 1/4,4.14,6.63,8.61,Wood
4692311,Matte White,1 1/4,4.14,6.63,8.61,Wood
46924,Weathered Blue,1 1/2,2.80,4.49,5.83,Wood
46925,Dixie Grey,1 1/2,2.80,4.49,5.83,Wood
46926,Southern Yellow,1 1/2,2.80,4.49,5.83,Wood
46927,Bourbon Orange,1 1/2,2.80,4.49,5.83,Wood
46928,French Teal,1 1/2,2.80,4.49,5.83,Wood
46929,Petticoat Pink,1 1/2,2.80,4.49,5.83,Wood
46930,Sky Blue,1 1/2,2.80,4.49,5.83,Wood
4693001,Oak Grain Dark Grey Floater,3/8,9.11,14.58,18.95,Wood
4693002,Oak Grain Natural Floater,3/8,9.11,14.58,18.95,Wood
4693010,Oak Grain Black Floater,3/8,9.11,14.58,18.95,Wood
4693011,Oak Grain Light Grey Floater,3/8,9.11,14.58,18.95,Wood
46931,Mint Julep,1 1/2,2.80,4.49,5.83,Wood
4693211,Open Grain White Floater,3/8,9.11,14.58,18.95,Wood
4693307,Danica Open Grain Natural w/Gold Floater,1 1/2,9.23,14.77,19.21,Wood
4693308,Danica Open Grain Natural w/Silver Floater,1 1/2,9.23,14.77,19.21,Wood
4693407,Danica Open Grain White w/Gold Floater,1 1/2,9.23,14.77,19.21,Wood
4693408,Danica Open Grain White w/Silver Floater,1 1/2,9.23,14.77,19.21,Wood
4693507,Danica Open Grain Grey w/Gold Floater,1 1/2,9.23,14.77,19.21,Wood
4693508,Danica Open Grain Grey w/Silver Floater,1 1/2,9.23,14.77,19.21,Wood
46940,Charcoal Black,2 1/2,3.56,5.69,7.40,Wood
4694001,Oak Grain Dark Grey Large Cap,1 1/2,8.13,13.01,16.92,Wood
4694002,Oak Grain Natural Large Cap,1 1/2,8.13,13.01,16.92,Wood
4694010,Oak Grain Black Large Cap,1 1/2,8.13,13.01,16.92,Wood
46941,Marshmallow White,2 1/2,3.56,5.69,7.40,Wood
46942,Whiskey Brown,2 1/2,3.56,5.69,7.40,Wood
4694211,Open Grain White Large Cap,1 1/2,8.13,13.01,16.92,Wood
46943,Alabama Red,2 1/2,3.56,5.69,7.40,Wood
46944,Weathered Blue,2 1/2,3.56,5.69,7.40,Wood
46950,Charcoal Black,3/4,2.80,4.49,5.83,Wood
4695014,Vail Ash Block,1 1/8,4.29,6.87,8.93,Wood
4695015,Vail Light Walnut Block,1 1/8,4.29,6.87,8.93,Wood
4695016,Vail Natural Block,1 1/8,4.29,6.87,8.93,Wood
4695017,Vail Modern Walnut Block,1 1/8,4.29,6.87,8.93,Wood
4695018,Vail Ebony Block,1 1/8,4.29,6.87,8.93,Wood
46951,Marshmallow White,3/4,2.80,4.49,5.83,Wood
46952,Whiskey Brown,3/4,2.80,4.49,5.83,Wood
46953,Alabama Red,3/4,2.80,4.49,5.83,Wood
46954,Weathered Blue,3/4,2.80,4.49,5.83,Wood
46955,Dixie Grey,3/4,2.80,4.49,5.83,Wood
46956,Southern Yellow,3/4,2.80,4.49,5.83,Wood
46957,Bourbon Orange,3/4,2.80,4.49,5.83,Wood
46958,French Teal,3/4,2.80,4.49,5.83,Wood
46959,Petticoat Pink,3/4,2.80,4.49,5.83,Wood
46960,Sky Blue,3/4,2.80,4.49,5.83,Wood
4696014,Vail Ash Cap,3/4,3.90,6.23,8.10,Wood
4696015,Vail Light Walnut Cap,3/4,3.90,6.23,8.10,Wood
4696016,Vail Natural Cap,3/4,3.90,6.23,8.10,Wood
4696017,Vail Modern Walnut Cap,3/4,3.90,6.23,8.10,Wood
4696018,Vail Ebony Cap,3/4,3.90,6.23,8.10,Wood
46961,Mint Julep,3/4,2.80,4.49,5.83,Wood
46962,Mississippi Mud,3/4,2.80,4.49,5.83,Wood
46970,Charcoal Black Floater,1 3/8,5.29,8.47,11.01,Wood
4697014,Vail Ash Narrow Cap,5/8,3.52,5.63,7.32,Wood
4697015,Vail Light Walnut Narrow Cap,5/8,3.52,5.63,7.32,Wood
4697016,Vail Natural Narrow Cap,5/8,3.52,5.63,7.32,Wood
4697017,Vail Modern Walnut Narrow Cap,5/8,3.52,5.63,7.32,Wood
4697018,Vail Ebony Narrow Cap,5/8,3.52,5.63,7.32,Wood
46971,Marshmallow White Floater,1 3/8,5.29,8.47,11.01,Wood
46972,Whiskey Brown Floater,1 3/8,5.29,8.47,11.01,Wood
46973,Mississippi Mud Floater,1 3/8,5.29,8.47,11.01,Wood
46974,Weathered Blue Floater,1 3/8,5.29,8.47,11.01,Wood
46975,Dixie Grey Floater,1 3/8,5.29,8.47,11.01,Wood
46976,Southern Yellow Floater,1 3/8,5.29,8.47,11.01,Wood
46977,Bourbon Orange Floater,1 3/8,5.29,8.47,11.01,Wood
46978,French Teal Floater,1 3/8,5.29,8.47,11.01,Wood
46992650,Edge Matte Black Stem,7/8,5.04,8.05,10.47,Wood
46992651,Edge Matte White Stem,7/8,5.04,8.05,10.47,Wood
46992652,Edge Gloss Black Stem,7/8,6.16,9.85,12.81,Wood
46992653,Light French Oak Stem,7/8,6.34,10.14,13.17,Wood
46992655,Danish Walnut Stem,7/8,6.34,10.14,13.17,Wood
46992657,Light Grey Stem,7/8,6.34,10.14,13.17,Wood
46992663,Light French Oak,1 1/4,3.07,4.91,6.39,Wood
46992665,Danish Walnut,1 1/4,3.07,4.91,6.39,Wood
46992667,Light Grey,1 1/4,3.07,4.91,6.39,Wood
471001,Matte Black,1 1/4,1.86,3.12,4.07,Wood
471002,Mahogany,1 1/4,1.94,3.25,4.24,Wood
471003,Walnut,1 1/4,1.94,3.25,4.24,Wood
471004,Matte White,1 1/4,1.86,3.12,4.07,Wood
471013,Walnut w/Gold Lip,1 1/4,2.07,3.47,4.51,Wood
471015,Brushed Gold,1 1/4,2.02,3.39,4.41,Wood
471642,Mahogany Scoop JC2,2 1/4,3.05,5.13,6.66,Wood
471701,Black Step,1 1/4,1.77,2.98,3.88,Wood
471801,Black Scoop,1 3/4,2.15,3.61,4.69,Wood
471852,Mahogany Scoop,1 3/4,2.81,4.72,6.14,Wood
471853,Walnut Scoop,1 3/4,2.35,3.95,5.13,Wood
471904,Square White,3/4,1.91,3.20,4.18,Wood
471992,Square Orange,3/4,1.91,3.20,4.18,Wood
471993,Square Red,3/4,1.91,3.20,4.18,Wood
471996,Square Navy Blue,3/4,1.64,2.75,3.59,Wood
471997,Square Royal Blue,3/4,1.64,2.75,3.59,Wood
472001,Matte Black Swan,2 1/2,2.97,5.00,6.49,Wood
472002,Mahogany Dark Lip & Back,2 1/2,3.10,5.21,6.77,Wood
472003,Walnut Dark Lip & Back,2 1/2,3.10,5.21,6.77,Wood
472014,Brushed Silver,2 1/2,3.22,5.40,7.02,Wood
472015,Brushed Gold,2 1/2,3.22,5.40,7.02,Wood
473501,Round Black,5/8,1.16,1.95,2.53,Wood
473504,Round White,5/8,1.16,1.95,2.53,Wood
473530,Round Antique Silver,5/8,1.40,2.35,3.07,Wood
473531,Round Antique Gold,5/8,1.40,2.35,3.07,Wood
476201,Matte Black,1 5/8,3.14,5.27,6.85,Wood
476204,Matte White,1 5/8,3.14,5.27,6.85,Wood
476301,Matte Black Cube,1 1/4,2.14,3.60,4.68,Wood
476304,Matte White Cube,1 1/4,2.14,3.60,4.68,Wood
476504,Tall Matte White Cap,1 1/4,5.04,8.82,11.47,Wood
476901,"1 7/16"" x 2 1/8"" Chunky Black Cap",1 7/16,3.59,6.03,7.84,Wood
476904,"1 7/16"" x 2 1/8"" Chunky White Cap",1 7/16,3.59,6.03,7.84,Wood
478001,Matte Black Step Back,1 1/2,1.94,3.25,4.24,Wood
478002,Matte Mahogany Step Back,1 1/2,2.02,3.39,4.41,Wood
478003,Matte Walnut Step Back,1 1/2,2.02,3.39,4.41,Wood
479001,Black,3/4,1.53,2.57,3.35,Wood
479004,White,3/4,1.53,2.57,3.35,Wood
479014,Brushed Silver,3/4,1.77,2.98,3.88,Wood
479015,Brushed Gold,3/4,1.77,2.98,3.88,Wood
479201,Black,1 1/8,1.74,2.92,3.79,Wood
479204,White,1 1/8,1.74,2.92,3.79,Wood
479214,Brushed Silver,1 1/8,1.94,3.25,4.24,Wood
479215,Brushed Gold,1 1/8,1.94,3.25,4.24,Wood
479221,Teal,1 1/8,1.81,3.05,3.96,Wood
479223,Red,1 1/8,1.81,3.05,3.96,Wood
479224,Blue,1 1/8,1.81,3.05,3.96,Wood
479225,Yellow,1 1/8,1.81,3.05,3.96,Wood
479226,Green,1 1/8,1.81,3.05,3.96,Wood
479253,Shaded Walnut,1 1/8,2.02,3.39,4.41,Wood
479401,Black,1 5/8,2.55,4.28,5.57,Wood
479404,White,1 5/8,2.31,3.88,5.04,Wood
479453,Shaded Walnut,1 5/8,2.55,4.30,5.58,Wood
479584,Matte White,1 3/4,2.44,4.10,5.33,Wood
479601,Matte Black,2 3/8,3.01,5.07,6.58,Wood
479604,Matte White,2 3/8,3.01,5.07,6.58,Wood
479701,Black Deco,1 5/8,3.01,5.07,6.58,Wood
479704,White Deco,1 5/8,3.01,5.07,6.58,Wood
479741,Black Scoop,1 1/8,2.72,4.57,5.94,Wood
479744,White Scoop,1 1/8,2.72,4.57,5.94,Wood
479801,Matte Black,2 7/8,3.42,5.75,7.48,Wood
479804,Matte White,2 7/8,3.42,5.75,7.48,Wood
479991,Matte Black Floater,2,4.21,7.07,9.19,Wood
481301,Matte Black Slope,1 1/2,2.31,3.88,5.04,Wood
481304,Matte White Slope,1 1/2,2.31,3.88,5.04,Wood
484201,Matte Black w/Slant Back,2,2.77,4.65,6.05,Wood
484301,Black Stacker,1 1/2,2.77,4.65,6.05,Wood
484401,Large Black Stacker,1 1/2,4.58,7.70,10.01,Wood
484501,Black Stacker,1 1/2,2.07,3.47,4.51,Wood
484701,Black Stacker Cap,1 1/8,2.81,4.72,6.13,Wood
485001,Matte Black Cap,3/4,1.74,2.91,3.79,Wood
485004,Matte White Cap,3/4,1.74,2.91,3.79,Wood
485101,Tall Matte Black Cap,3/4,2.64,4.44,5.77,Wood
485104,Tall Matte White Cap,3/4,2.64,4.44,5.77,Wood
485301,Matte Black Cap,3/4,2.27,3.82,4.96,Wood
485304,Matte White Cap,3/4,2.27,3.82,4.96,Wood
486101,Matte Black w/Slant,1,1.61,2.70,3.52,Wood
487010,Silver Ornate,1 1/4,2.27,3.82,4.96,Wood
487011,Gold Ornate,1 1/4,2.27,3.82,4.96,Wood
488010,Silver Ornate,2,3.96,6.65,8.64,Wood
488011,Gold Ornate,2,3.96,6.65,8.64,Wood
489129,Silver Floater,2,5.04,8.47,11.01,Wood
489130,Gold Floater,2,5.04,8.47,11.01,Wood
491401,Ornate Gloss Black,4,7.27,12.22,15.89,Wood
491404,Ornate Gloss White,4,7.27,12.22,15.89,Wood
491414,Ornate Silver,4,8.19,13.75,17.88,Wood
491415,Ornate Gold,4,8.19,13.75,17.88,Wood
491418,Aged Rust Ornate,4,7.27,12.22,15.89,Wood
491419,Grey Ornate,4,7.27,12.22,15.89,Wood
491429,Deep Silver - KCS,2 3/4,10.19,17.11,22.25,Wood
491430,Deep Gold - KCS,2 3/4,10.19,17.11,22.25,Wood
492301,Small Black Scoop w/Rope,1 1/8,2.12,3.56,4.63,Wood
492304,Small White Scoop w/Rope,1 1/8,2.12,3.56,4.63,Wood
497434,Torn Silver Scoop,4 3/4,7.82,14.25,18.48,Wood
498142,Light Walnut,4,6.93,11.65,15.14,Wood
498143,Dark Walnut,4,6.93,11.65,15.14,Wood
497435,Torn Gold Scoop,4 3/4,7.82,14.25,18.48,Wood
499001,Matte Black Fillet,5/8,1.34,2.35,,Fillet
499014,Silver Fillet Ice,1/2,1.08,1.89,,Fillet
499015,Gold Fillet Fire,1/2,1.08,1.89,,Fillet
499312,Gold Fillet,5/8,1.34,2.35,,Fillet
499313,Antique Gold Fillet,5/8,1.34,2.35,,Fillet
499316,Dark Silver Fillet,5/8,1.34,2.35,,Fillet
499317,Antique Silver Fillet,5/8,1.34,2.35,,Fillet
499318,Silver Fillet,5/8,1.34,2.35,,Fillet
5018,Deep Ant. Gold,1 1/2,7.15,12.44,16.19,Wood
5043,Antique Gold,3/4,3.34,6.76,8.84,Wood
511303,Antique Silver Slope,1/2,3.01,5.08,6.65,Wood
511304,Antique Gold Slope,1/2,3.01,5.08,6.65,Wood
511420,Antique Silver,3/4,3.93,6.61,8.63,Wood
511421,Antique Gold,3/4,3.93,6.61,8.63,Wood
512121,Orion Silver,1 1/8,4.91,8.23,10.80,Wood
512122,Orion Gold,1 1/8,4.91,8.23,10.80,Wood
512123,Orion Walnut,1 1/8,4.49,7.70,10.00,Wood
512221,Orion Silver,2,7.75,13.09,16.99,Wood
512222,Orion Gold,2,7.75,13.09,16.99,Wood
512223,Orion Walnut,2,7.57,12.85,16.70,Wood
512242,Grey Bungalow (Has Knots),1 1/8,9.68,16.32,21.25,Wood
512243,Walnut Bungalow (Has Knots),1 1/8,9.68,16.32,21.25,Wood
512472,Juliet Gold,7/8,5.11,8.62,11.30,Wood
512572,Juliet Gold,1 3/4,8.65,14.63,18.95,Wood
512852,Paddock Walnut,1/2,2.29,3.91,4.99,Wood
512853,Paddock Chestnut,1/2,2.29,3.91,4.99,Wood
513574,White Perlita,7/8,5.24,8.85,11.52,Wood
513575,Silver Perlita,7/8,5.24,8.85,11.52,Wood
513576,Gold Perlita,7/8,5.24,8.85,11.52,Wood
513577,Black Perlita,7/8,5.24,8.85,11.52,Wood
514131,Alumina Silver Livingston,7/8,5.99,10.19,13.21,Wood
514132,Champagne Silver Livingston,7/8,5.99,10.19,13.21,Wood
514231,Alumina Silver Livingston,1 3/4,10.07,17.02,22.09,Wood
514232,Champagne Silver Livingston,1 3/4,10.07,17.02,22.09,Wood
514331,Alumina Silver Livingston,2 3/4,16.43,27.85,36.10,Wood
514332,Champagne Silver Livingston,2 3/4,16.43,27.85,36.10,Wood
514912,Silver with Bead,3/4,3.85,6.57,8.58,Wood
514913,Gold with bead,3/4,3.85,6.57,8.58,Wood
514915,Antique Black with Flower,7/8,3.18,5.29,7.08,Wood
514916,Silver with Flower,7/8,3.05,5.15,6.76,Wood
514917,Gold with Flower,7/8,3.05,5.15,6.76,Wood
514918,Flat Silver,7/8,4.78,8.20,10.62,Wood
515173,Grey Weathered Millwork,1 5/8,7.67,12.97,16.82,Wood
515271,White Weathered Millwork,2 5/8,12.25,20.70,26.97,Wood
515272,Green Weathered Millwork,2 5/8,12.25,20.70,26.97,Wood
515273,Grey Weathered Millwork,2 5/8,11.98,20.24,26.22,Wood
515851,Cream Pioneer,1 1/4,4.48,7.52,9.84,Wood
515852,Pecan Pioneer,1 1/4,4.48,7.52,9.84,Wood
515853,Carob Pioneer,1 1/4,4.48,7.52,9.84,Wood
515912,Acid Wash Cappuccino Splash,1 1/8,11.28,19.09,24.75,Wood
515951,Cream Pioneer,2 1/4,6.97,11.71,15.35,Wood
515952,Pecan Pioneer,2 1/4,6.97,11.71,15.35,Wood
515953,Carob Pioneer,2 1/4,6.97,11.71,15.35,Wood
516141,Cream Silver Twila,3/4,5.59,9.49,12.34,Wood
516142,Grey Silver Twila,3/4,5.59,9.49,12.34,Wood
516143,Brown Silver Twila,3/4,5.59,9.49,12.34,Wood
516241,Cream Silver Twila,1,8.47,14.40,18.73,Wood
516242,Grey Silver Twila,1,8.47,14.40,18.73,Wood
516243,Brown Silver Twila,1,8.47,14.40,18.73,Wood
516451,Woodland Distressed Beige,1 5/8,8.85,14.93,19.42,Wood
516511,Brown Abaco,1 1/4,6.13,10.33,13.43,Wood
516515,Dark Blue Abaco,1 1/4,6.13,10.33,13.43,Wood
516516,Light Blue Abaco,1 1/4,6.13,10.33,13.43,Wood
516517,Green Abaco,1 1/4,6.13,10.33,13.43,Wood
516518,White Abaco,1 1/4,6.13,10.33,13.43,Wood
517111,Sprinkles Semi Gloss Black,3/4,5.28,8.89,11.68,Wood
517112,Sprinkles Semi Gloss White,3/4,5.28,8.89,11.68,Wood
517113,Sprinkles Semi Gloss Woodbine Green,3/4,5.28,8.89,11.68,Wood
517114,Sprinkles Semi Gloss Red,3/4,5.28,8.89,11.68,Wood
517115,Sprinkles Semi Gloss Blue Classic,3/4,5.28,8.89,11.68,Wood
517116,Sprinkles Semi Gloss Pink,3/4,5.28,8.89,11.68,Wood
517117,Sprinkles Semi Gloss Green Lucite,3/4,5.28,8.89,11.68,Wood
517118,Sprinkles Semi Gloss Blue Scuba,3/4,5.28,8.89,11.68,Wood
517132,Camilla Silver Vine,7/8,6.45,10.93,14.15,Wood
517133,Camilla Gold Vine,7/8,6.45,10.93,14.15,Wood
517134,Camilla White Vine,7/8,6.45,10.93,14.15,Wood
517135,Camilla Black Vine,7/8,6.45,10.93,14.15,Wood
517211,Brown Slant w/Grain,1,6.09,10.30,13.40,Wood
517212,Grey Slant w/Grain,1,6.09,10.30,13.40,Wood
517214,Red Slant w/Grain,1,6.09,10.30,13.40,Wood
517215,Blue Slant w/Grain,1,6.09,10.30,13.40,Wood
517216,Purple Slant w/Grain,1,6.09,10.30,13.40,Wood
517217,Green Slant w/Grain,1,6.09,10.30,13.40,Wood
517218,Teal Slant w/Grain,1,6.09,10.30,13.40,Wood
517232,Camilla Silver Vine,1 3/4,10.84,18.27,23.90,Wood
517233,Camilla Gold Vine,1 3/4,10.84,18.27,23.90,Wood
517234,Camilla White Vine,1 3/4,10.84,18.27,23.90,Wood
517235,Camilla Black Vine,1 3/4,10.84,18.27,23.90,Wood
517801,Gold Bamboo,5/8,3.89,6.51,8.57,Wood
517802,Walnut Bamboo,5/8,3.89,6.51,8.57,Wood
517901,Gold Bamboo,1,5.57,9.33,12.26,Wood
517902,Walnut Bamboo,1,5.57,9.33,12.26,Wood
517913,Cream Soda Pop,1 1/8,8.17,13.74,17.89,Wood
517914,Cherry Soda Pop,1 1/8,8.17,13.74,17.89,Wood
517915,Blueberry Soda Pop,1 1/8,8.17,13.74,17.89,Wood
517916,Arctic Chill Soda Pop,1 1/8,8.17,13.74,17.89,Wood
517917,Limeade Soda Pop,1 1/8,8.17,13.74,17.89,Wood
518213,White Taconic ,3/4,5.09,8.65,11.25,Wood
518214,Grey Taconic ,3/4,5.09,8.65,11.25,Wood
518215,Blue Taconic ,3/4,5.09,8.65,11.25,Wood
518216,Green Taconic ,3/4,5.09,8.65,11.25,Wood
518217,Black Taconic ,3/4,5.09,8.65,11.25,Wood
518305,Urban Light Walnut w/Silver Lip,1 5/8,6.63,11.20,14.65,Wood
518408,Aged Silver,1 1/8,7.90,13.29,17.43,Wood
518501,Society Silver Leaf Cove,7/8,5.03,8.47,11.04,Wood
518502,Society Gold Leaf Cove,7/8,5.03,8.47,11.04,Wood
518601,Society Silver Leaf Cove,1 3/8,9.44,15.88,20.70,Wood
518602,Society Gold Leaf Cove,1 3/8,9.44,15.88,20.70,Wood
519501,Silver Cleo,3/4,5.90,9.98,13.04,Wood
519502,Gold Cleo,3/4,5.90,9.98,13.04,Wood
519601,Silver Cleo,1 1/8,6.15,10.34,13.55,Wood
519602,Gold Cleo,1 1/8,6.15,10.34,13.55,Wood
519613,Hometown White,3/4,4.18,7.08,9.23,Wood
519614,Hometown Grey,3/4,4.18,7.08,9.23,Wood
519615,Hometown Blue,3/4,4.18,7.08,9.23,Wood
519616,Hometown Brick,3/4,4.18,7.08,9.23,Wood
519617,Hometown Black,3/4,4.18,7.08,9.23,Wood
54520215,Crème Crepe Shimmy,15/16,11.35,18.31,23.63,Wood
54520216,Champagne Crepe Shimmy,15/16,11.35,18.31,23.63,Wood
54520217,Silver Noir Shimmy,15/16,11.35,18.31,23.63,Wood
54520218,Turquoise Crepe Shimmy,15/16,11.35,18.31,23.63,Wood
54520219,Moutarde Crepe Shimmy,15/16,11.35,18.31,23.63,Wood
54520220,Mandarin Crepe Shimmy,15/16,11.35,18.31,23.63,Wood
54520221,Noir Crepe Shimmy,15/16,11.35,18.31,23.63,Wood
54520224,Chartreuse Crepe Shimmy,15/16,11.35,18.31,23.63,Wood
54520225,Ecru Crepe Shimmy,15/16,11.35,18.31,23.63,Wood
54520226,Denim Crepe Shimmy,15/16,11.35,18.31,23.63,Wood
54520227,Cabernet Crepe Shimmy,15/16,11.35,18.31,23.63,Wood
54520257,Ecru Crepe Shimmy Cap,15/16,17.77,28.47,36.90,Wood
54520258,Turquoise Crepe Shimmy Cap,15/16,17.77,28.47,36.90,Wood
54520259,Noir Crepe Shimmy Cap,15/16,17.77,28.47,36.90,Wood
54520260,Mandarin Crepe Shimmy Cap,15/16,17.77,28.47,36.90,Wood
54520261,Silver Noir Shimmy Cap,15/16,17.77,28.47,36.90,Wood
54520262,Crème Crepe Shimmy Cap,15/16,17.77,28.47,36.90,Wood
54520400,Daphne Cerulean Blue Laurel,1,14.32,22.95,29.81,Wood
54520401,Daphne Pharoah Green Laurel,1,14.32,22.95,29.81,Wood
54520402,Daphne Royal Heather Laurel,1,14.32,22.95,29.81,Wood
54520403,Daphne Ebony Rose Laurel,1,14.32,22.95,29.81,Wood
54520404,Daphne Olive Green Laurel,1,14.32,22.95,29.81,Wood
54520405,Daphne Chiffon Gold Laurel,1,14.32,22.95,29.81,Wood
54520505,Bordeuax Pop,5/8,12.83,20.56,26.71,Wood
54520507,Caramel Pop,5/8,12.83,20.56,26.71,Wood
54520508,Root Beer Pop,5/8,12.83,20.56,26.71,Wood
54520510,Jet Black Angle Pop,1 1/8,15.94,25.52,33.13,Wood
54520511,Electric Blue Angle Pop,1 1/8,15.94,25.52,33.13,Wood
54520539,Tivoli Violet Sideshow,1,16.66,26.66,34.63,Wood
54520568,Ellington Cotton Club Pink Tiny Tracks,5/8,12.68,20.29,26.38,Wood
54520569,Ellington Sophisticated Lilac Tiny Tracks,5/8,12.68,20.29,26.38,Wood
54520571,Dark Crimson Bay Leaf and Berry,1 3/8,26.27,42.03,54.64,Wood
54520572,Dark Olive Bay Leaf and Berry,1 3/8,26.27,42.03,54.64,Wood
54520573,Pharaoh Green Bay Leaf and Berry,1 3/8,26.27,42.03,54.64,Wood
54520574,Ebony Bay Leaf and Berry,1 3/8,26.27,42.03,54.64,Wood
54520575,Chiffon Gold Bay Leaf and Berry,1 3/8,26.27,42.03,54.64,Wood
54520576,Daphne Ebony Petite Arabesque,5/8,15.48,24.77,32.20,Wood
54520577,Daphne Pharaoh Green Petite Arabesque,5/8,15.48,24.77,32.20,Wood
54520578,Daphne Cerulean Blue Petite Arabesque,5/8,15.48,24.77,32.20,Wood
54520579,Daphne Olive Green Petite Arabesque,5/8,15.48,24.77,32.20,Wood
54520580,Daphne Crimson Petite Arabesque,5/8,15.48,24.77,32.20,Wood
54520581,Garda Morning Mist Mountain Pine,2,33.76,54.35,70.65,Wood
54520582,Garda Shadow Black Mountain Pine,2,33.76,54.35,70.65,Wood
54520583,Garda Lilac Sky Mountain Pine,2,33.76,54.35,70.65,Wood
54520584,Garda Serene Cerulean Mountain Pine,2,33.76,54.35,70.65,Wood
54520585,Garda Gilded Sun Mountain Pine,2,33.76,54.35,70.65,Wood
54520586,Garda Castello Grey Mountain Pine,2,33.76,54.35,70.65,Wood
54520587,Garda Morning Mist Ornate Ripple Cap,1 1/16,27.14,43.70,56.80,Wood
54520588,Garda Shadow Black Ornate Ripple Cap,1 1/16,27.14,43.70,56.80,Wood
54520589,Garda Lilac Sky Ornate Ripple Cap,1 1/16,27.14,43.70,56.80,Wood
54520590,Garda Serene Cerulean Ornate Ripple Cap,1 1/16,27.14,43.70,56.80,Wood
54520591,Garda Gilded Sun Ornate Ripple Cap,1 1/16,27.14,43.70,56.80,Wood
54520592,Garda Castello Grey Ornate Ripple Cap,1 1/16,27.14,43.70,56.80,Wood
54554623,Tappo Natural Cork,1,9.90,15.94,20.68,Wood
54554624,Tappo Dove Cork,1,9.90,15.94,20.68,Wood
54554625,Tappo Cocoa Cork,1,9.90,15.94,20.68,Wood
54554626,Tappo Concrete Cork,1,9.90,15.94,20.68,Wood
54554627,Tappo Indigo Cork,1,9.90,15.94,20.68,Wood
54554628,Tappo Mushroom Cork,1,9.90,15.94,20.68,Wood
54554630,Round Hammered Titanium,13/16,7.28,11.71,15.18,Wood
54554692,Harbour Marblehead White,1,11.58,18.59,24.06,Wood
54554696,Harbour Marblehead White Tall Cap,1,20.66,33.13,43.01,Wood
54554700,Harbour Marblehead White,2,18.17,29.14,37.84,Wood
54554701,Harbour New Hampshire Red,2,18.17,29.14,37.84,Wood
54554702,Harbour Bar Harbor Blue Grey,2,18.17,29.14,37.84,Wood
54554703,Harbour Adirondack Black,2,18.17,29.14,37.84,Wood
54554704,Harbour Marblehead White,3,21.70,34.73,45.16,Wood
54554706,Tappo Gold Leaf Natural Cork,13/16,10.63,16.97,22.06,Wood
54554707,Tappo Silver Leaf Natural Cork,13/16,10.63,16.97,22.06,Wood
54554708,Cabaret Bada Bing Bronze Shimmer,11/16,10.30,16.50,21.43,Wood
54554709,Cabaret Jazz Hands Blue Shimmer,11/16,10.30,16.50,21.43,Wood
54554711,Cabaret Evening Velvet Shimmer,11/16,10.30,16.50,21.43,Wood
54554712,Cabaret Moulin Rouge Shimmer,11/16,10.30,16.50,21.43,Wood
54554713,Cabaret Tap Dance Shimmer,11/16,10.30,16.50,21.43,Wood
54554714,Cabaret Backstage Black Shimmer,11/16,10.30,16.50,21.43,Wood
54554715,Cabaret Pink Feather Boa Shimmer,11/16,10.30,16.50,21.43,Wood
54554716,Cabaret Green With Envy Shimmer,11/16,10.30,16.50,21.43,Wood
54554718,Frida Black Magic Embossed Flora Block,1 15/16,16.89,27.02,35.14,Wood
