Item #,Description,Line                   Name,Size Decimal,Rabbet Decimal, cost , Chop , Join , Sugg. Retail , AC 
520390,DEEP SPACE NEBULA BLOCK,Luna,1.1875,.6875, $ 15.72 , $ 25.77 , $ 31.35 , $ 67.40 ,
520391,APRICOT METALLIC GINGHAM,Gingham,1.7500,.5625, $ 14.21 , $ 23.33 , $ 28.66 , $ 61.30 ,
520394,PERIWINKLE METALLIC GINGHAM,Gingham,1.7500,.5625, $ 14.21 , $ 23.33 , $ 28.66 , $ 61.30 ,
520395,BUBBLEGUM METALLIC GINGHAM,Gingham,1.7500,.5625, $ 14.21 , $ 23.33 , $ 28.66 , $ 61.30 ,
520396,EBONY ARABESQUE,Bernini,1,.375, $ 10.07 , $ 16.61 , $ 21.28 , $ 44.50 ,
520397,CHERUB ARABESQUE,Bernini,1,.375, $ 10.07 , $ 16.61 , $ 21.28 , $ 44.50 ,
520398,OLIVE ARABESQUE,Bernini,1,.375, $ 10.07 , $ 16.61 , $ 21.28 , $ 44.50 ,
520399,STERLING ARABESQUE,Bernini,1,.375, $ 11.74 , $ 19.32 , $ 24.25 , $ 51.30 ,
520400,CERULEAN BLUE LAUREL,Daphne,1,.375, $ 10.07 , $ 16.61 , $ 21.28 , $ 44.50 ,
520401,PHARAOH GREEN LAUREL,Daphne,1,.375, $ 10.07 , $ 16.61 , $ 21.28 , $ 44.50 ,
520402,ROYAL HEATHER LAUREL,Daphne,1,.375, $ 10.07 , $ 16.61 , $ 21.28 , $ 44.50 ,
520403,EBONY ROSE LAUREL,Daphne,1,.375, $ 10.07 , $ 16.61 , $ 21.28 , $ 44.50 ,
520404,OLIVE GREEN LAUREL,Daphne,1,.375, $ 10.07 , $ 16.61 , $ 21.28 , $ 44.50 ,
520405,CHIFFON GOLD LAUREL,Daphne,1,.375, $ 10.07 , $ 16.61 , $ 21.28 , $ 44.50 ,
520406,COPPER FLAME RAKU DEEP CAP,Raku,0.7500,1, $ 14.06 , $ 23.07 , $ 28.38 , $ 60.70 ,
520407,FELDSPAR GREEN RAKU DEEP CAP,Raku,0.7500,1, $ 14.06 , $ 23.07 , $ 28.38 , $ 60.70 ,
