item,description,cost,Chop,join,WIDTH,rabbet,group
100,GOLD ROUND FILLET,2.05,4.20,5.79, 3/8 , 1/4 ,Fillet
110,SILVER ROUND FILLET,2.05,4.20,5.79, 3/8 , 1/4 ,Fillet
130,SHINY BLACK ROUND FILLET,2.04,4.18,5.77, 3/8 , 1/4 ,Fillet
170,MATT BLACK ,2.00,4.11,5.69, 3/8 , 1/4 ,Fillet
200,GOLD FILLET,2.05,4.20,5.79, 3/8 , 1/8 ,Fillet
210,SILVER FILLET,2.05,4.20,5.79, 3/8 , 1/8 ,Fillet
270,MATT BLACK ,2.04,4.18,5.77, 3/8 , 1/8 ,Fillet
365,CRUSHED GOLD SCOOP FILLET,2.12,4.32,5.93, 3/8 , 1/8 ,Fillet
368,CRUSHED GOLD ROUND FILLET,2.12,4.32,5.93, 3/8 , 1/4 ,Fillet
712,MATT BLACK,1.52,3.20,4.58, 1/2 , 5/8 ,Wood
714,MATT BLACK,2.06,4.22,5.81, 3/4 , 7/8 ,Wood
715,MATT BLACK,2.00,4.11,5.69, 3/4 ,13/16,Wood
716,MATT BLACK,2.01,4.13,5.71,1, 5/8 ,Wood
717,MATT BLACK,3.38,6.41,8.31,1,1  3/8 ,Wood
718,MATT BLACK,3.02,5.85,7.65,1  3/8 , 7/8 ,Wood
1420,B&B SABLE BROWN ,9.77,15.05,17.93,3,1  7/16,Wood
1520,B&B SABLE BROWN ,7.43,11.74,14.31,2  1/8 ,1  7/16,Wood
1620,B&B SABLE BROWN,5.02,8.59,10.85,1  7/16,1  7/16,Wood
1720,B&B SABLE BROWN ,3.66,6.83,8.81, 7/8 ,1  3/8 ,Wood
1820,B&B SABLE BROWN ,3.59,6.72,8.69,1  3/16, 7/8 ,Wood
2511,LIGHT SILVER GRAY ,3.79,7.01,9.04,1  1/4 , 7/8 ,Wood
2512,DARK SILVER GRAY,3.79,7.01,9.04,1  1/4 , 7/8 ,Wood
2611,LIGHT SILVER GRAY ,6.16,9.90,12.30,2,1  1/8 ,Wood
2612,DARK SILVER GRAY ,6.16,9.90,12.30,2,1  1/8 ,Wood
3020,MADERA COFFEE BROWN ,2.44,4.89,6.56, 3/4 , 3/4 ,Wood
3024,MADERA HONEY PECAN ,2.44,4.89,6.56, 3/4 , 3/4 ,Wood
3028,MADERA WALNUT ,2.44,4.89,6.56, 3/4 , 3/4 ,Wood
3029,MADERA NATURAL CLEAR ,2.44,4.89,6.56, 3/4 , 3/4 ,Wood
3059,MADERA BLACK ,2.44,4.89,6.56, 3/4 , 3/4 ,Wood
3120,MADERA COFFEE BROWN ,6.28,10.07,12.49,1,2  1/8 ,Wood
3124,MADERA HONEY PECAN ,6.28,10.07,12.49,1,2  1/8 ,Wood
3125,MADERA CHERRY ,6.28,10.07,12.49,1,2  1/8 ,Wood
3128,MADERA WALNUT ,6.28,10.07,12.49,1,2  1/8 ,Wood
3129,MADERA NATURAL CLEAR ,6.28,10.07,12.49,1,2  1/8 ,Wood
3145,MADERA GRAY ,6.28,10.07,12.49,1,2  1/8 ,Wood
3225,MADERA CHERRY ,4.14,7.50,9.61,1  5/8 , 7/8 ,Wood
3228,MADERA WALNUT ,4.14,7.50,9.61,1  5/8 , 7/8 ,Wood
3229,MADERA NATURAL CLEAR ,4.14,7.50,9.61,1  5/8 , 7/8 ,Wood
3328,MADERA WALNUT ,3.63,6.78,8.76, 3/4 ,1  1/4 ,Wood
3329,MADERA NATURAL ,3.63,6.78,8.76, 3/4 ,1  1/4 ,Wood
3345,MADERA GRAY ,3.63,6.78,8.76, 3/4 ,1  1/4 ,Wood
3358,MADERA WHITEWASH ,3.63,6.78,8.76, 3/4 ,1  1/4 ,Wood
3359,MADERA BLACK ,3.63,6.78,8.76, 3/4 ,1  1/4 ,Wood
4065,ELEVE GOLD ,4.87,8.41,10.66,1  5/16,13/16,Wood
4075,ELEVE SILVER ,4.87,8.41,10.66,1  5/16,13/16,Wood
4085,ELEVE DARK SILVER ,4.87,8.41,10.66,1  5/16,13/16,Wood
4120,ETUDE DARK BROWN ,4.13,7.48,9.59,1  3/16, 7/8 ,Wood
4124,ETUDE PECAN ,4.13,7.48,9.59,1  3/16, 7/8 ,Wood
4128,ETUDE WALNUT ,4.13,7.48,9.59,1  3/16, 7/8 ,Wood
4134,ETUDE MAHOGANY ,4.13,7.48,9.59,1  3/16, 7/8 ,Wood
4165,ELEVE GOLD ,4.87,8.41,10.66,13/16,1  5/16,Wood
4175,ELEVE SILVER ,4.87,8.41,10.66,13/16,1  5/16,Wood
4185,ELEVE DARK SILVER ,4.87,8.41,10.66,13/16,1  5/16,Wood
4220,ETUDE DARK BROWN ,6.05,9.73,12.12,2, 7/8 ,Wood
4224,ETUDE PECAN ,6.05,9.73,12.12,2, 7/8 ,Wood
4228,ETUDE WALNUT ,6.05,9.73,12.12,2, 7/8 ,Wood
4234,ETUDE MAHOGANY ,6.05,9.73,12.12,2, 7/8 ,Wood
4324,ETUDE PECAN ,8.33,13.01,15.70,2  9/16,1  1/8 ,Wood
4520,ADAGIO I DARK BROWN ,3.73,6.93,8.93,1, 3/4 ,Wood
4524,ADAGIO I PECAN ,3.73,6.93,8.93,1, 3/4 ,Wood
4528,ADAGIO I WALNUT ,3.73,6.93,8.93,1, 3/4 ,Wood
4534,ADAGIO I MAHOGANY ,3.73,6.93,8.93,1, 3/4 ,Wood
4545,ADAGIO I DARK ,3.73,6.93,8.93,1, 3/4 ,Wood
4620,ADAGIO II DARK BROWN ,5.18,8.77,11.05,1  1/2 ,1,Wood
4624,ADAGIO II PECAN,5.18,8.77,11.05,1  1/2 ,1,Wood
4628,ADAGIO II WALNUT ,5.18,8.77,11.05,1  1/2 ,1,Wood
4634,ADAGIO II MAHOGANY ,5.18,8.77,11.05,1  1/2 ,1,Wood
4645,ADAGIO II DARK GRAY ,5.18,8.77,11.05,1  1/2 ,1,Wood
4720,FORTE COFFEE ,8.81,13.67,16.42,3,1  1/8 ,Wood
4728,FORTE WALNUT ,8.81,13.67,16.42,3,1  1/8 ,Wood
4734,FORTE MAHOGANY ,8.81,13.67,16.42,3,1  1/8 ,Wood
4745,FORTE GRAY ,8.81,13.67,16.42,3,1  1/8 ,Wood
4820,FORTE COFFEE ,6.76,10.78,13.26,2  3/8 , 7/8 ,Wood
4828,FORTE WALNUT ,6.76,10.78,13.26,2  3/8 , 7/8 ,Wood
4834,FORTE MAHOGANY ,6.76,10.78,13.26,2  3/8 , 7/8 ,Wood
4845,FORTE GRAY ,6.76,10.78,13.26,2  3/8 , 7/8 ,Wood
4920,FORTE COFFEE ,5.04,8.61,10.88,1  3/4 , 7/8 ,Wood
4928,FORTE WALNUT ,5.04,8.61,10.88,1  3/4 , 7/8 ,Wood
4934,FORTE MAHOGANY ,5.04,8.61,10.88,1  3/4 , 7/8 ,Wood
4945,FORTE GRAY ,5.04,8.61,10.88,1  3/4 , 7/8 ,Wood
5020,B&B II SABLE BROWN ,4.29,7.70,9.83, 7/8 ,1  1/2 ,Wood
5120,B&B II SABLE BROWN ,5.88,9.51,11.87,1,1  7/8 ,Wood
5201,GILT GOLD,3.64,6.80,8.78,13/16,1  1/8 ,Wood
5202,GILT SILVER ,3.64,6.80,8.78,13/16,1  1/8 ,Wood
5220,B&B II SABLE BROWN ,7.25,11.48,14.03,1  1/8 ,2  5/16,Wood
5301,GILT GOLD ,4.82,8.36,10.59,1,1  5/16 ,Wood
5302,GILT SILVER ,4.82,8.36,10.59,1,1  5/16 ,Wood
5320,B&B II SABLE BROWN ,6.24,10.01,12.43,1  5/8 ,1  3/8 ,Wood
5401,GILT GOLD ,5.90,9.54,11.90,1  1/16,1  3/4 ,Wood
5402,GILT SILVER ,5.90,9.54,11.90,1  1/16,1  3/4 ,Wood
5420,B&B II SABLE BROWN ,4.82,8.36,10.59,1  3/4 , 7/8 ,Wood
5520,B&B II SABLE BROWN ,6.16,9.90,12.30,2  1/4 , 7/8 ,Wood
6201,SABI GREEN ,4.90,8.45,10.70,1  5/16,13/16,Wood
6202,SABI BLUE ,4.90,8.45,10.70,1  5/16,13/16,Wood
6203,SABI BROWN ,4.90,8.45,10.70,1  5/16,13/16,Wood
6204,SABI BLACK ,4.90,8.45,10.70,1  5/16,13/16,Wood
6301,SABI GREEN ,4.90,8.45,10.70,13/16,1  5/16,Wood
6302,SABI BLUE ,4.90,8.45,10.70,13/16,1  5/16,Wood
6303,SABI BROWN ,4.90,8.45,10.70,13/16,1  5/16,Wood
6304,SABI BLACK ,4.90,8.45,10.70,13/16,1  5/16,Wood
7130,FLEUR SILVER,4.75,8.28,10.50, 5/8 , 5/16,Wood
7135,FLEUR PEWTER,4.75,8.28,10.50, 5/8 , 5/16,Wood
7140,FLEUR GOLD,4.75,8.28,10.50, 5/8 , 5/16,Wood
7145,FLEUR ANTIQUE GOLD,4.75,8.28,10.50, 5/8 , 5/16,Wood
7159,FLEUR BLACK,4.75,8.28,10.50, 5/8 , 5/16,Wood
7160,FLEUR WHITE,4.75,8.28,10.50, 5/8 , 5/16,Wood
7160,ASTER WHITE,4.75,8.28,10.50, 5/8 ,1,Wood
7230,ASTER SILVER,4.75,8.28,10.50, 5/8 ,1,Wood
7240,ASTER GOLD,4.75,8.28,10.50, 5/8 ,1,Wood
7259,ASTER BLACK,4.75,8.28,10.50, 5/8 ,1,Wood
20101,ST FLOATER MATT BLACK ,6.91,10.99,13.50,1  3/4 ,2  5/8 ,Wood
20103,ST FLOATER BLACK ,7.07,11.23,13.75,1  3/4 ,2  5/8 ,Wood
20108,ST FLOATER SOFT GOLD ,8.14,12.65,15.30,1  3/4 ,2  5/8 ,Wood
20109,ST FLOATER SOFT SILVER ,8.14,12.65,15.30,1  3/4 ,2  5/8 ,Wood
20140,ST FLOATER GOLD LEAF ,8.51,13.26,15.97,1  3/4 ,2  5/8 ,Wood
20150,ST FLOATER SILVER LEAF,8.51,13.26,15.97,1  3/4 ,2  5/8 ,Wood
20160,ST FLOATER MATT WHITE ,6.91,10.99,13.50,1  3/4 ,2  5/8 ,Wood
20210,ST LISO FLT CHP SIL ,8.14,12.75,15.41,1  3/4 ,2  5/8 ,Wood
20220,ST LISO FLT GUNMETAL ,8.14,12.75,15.41,1  3/4 ,2  5/8 ,Wood
20230,ST LISO FLT SILVER,8.14,12.75,15.41,1  3/4 ,2  5/8 ,Wood
20240,ST LISO FLT GOLD ,8.14,12.75,15.41,1  3/4 ,2  5/8 ,Wood
20250,ST LISO FLT BRASS,8.14,12.75,15.41,1  3/4 ,2  5/8 ,Wood
20280,ST LISO FLT SOFT ,8.14,12.75,15.41,1  3/4 ,2  5/8 ,Wood
20290,ST LISO FLT ARCTIC ,8.14,12.75,15.41,1  3/4 ,2  5/8 ,Wood
21501,MATT BLACK ,3.22,6.17,8.02,1  1/8 ,13/16,Wood
21560,MATT WHITE,3.22,6.17,8.02,1  1/8 ,1  3/16,Wood
21601,MATT BLACK ,5.03,8.60,10.87,1  3/4 ,1  3/8 ,Wood
21701,MATT BLACK,3.13,6.03,7.85, 7/8 ,1  3/8 ,Wood
21760,MATT WHITE,3.13,6.03,7.85, 7/8 ,1  3/8 ,Wood
21801,MATT BLACK ,4.63,8.13,10.33,1,1  7/8 ,Wood
21860,MATT WHITE,4.63,8.13,10.33,1,1  7/8 ,Wood
22001,MATT BLACK ,2.72,5.36,7.10,1  1/4 , 7/8 ,Wood
22010,LUMIERE CHAMP SILVER ,6.18,9.93,12.33,15/16,2  1/4 ,Wood
22020,LUMIERE GUNMETAL ,6.18,9.93,12.33,15/16,2  1/4 ,Wood
22030,LUMIERE SILVER ,6.18,9.93,12.33,15/16,2  1/4 ,Wood
22040,LUMIERE GOLD ,6.18,9.93,12.33,15/16,2  1/4 ,Wood
22050,LUMIERE BRASS ,6.18,9.93,12.33,15/16,2  1/4 ,Wood
22080,LUMIERE SOFT GOLD ,6.18,9.93,12.33,15/16,2  1/4 ,Wood
22090,LUMIERE ARCTIC SILVER ,6.18,9.93,12.33,15/16,2  1/4 ,Wood
22101,MATT BLACK 07 ,3.21,6.15,8.00,1  5/8 , 13/16,Wood
22160,MATT WHITE,3.21,6.15,8.00,1  5/8 ,13/16,Wood
22201,MATT BLACK 07,3.32,6.32,8.20,1,1  3/8 ,Wood
22260,MATT WHITE,3.32,6.32,8.20,1,1  3/8 ,Wood
22301,MATT BLACK 07 ,3.22,6.17,8.02,1  1/2 , 7/8,Wood
22360,MATT WHITE,3.22,6.17,8.02,1  1/2 , 7/8 ,Wood
22401,MATT BLACK 07  ,2.23,4.52,6.15, 7/8 , 7/8,Wood
22460,MATT WHITE,2.23,4.52,6.15, 7/8 , 7/8 ,Wood
22501,MATT BLACK 07  ,6.67,10.65,13.12,3  1/2 , 7/8,Wood
22701,MATT BLACK,5.58,9.19,11.52,15/16,2  1/4 ,Wood
22760,MATT WHITE,5.58,9.19,11.52,15/16,2  1/4 ,Wood
23101,MATT BLACK ,2.45,4.91,6.58, 5/8 ,1  1/4 ,Wood
23160,MATT WHITE,2.45,4.91,6.58, 5/8 ,1  1/4 ,Wood
23201,MATT BLACK ,2.25,4.56,6.19, 7/8 , 7/8,Wood
23260,MATT WHITE,2.25,4.56,6.19, 7/8 , 7/8 ,Wood
23301,MATT BLACK ,5.34,8.94,11.25,2,1  3/8 ,Wood
23360,MATT WHITE,5.34,8.94,11.25,2,1  3/8 ,Wood
23501,MATT BLACK ,1.81,3.76,5.26, 3/4 , 5/8,Wood
23601,MATT BLACK ,5.15,8.73,11.02,1  1/8 ,2,Wood
23701,MATT BLACK ,4.26,7.66,9.79, 3/4 ,2,Wood
23760,MATT WHITE,4.26,7.66,9.79, 3/4 ,2,Wood
23901,MVP MATT BLACK ,3.54,6.65,8.60, 5/8 ,1  3/4 ,Wood
23910,LISO CHAMPAGNE SILVER ,4.42,7.86,10.03, 5/8 ,1  3/4 ,Wood
23920,LISO GUNMETAL ,4.42,7.86,10.03, 5/8 ,1  3/4 ,Wood
23930,LISO SILVER ,4.42,7.86,10.03, 5/8 ,1  3/4 ,Wood
23950,LISO BRASS ,4.42,7.86,10.03, 5/8 ,1  3/4 ,Wood
23960,MATT WHITE,3.54,6.65,8.60, 5/8 ,1  3/4 ,Wood
23980,LISO VI SOFT GOLD ,4.42,7.86,10.03, 5/8 ,1  3/4 ,Wood
23990,LISO ARCTIC SILVER ,4.42,7.86,10.03, 5/8 ,1  3/4 ,Wood
24101,MATT BLACK FLOATER ,4.16,7.52,9.64,1  5/16,1  3/16,Wood
24160,MATT WHITE,4.16,7.52,9.64,1  5/16,1  3/16,Wood
24301,BLACK 06  ,8.00,12.55,15.20,2  1/2 ,1  7/8 ,Wood
24401,BLACK 06  ,7.61,12.00,14.59,3,1  3/8 ,Wood
24501,BLACK 06  ,5.31,8.91,11.21,2  3/4 ,7/8,Wood
24560,MATT WHITE,5.31,8.91,11.21,2  3/4 , 7/8 ,Wood
24601,BLACK 06 ,4.15,7.51,9.62,2,7/8,Wood
24610,LISO CHAMPAGNE SILVER ,4.93,8.48,10.74,2, 7/8 ,Wood
24620,LISO GUNMETAL ,4.93,8.48,10.74,2, 7/8 ,Wood
24630,LISO SILVER ,4.93,8.48,10.74,2, 7/8 ,Wood
24650,LISO BRASS ,4.93,8.48,10.74,2, 7/8 ,Wood
24660,MATT WHITE,4.15,7.51,9.62,2, 7/8 ,Wood
24680,LISO VI SOFT GOLD ,4.93,8.48,10.74,2, 7/8 ,Wood
24690,LISO ARCTIC SILVER ,4.93,8.48,10.74,2, 7/8 ,Wood
24701,BLACK 06  ,4.24,7.63,9.76,1,1  7/8 ,Wood
24710,LISO CHAMPAGNE SILVER ,5.59,9.20,11.53,1,1  7/8 ,Wood
24720,LISO GUNMETAL ,5.59,9.20,11.53,1,1  7/8 ,Wood
24730,LISO SILVER,5.59,9.20,11.53,1,1  7/8 ,Wood
24740,LISO GOLD ,5.59,9.20,11.53,1,1  7/8 ,Wood
24750,LISO BRASS ,5.59,9.20,11.53,1,1  7/8 ,Wood
24760,MATT WHITE,4.24,7.63,9.76,1,1  7/8 ,Wood
24780,LISO VI SOFT GOLD ,5.59,9.20,11.53,1,1  7/8 ,Wood
24790,LISO ARCTIC SILVER ,5.59,9.20,11.53,1,1  7/8 ,Wood
24801,MATT BLACK,3.12,6.01,7.83, 3/4 ,1  1/2 ,Wood
24860,MATT WHITE,3.12,6.01,7.83, 3/4 ,1  1/2 ,Wood
24901,MATT BLACK ,5.44,9.05,11.36,74/91,2  5/8 ,Wood
24960,MATT WHITE,5.44,9.05,11.36,13/16,2  5/8 ,Wood
25001,MATT BLACK ,7.61,12.00,14.59,1  1/8 ,3  1/8 ,Wood
25060,MATT WHITE,7.61,12.00,14.59,1  1/8 ,3  1/8 ,Wood
25101,MATT BLACK FLOATER ,5.05,8.62,10.89,1  1/2 ,1  7/8 ,Wood
25110,LISO CHAMPAGNE SILVER FLOATER,6.39,10.24,12.67,1  1/2 ,1  7/8 ,Wood
25120,LISO GUNMETAL FLOATER ,6.39,10.24,12.67,1  1/2 ,1  7/8 ,Wood
25130,LISO SILVER FLOATER ,6.39,10.24,12.67,1  1/2 ,1  7/8 ,Wood
25140,LISO GOLD FLOATER ,6.39,10.24,12.67,1  1/2 ,1  7/8 ,Wood
25150,LISO BRASS FLOATER ,6.39,10.24,12.67,1  1/2 ,1  7/8 ,Wood
25160,MATT WHITE,5.05,8.62,10.89,1  1/2 ,1  7/8 ,Wood
25180,LISO VI SOFT GOLD FLOATER,6.39,10.24,12.67,1  1/2 ,1  7/8 ,Wood
25190,LISO ARCTIC SILVER FLOATER,6.39,10.24,12.67,1  1/2 ,1  7/8 ,Wood
25201,MATT BLACK FLOATER ,4.34,7.76,9.91,1  3/4 ,1  1/4 ,Wood
25220,COFFEE BROWN FLOATER ,4.34,7.76,9.91,1  3/4 ,1  1/4 ,Wood
25230,SILVER FLOATER ,5.14,8.72,11.00,1  3/4 ,1  1/4 ,Wood
25240,GOLD FLOATER ,5.14,8.72,11.00,1  3/4 ,1  1/4 ,Wood
25260,MATT WHITE FLOATER ,4.34,7.76,9.91,1  3/4 ,1  1/4 ,Wood
25301,MATT BLACK,3.56,6.68,8.64,1  7/16,1  3/16,Wood
25401,MATT BLACK ,5.67,9.28,11.62,2  5/8 ,1  1/8 ,Wood
25501,MATT BLACK,5.54,9.15,11.48,2  3/8 ,1  1/4 ,Wood
25801,MATT BLACK,2.46,4.92,6.60, 7/8 ,1  1/16,Wood
26001,MVP MATT BLACK/EMBOSSED ,3.51,6.61,8.55,1  3/8 ,15/16,Wood
26101,MATT BLACK ,2.35,4.73,6.39,1  3/16,7/8,Wood
26110,LISO CHAMPAGNE SILVER ,3.34,6.35,8.24,1  3/16, 7/8 ,Wood
26120,LISO GUNMETAL ,3.34,6.35,8.24,1  3/16, 7/8 ,Wood
26130,LISO SILVER ,3.34,6.35,8.24,1  3/16, 7/8 ,Wood
26140,LISO GOLD ,3.34,6.35,8.24,1  3/16, 7/8 ,Wood
26150,LISO BRASS,3.34,6.35,8.24,1  3/16, 7/8 ,Wood
26160,MATT WHITE,2.35,4.73,6.39,1  3/16, 7/8 ,Wood
26180,LISO VI SOFT GOLD ,3.34,6.35,8.24,1  3/16, 7/8 ,Wood
26190,LISO ARCTIC SILVER ,3.34,6.35,8.24,1  3/16, 7/8 ,Wood
26201,MATT BLACK ,3.53,6.64,8.58,1 74/91, 7/8,Wood
26260,MATT WHITE,3.53,6.64,8.58,1 13/16, 7/8 ,Wood
26401,MATT BLACK,5.42,9.03,11.34,2  1/2 ,1  1/8 ,Wood
26501,MATT BLACK ,1.83,3.79,5.30, 9/16, 7/8,Wood
26560,MATT WHITE,1.83,3.79,5.30, 9/16, 7/8 ,Wood
26601,MATT BLACK 24,2.99,5.80,7.59, 7/8 ,1  1/4 ,Wood
26660,MATT  WHITE 24,2.99,5.80,7.59, 7/8 ,1  1/4 ,Wood
26701,MATT BLACK,2.17,4.41,6.03,1,3/4,Wood
26710,LISO CHAMPAGNE SILVER ,2.83,5.55,7.30,1, 3/4 ,Wood
26720,LISO GUNMETAL,2.83,5.55,7.30,1, 3/4 ,Wood
26730,LISO SILVER ,2.83,5.55,7.30,1, 3/4 ,Wood
26750,LISO BRASS ,2.83,5.55,7.30,1, 3/4 ,Wood
26760,MATT WHITE,2.17,4.41,6.03,1, 3/4 ,Wood
26780,LISO VI SOFT GOLD ,2.83,5.55,7.30,1, 3/4 ,Wood
26790,LISO ARCTIC SILVER ,2.83,5.55,7.30,1, 3/4 ,Wood
26800,POEMS II BLACK ,2.96,5.76,7.54,11/16,1  3/8 ,Wood
26801,MATT BLACK ,6.66,10.63,13.10, 7/8 ,3,Wood
26856,POEMS II RED ,3.66,6.83,8.81,11/16,1  3/8 ,Wood
26857,POEMS II BLUE ,3.66,6.83,8.81,11/16,1  3/8 ,Wood
26858,POEMS II GREEN,3.66,6.83,8.81,11/16,1  3/8 ,Wood
26859,POEMS II YELLOW ,3.66,6.83,8.81,11/16,1  3/8 ,Wood
26860,POEMS II WHITE ,2.96,5.76,7.54,11/16,1  3/8 ,Wood
