item,description,cost,Chop,join,WIDTH,rabbet,group
30425,KOTA CHERRY ,4.79,8.32,10.55,13/16,1  5/16,Wood
30428,KOTA WALNUT ,4.79,8.32,10.55,13/16,1  5/16,Wood
30429,KOTA NATURAL ,4.79,8.32,10.55,13/16,1  5/16,Wood
30459,KOTA BLACK ,4.79,8.32,10.55,13/16,1  5/16,Wood
30520,KOTA COFFEE BROWN ,7.09,11.25,13.78,1,1  3/4 ,Wood
30524,KOTA PECAN ,7.09,11.25,13.78,1,1  3/4 ,Wood
30525,KOTA CHERRY ,7.09,11.25,13.78,1,1  3/4 ,Wood
30528,KOTA WALNUT,7.09,11.25,13.78,1,1  3/4 ,Wood
30529,KOTA NATURAL ,7.09,11.25,13.78,1,1  3/4 ,Wood
30559,KOTA BLACK,7.09,11.25,13.78,1,1  3/4 ,Wood
30620,KOTA COFFEE BROWN ,8.01,12.56,15.21,2  3/8 , 7/8 ,Wood
30624,KOTA PECAN ,8.01,12.56,15.21,2  3/8 , 7/8 ,Wood
30625,KOTA CHERRY ,8.01,12.56,15.21,2  3/8 , 7/8 ,Wood
30628,KOTA WALNUT ,8.01,12.56,15.21,2  3/8 , 7/8 ,Wood
30629,KOTA NATURAL ,8.01,12.56,15.21,2  3/8 , 7/8 ,Wood
30659,KOTA BLACK ,8.01,12.56,15.21,2  3/8 , 7/8 ,Wood
31040,HONORS GLOSS MAHOGANY ,5.11,8.69,10.97,1  3/4 , 7/8 ,Wood
31045,HONORS GLOSS MAHOGANY/GOLD LINE,5.16,8.75,11.03,1  3/4 , 7/8 ,Wood
31050,HONORS MATT MAHOGANY ,4.44,7.89,10.05,1  3/4 , 7/8 ,Wood
31055,HONORS MATT MAHOGANY/GOLD LINE,4.98,8.54,10.80,1  3/4 , 7/8 ,Wood
31065,HONORS GLOSS WALNUT/GOLD LINE,5.17,8.76,11.04,1  3/4 , 7/8 ,Wood
31075,HONORS GLOSS BLACK/GOLD LINE,5.13,8.71,10.99,1  3/4 , 7/8 ,Wood
32026,CHALET LIGHT WALNUT ,5.66,9.27,11.61,15/16,2  1/4 ,Wood
32027,CHALET BUFF ,5.66,9.27,11.61,15/16,2  1/4 ,Wood
32055,CHALET CAROB ,5.66,9.27,11.61,15/16,2  1/4 ,Wood
32059,CHALET OPAQUE BLACK ,5.66,9.27,11.61,15/16,2  1/4 ,Wood
32060,CHALET WHITE ,5.66,9.27,11.61,15/16,2  1/4 ,Wood
33011,ASH WHITE ,5.35,8.95,11.26,1,1  7/16,Wood
33012,ASH NATURAL,5.35,8.95,11.26,1,1  7/16,Wood
33013,ASH LIGHT WALNUT ,5.35,8.95,11.26,1,1  7/16,Wood
33014,ASH DARK BROWN,5.35,8.95,11.26,1,1  7/16,Wood
33015,ASH GRAY,5.35,8.95,11.26,1,1  7/16,Wood
33016,ASH BROWN ,5.35,8.95,11.26,1,1  7/16,Wood
33017,ASH BLACK,5.35,8.95,11.26,1,1  7/16,Wood
34120,KOTA FLOATER COFFEE ,4.34,7.76,9.91,1  3/8 ,1  1/4 ,Wood
34125,KOTA FLOATER CHERRY,4.34,7.76,9.91,1  3/8 ,1  1/4 ,Wood
34128,KOTA FLOATER WALNUT,4.34,7.76,9.91,1  3/8 ,1  1/4 ,Wood
34129,KOTA FLOATER NATURAL,4.34,7.76,9.91,1  3/8 ,1  1/4 ,Wood
34159,KOTA FLOATER BLACK,4.34,7.76,9.91,1  3/8 ,1  1/4 ,Wood
35120,KOTA FLOATER COFFEE BROWN ,6.52,10.43,12.88,1  1/2 ,2,Wood
35125,KOTA FLOATER CHERRY ,6.52,10.43,12.88,1  1/2 ,2,Wood
35128,KOTA FLOATER WALNUT ,6.52,10.43,12.88,1  1/2 ,2,Wood
35129,KOTA FLOATER NATURAL,6.52,10.43,12.88,1  1/2 ,2,Wood
35159,KOTA FLOATER BLACK ,6.52,10.43,12.88,1  1/2 ,2,Wood
35320,ST KOTA FLOATER COFFEE BROWN,7.96,12.50,15.14,1  3/4 ,2  5/8 ,Wood
35325,ST KOTA FLOATER CHERRY,7.96,12.50,15.14,1  3/4 ,2  5/8 ,Wood
35328,ST KOTA FLOATER  WALNUT,7.96,12.50,15.14,1  3/4 ,2  5/8 ,Wood
35329,ST KOTA FLOATER  NATURAL,7.96,12.50,15.14,1  3/4 ,2  5/8 ,Wood
