ITEM,description,WIDTH,cost,group
A84144,OYSTER 8PLY 40X60 ARTIQUE 2PK,40x60,90.09,Matboard
A84147,DIGITAL WHT 8PLY 40X60 2PK,40x60,90.09,Matboard
A84149,GRAPHITE 8PLY 40X60 ARTQ 2PK,40x60,93.91,Matboard
A84153,BIRCH 8PLY 40X60 ARTIQUE 2PK,40x60,70.52,Matboard
A84154,COTSWOLD GRY 8PLY 40X60 2PK,40x60,90.1,Matboard
A84802,OYSTER 8PLY 32X40 ARTIQUE 10PK,32x40,53.06,Matboard
A84833,GRAPHITE 8PLY 32X40 ARTQ 10PK,32x40,55.15,Matboard
A84837,BIRCH 8PLY 32X40 ARTIQUE 10PK,32x40,53.06,Matboard
A84858,RAVEN 8PLY 32X40 ARTQ 10PK,32x40,55.15,Matboard
A84860,COTSWOLD GRY 8PLY 32X40 10PK,32x40,53.06,Matboard
A84865,DOVER WHITE 8PLY 32X40 10PK,32x40,53.06,Matboard
A84901,WHITE 8PLY 32X40 ARTIQUE 10PK,32x40,53.06,Matboard
A84934,CHESTNUT 8PLY 32X40 ARTQ 10PK,32x40,55.15,Matboard
A84937,THATCH 8PLY 32X40 ARTIQUE 10PK,32x40,53.06,Matboard
A84969,NIGHT 8PLY 32X40 ARTQ 10PK,32x40,55.15,Matboard
A84977,DIGITAL WHT 8PLY 32X40 10PK,32x40,52.94,Matboard
A86100,WINTER WHT 40X60 8PL RAG ARTQ,40x60,141.69,Matboard
A86200,WINTER WHT 32X40 8PL RAG 12PK,32x40,78.6,Matboard
A86201,DOWN 32X40 8PL RAG ARTQ 12PK,32x40,77.32,Matboard
