Code,Description,Width,rabbet,category,Cost,chop,group
CR3313WH,33x13mm White Open Grain Create Flat Moulding,33,9,White,3.91,7.81,Wood
CR3330AF,33x30mm Ash Foil Create Flat Moulding,33,24,Brown,6.22,12.44,Wood
CR3330AG,33x30mm Antique Gold Create Lustre Flat Moulding,33,24,Gold,6.04,12.08,Wood
CR3330AS,33x30mm Antique Silver Create Lustre Flat Moulding,33,24,Silver,6.04,12.08,Wood
CR3330BF,33x30mm Brown Foil Create Flat Moulding,33,24,Brown,6.22,12.44,Wood
CR3330BK,33x30mm Black Closed Grain Create Flat Moulding,33,24,Black,6.14,12.28,Wood
CR3330BN,33x30mm Brown Closed Grain Create Flat Moulding,33,24,Brown,6.14,12.28,Wood
CR3330BR,33x30mm Bronze Create Lustre Flat Moulding,33,24,Bronze,6.04,12.08,Wood
CR3330BU,33x30mm Mid Blue Closed Grain Create Flat Moulding,33,24,Blue,6.14,12.28,Wood
CR3330CH,33x30mm Charcoal Closed Grain Create Flat Moulding,33,24,Black,6.14,12.28,Wood
CR3330DG,33x30mm Dark Green Closed Grain Create Flat Moulding,33,24,Green,6.14,12.28,Wood
CR3330GF,33x30mm Grey Foil Create Flat Moulding,33,24,Grey,6.22,12.44,Wood
CR3330GY,33x30mm Grey Closed Grain Create Flat Moulding,33,24,Grey,6.14,12.28,Wood
CR3330IV,33x30mm Ivory Open Grain Create Flat Moulding,33,24,Cream,5.68,11.36,Wood
CR3330LI,33x30mm Limewash Open Grain Create Flat Moulding,33,24,White,6.14,12.28,Wood
CR3330MD,33x30mm Dark Blue Closed Grain Create Flat Moulding,33,24,Blue,6.14,12.28,Wood
CR3330MG,33x30mm Matt Gold Closed Grain Create Flat Moulding,33,24,Gold,6.14,12.28,Wood
CR3330MS,33x30mm Matt Silver Closed Grain Create Flat Moulding,33,24,Silver,6.14,12.28,Wood
CR3330OB,33x30mm Black Open Grain Create Flat Moulding,33,24,Black,5.68,11.36,Wood
CR3330OF,33x30mm Oak Foil Create Flat Moulding,33,24,Brown,6.22,12.44,Wood
CR3330OR,33x30mm Orange Closed Grain Create Flat Moulding,33,24,Orange,6.14,12.28,Wood
CR3330OW,33x30mm White Open Grain Create Flat Moulding,33,24,White,5.68,11.36,Wood
CR3330PG,33x30mm Pale Grey Closed Grain Create Flat Moulding,33,24,Grey,6.14,12.28,Wood
CR3330PK,33x30mm Pink Closed Grain Create Flat Moulding,33,24,Pink,6.14,12.28,Wood
CR3330RD,33x30mm Bright Red Closed Grain Create Flat Moulding,33,24,Red,6.14,12.28,Wood
CR3330WA,33x30mm Walnut Foil Create Flat Moulding,33,24,Brown,6.22,12.44,Wood
CR3330WE,33x30mm Wenge Closed Grain Create Flat Moulding,33,24,Brown,6.14,12.28,Wood
CR3330WF,33x30mm Wenge Foil Create Flat Moulding,33,24,Brown,6.22,12.44,Wood
CR3330WH,33x30mm White Closed Grain Create Flat Moulding,33,24,White,6.14,12.28,Wood
CR3330YW,33x30mm Yellow Closed Grain Create Flat Moulding,33,24,Yellow,6.14,12.28,Wood
CR3347BK,33x47mm Black Open Grain Create Flat Moulding,33,41,Black,7.74,15.48,Wood
CR3347WH,33x47mm White Open Grain Create Flat Moulding,33,41,White,7.74,15.48,Wood
CR3448BK,34x48mm Black Open Grain Create L-shape Moulding,34,,Black,7.34,14.69,Wood
CR3448WH,34x48mm White Open Grain Create L-shape Moulding,34,,White,7.34,14.69,Wood
CR3753BK,12x54mm Black Open Grain Create Tray Frame Moulding,12,42,Black,8.12,16.24,Wood
CR3753BN,12x54mm Brown Open Grain Create Flat Moulding,12,42,Black,8.12,16.24,Wood
CR3753WH,12x54mm White Open Grain Create Flat Moulding,12,42,White,8.12,16.24,Wood
CR3820BK,38x20mm Black Open Grain Create Flat Moulding,38,15,Black,3.85,7.69,Wood
CR3820OA,38x20mm Oak Open Grain Create Flat Moulding,38,15,Brown,3.85,7.69,Wood
CR3820WH,38x20mm White Open Grain Create Flat Moulding,38,15,White,3.85,7.69,Wood
CR3939BE,39x40mm Beech Open Grain Create Flat Moulding,39,29,Brown,6.52,13.04,Wood
CR3939BK,39x40mm Black Open Grain Create Flat Moulding,39,29,Black,6.52,13.04,Wood
CR3939BN,39x40mm Brown Open Grain Create Flat Moulding,39,29,Brown,6.52,13.04,Wood
CR3939WH,39x40mm White Open Grain Create Flat Moulding,39,29,White,6.52,13.04,Wood
CR4013BK,40x13mm Black Closed Grain Create Flat Moulding,40,9,Black,3.65,7.3,Wood
CR4013WH,40x13mm White Closed Grain Create Flat Moulding,40,9,White,3.65,7.3,Wood
CR4030BA,40x30mm Black Open Grain Create Flat Moulding,40,20,Black,6.77,13.55,Wood
CR4030BK,40x30mm Black Closed Grain Create Flat Moulding,40,20,Black,7.35,14.71,Wood
CR4030BN,40x30mm Brown Closed Grain Create Flat Moulding,40,20,Brown,7.23,14.46,Wood
CR4030GD,40x30mm Gold Closed Grain Create Flat Moulding,40,20,Gold,7.28,14.57,Wood
CR4030GY,40x30mm Dark Grey Closed Grain Create Flat Moulding,40,20,Grey,7.23,14.46,Wood
CR4030OW,40x30mm White Open Grain Create Flat Moulding,40,20,White,6.77,13.55,Wood
CR4030PG,40x30mm Pale Grey Closed Grain Create Flat Moulding,40,20,Grey,7.23,14.46,Wood
CR4030PT,40x30mm Pewter Closed Grain Create Flat Moulding,40,20,Pewter,7.28,14.57,Wood
CR4030SI,40x30mm Silver Closed Grain Create Flat Moulding,40,20,Silver,7.28,14.57,Wood
CR4030WH,40x30mm White Closed Grain Create Flat Moulding,40,20,White,7.35,14.71,Wood
CR4040BK,40x40mm Black Closed Grain Create Flat Moulding,40,29,Black,8,15.99,Wood
CR4040WH,40x40mm White Closed Grain Create Flat Moulding,40,29,White,8,15.99,Wood
CR4530BK,21x22mm Black Open Grain Create Flat Moulding,21,17,Black,3.73,7.47,Wood
CR4530BN,21x22mm Brown Open Grain Create Flat Moulding,21,17,Brown,3.85,7.69,Wood
CR4530GY,21x22mm Grey Open Grain Create Flat Moulding,21,17,Grey,3.73,7.47,Wood
CR4530IV,21x22mm Ivory Open Grain Create Flat Moulding,21,17,White,3.73,7.47,Wood
CR4530LO,21x22mm Light Oak Open Grain Create Flat Moulding,21,17,Brown,3.85,7.69,Wood
CR4530OA,21x22mm Oak Open Grain Create Flat Moulding,21,17,Brown,3.73,7.47,Wood
CR4530OB,21x22mm Raw Obeche Open Grain Create Flat Moulding,21,17,Natural,2.64,5.28,Wood
CR4530PG,21x22mm Pale Grey Open Grain Create Flat Moulding,21,17,Grey,3.73,7.47,Wood
CR4530WH,21x22mm White Open Grain Create Flat Moulding,21,17,White,3.73,7.47,Wood
CR4920BK,49x20mm Black Open Grain Create Flat Moulding,49,14,Black,5.04,10.08,Wood
CR4920MB,49x20mm Black Closed Grain Create Flat Moulding,49,14,Black,5.91,11.81,Wood
CR4920MW,49x20mm White Closed Grain Create Flat Moulding,49,14,White,5.91,11.81,Wood
CR4920WH,49x20mm White Open Grain Create Flat Moulding,49,14,White,5.04,10.08,Wood
CR5241AG,16x52mm Antique Gold Create Lustre L-shape Moulding,16,16,,9.91,19.83,Wood
CR5241AS,16x52mm Antique Silver Create Lustre L-shape Moulding,16,16,,9.91,19.83,Wood
CR5241BK,16x52mm Black Open Grain Create L-shape Moulding,16,16,Black,8.94,17.87,Wood
CR5241BN,16x52mm Brown Open Grain Create L-shape Moulding,16,16,Brown,8.94,17.87,Wood
CR5241BR,16x52mm Antique Bronze Create Lustre L-shape Moulding,16,16,,9.91,19.82,Wood
CR5241GY,16x52mm Grey Open Grain Create L-shape Moulding,16,16,Grey,8.68,17.36,Wood
CR5241MB,16x52mm Black Closed Grain Create L-shape Moulding,16,16,Black,9.05,18.09,Wood
CR5241MW,16x52mm White Closed Grain Create L-shape Moulding,16,16,White,9.05,18.09,Wood
CR5241PG,16x52mm Pale Grey Open Grain Create L-shape Moulding,16,16,Grey,8.68,17.36,Wood
CR5241WH,16x52mm White Open Grain Create L-shape Moulding,16,16,White,8.94,17.87,Wood
CR5253BK,28x52mm Black Open Grain Create L-shape Moulding,28,27,Black,10.75,21.5,Wood
CR5253BN,28x52mm Brown Open Grain Create L-shape Moulding,28,27,Brown,10.75,21.5,Wood
CR5253WH,28x52mm White Open Grain Create L-shape Moulding,28,27,White,10.75,21.5,Wood
CR5420BK,54x20mm Black Open Grain Create Flat Moulding,54,15,Black,4.68,9.36,Wood
CR5420BN,54x20mm Brown Open Grain Create Flat Moulding,54,15,Brown,4.68,9.36,Wood
CR5420WH,54x20mm White Open Grain Create Flat Moulding,54,15,White,4.68,9.36,Wood
CR6350BK,30x25mm Black Closed Grain Create Flat Moulding,30,21,Black,5.68,11.36,Wood
CR6350WH,30x25mm White Closed Grain Create Flat Moulding,30,21,White,5.68,11.36,Wood
CR8002WH,40x30mm White Closed Grain Create Block Moulding,40,20,White,4.02,8.04,Wood
CR8005OA,40x30mm Oak Closed Grain Create Flat Moulding,40,20,Brown,6.86,13.73,Wood
CR8005WH,40x30mm Matt Closed Grain White Create Flat Moulding,40,20,White,3.11,6.22,Wood
CR8006BK,30x21mm Matt Closed Grain Black Create Bevel Moulding,30,15,Black,2.53,5.06,Wood
CR8006WH,30x21mm Matt Closed Grain White Create Bevel Moulding,30,15,White,2.53,5.06,Wood
CR8007BK,23x21mm Matt Closed Grain Black Create Bevel Moulding,23,15,Black,2.06,4.12,Wood
CR8007WH,23x21mm Matt Closed Grain White Create Bevel Moulding,23,15,White,2.06,4.12,Wood
F1BK,5x6mm Black Fillet Moulding,5,,Black,2.69,5.38,Fillet
F1IV,5x6mm Ivory Fillet Moulding,5,,Cream,2.69,5.38,Fillet
F1OB,5x6mm Raw Obeche Fillet Moulding,5,,Natural,1.2,2.39,Fillet
F1WH,5x6mm White Fillet Moulding,5,,White,2.69,5.38,Fillet
F2BK,5x12mm Black Fillet Moulding,5,,Black,3.28,6.55,Fillet
F2IV,5x12mm Ivory Fillet Moulding,5,,Cream,3.28,6.55,Fillet
F2OB,5x12mm Raw Obeche Fillet Moulding,5,,Natural,1.64,3.28,Fillet
F2WH,5x12mm White Fillet Moulding,5,,White,3.28,6.55,Fillet
F3BK,5x19mm Black Fillet Moulding,5,,Black,3.84,7.69,Fillet
F3IV,5x19mm Ivory Fillet Moulding,5,,Cream,3.84,7.69,Fillet
F3OB,5x19mm Raw Obeche Fillet Moulding,5,,Natural,2.07,4.14,Fillet
F3WH,5x19mm White Fillet Moulding,5,,White,3.84,7.69,Fillet
F4BK,5x25mm Black Fillet Moulding,5,,Black,4.01,8.02,Fillet
F4OB,5x25mm Raw Obeche Fillet Moulding,5,,Natural,2.38,4.77,Fillet
F4WH,5x25mm White Fillet Moulding,5,,White,4.01,8.02,Fillet
F5OB,5x38mm Obeche Fillet Moulding,5,,Natural,3.02,6.03,Fillet
F6OB,6x47mm Obeche Fillet Moulding,6,,Natural,3.16,6.31,Fillet
HS1,33x19mm Raw Pine Stretcher Moulding FSC,33,,Natural,3.64,7.29,Extender
HS11,20x45mm Raw Pine Stretcher Moulding FSC,20,,Natural,3.74,7.48,Extender
HS12,20x60mm Raw Pine Stretcher Moulding FSC,20,,Natural,4.88,9.77,Extender
HS2,39x27mm Raw Pine Stretcher Moulding FSC,39,,Natural,6.92,13.84,Extender
HS4,33x19mm Raw Pine Stretcher Moulding,33,,Natural,2.49,4.98,Extender
HS6,40x23mm Raw Pine Stretcher Moulding,40,,Natural,5.78,11.55,Extender
HS7,28x44mm Raw Tulip Stretcher Moulding,28,,Natural,8.01,16.02,Extender
HS8,37x32mm Raw Pine Stretcher Moulding FSC,37,,Natural,6.1,12.2,Extender
HS9,31x27mm Raw Pine Stretcher Moulding FSC,31,,Natural,2.64,5.27,Extender
