Code,Description,Width,rabbet,category,Cost,chop,group
6810PT,40x23mm Pewter LUXE Esquilino Scoop Moulding,40,11,Pewter,11.09,22.18,Wood
6820BR,74x45mm Bronze LUXE Esquilino Scoop Moulding,74,23,Bronze,22.54,45.09,Wood
6820BS,74x45mm Black/Silver SE LUXE Esquilino Scoop Moulding,74,23,Black,21.5,43.01,Wood
6820MB,74x45mm Matt Black LUXE Esquilino Scoop Moulding,74,23,Black,21.08,42.17,Wood
6820MW,74x45mm Matt White LUXE Esquilino Scoop Moulding,74,23,White,21.08,42.17,Wood
6820PT,74x45mm Pewter LUXE Esquilino Scoop Moulding,74,23,Pewter,22.54,45.09,Wood
6843GN,68x43mm Green Grey Open Grain Kendal Scoop Moulding,68,13,Green,8.57,17.14,Wood
6843GY,68x43mm Dark Grey Open Grain Kendal Scoop Moulding,68,13,Grey,8.57,17.14,Wood
6843PG,68x43mm Pale Grey Open Grain Kendal Scoop Moulding,68,13,Grey,8.57,17.14,Wood
6843WH,68x43mm Grey White Open Grain Kendal Scoop Moulding,68,13,White,8.57,17.14,Wood
7000AG,44x16mm Antique Gold Flat Moulding,44,9,Gold,7.04,14.07,Wood
7000AS,47x16mm Antique Silver Flat Moulding,47,9,Silver,7.04,14.07,Wood
7005BR,63x30mm Industrial Bronze LUXE Ferrara Bevel Moulding,63,21,Bronze,19.06,38.12,Wood
7005GD,63x30mm Industrial Gold LUXE Ferrara Bevel Moulding,63,21,Gold,19.06,38.12,Wood
7005PT,63x30mm Industrial Pewter LUXE Ferrara Bevel Moulding,63,21,Pewter,19.06,38.12,Wood
7006BR,35x35mm Industrial Bronze LUXE Ferrara Bevel Moulding,35,25,Bronze,13.13,26.25,Wood
7006GD,35x35mm Industrial Gold LUXE Ferrara Bevel Moulding,35,25,Gold,13.13,26.25,Wood
7006PT,35x35mm Industrial Pewter LUXE Ferrara Bevel Moulding,35,25,Pewter,13.13,26.25,Wood
7017OB,70x17mm Raw Obeche Sub Frame Moulding,70,,Natural,8.36,16.72,Wood
7020BK,70x20mm Black Flat Moulding,70,16,Black,9.54,19.09,Wood
7178BN,23x15mm Brown Cushion Moulding,23,9,Brown,5.7,11.4,Wood
7201BK,33x42mm Black Bevel Moulding,33,28,Black,14.43,28.85,Wood
7201OB,35x44mm Raw Obeche Bevel Moulding,35,28,Natural,8.73,17.45,Wood
7225BK,20x25mm Distressed Black Spello Beaded Moulding,20,15,Black,4.66,9.32,Wood
7225CM,20x25mm Distressed Cream Spello Beaded Moulding,20,15,Cream,4.66,9.32,Wood
7225DG,20x25mm Distressed Dark Green Spello Beaded Moulding,20,15,Green,4.66,9.32,Wood
