ITEM,DESC,WIDTH,UM,UPC,LISTPRICE,CHOPPRICE,JOINPRICE,CLASS,BOXQTY,BOXPRICE,ISFILLET,ISCUTMAT,ISMATBOARD
413675,W2 CRANBROOK NATURAL WAL 1 5/8,1.625,FT,720472150651,9.76,16.14,17.14,Frame Moulding,150,7.05,N,N,N
413676,W2 CRANBROOK DARK WALNUT 1 5/8,1.625,FT,720472150668,9.57,15.83,16.83,Frame Moulding,160,6.38,N,N,N
413677,"W2 CRANBROOK NAT MAPLE 1 5/8""",1.625,FT,720472150675,8.8,14.74,15.74,Frame Moulding,160,6.03,N,N,N
414410,"W2 DILLON WALNUT CAP 1 1/2""",1.5,FT,720472179225,13.46,19.31,20.31,Frame Moulding,137,9.04,N,N,N
414430,"W2 DILLON GREY CAP 1 1/2""",1.5,FT,720472179249,13.46,19.45,20.45,Frame Moulding,196,9.11,N,N,N
415352,"W2 BARRINGTON DK.CHERRY 1 1/4""",1.25,FT,720472140799,9.92,15.88,16.88,Frame Moulding,236,6.61,N,N,N
415BL,W2 RF/BLACK 1 1/4,1.25,FT,720472119467,3.99,5.65,6.65,Frame Moulding,324,2.31,N,N,N
416276,"W0 MILO MAPLE TALL CAP 3/4""",0.75,FT,720472199476,6.51,8.51,9.51,Frame Moulding,274,4.76,N,N,N
416277,"W0 MILO WALNUT TALL CAP 3/4""",0.75,FT,720472199513,6.51,8.51,9.51,Frame Moulding,295,4.76,N,N,N
416278,W0 MILO CERUSED OAK TL CAP 3/4,0.75,FT,720472199551,6.08,7.95,8.95,Frame Moulding,274,4.45,N,N,N
417317,W2 DRAYTON BLK&GLD SCOOP 1 3/4,1.6875,FT,720472194266,6.31,9.14,10.14,Frame Moulding,157,4.21,N,N,N
4181,"ARQADIA SILVER 1 9/16""",1.5625,FT,720472151580,3.13,0,0,Frame Moulding,135,3.13,N,N,N
418146,"W2 KYOTO BLACK 1 3/8""",1.375,FT,720472139199,12.04,17.59,18.59,Frame Moulding,110,9.76,N,N,N
418147,"W2 KYOTO NATURAL 1 3/8""",1.375,FT,720472139205,12.04,17.59,18.59,Frame Moulding,117,9.76,N,N,N
418148,"W2 KYOTO GREY 1 3/8""",1.375,FT,720472139212,12.04,17.59,18.59,Frame Moulding,117,9.76,N,N,N
420660,"W1 MANTILLA SMALL GOLD 1 3/4""",1.75,FT,720472150460,10.19,14.13,15.13,Frame Moulding,140,6.82,N,N,N
420661,"W1 MANTILLA SMALL BLACK 1 3/4""",1.75,FT,720472150477,10.49,14.55,15.55,Frame Moulding,195,7.02,N,N,N
420662,"W1 MANTILLA SMALL SILVR 1 3/4""",1.75,FT,720472150484,10.56,14.63,15.63,Frame Moulding,157,7.06,N,N,N
423960,"W2 FLAX OYSTER LINER 1 1/4""",1.1875,FT,720472159920,3.28,6.76,7.76,Frame Moulding,180,2.09,N,N,N
423962,"W2 FLAX SAND LINER 1 1/4""",1.1875,FT,720472159937,3.32,6.86,7.86,Frame Moulding,180,2.12,N,N,N
423966,"W2 FLAX BLACK LINER 1 1/4""",1.1875,FT,720472159951,3.3,6.8,7.8,Frame Moulding,180,2.1,N,N,N
429292,W2 WINDERMERE MAH/CHERRY 1 1/8,1.1875,FT,720472139847,4.91,7.94,8.94,Frame Moulding,162,3.38,N,N,N
431431,"W2 ZEN TAUPE 1 3/8""",1.375,FT,720472143752,15.91,26.01,27.01,Frame Moulding,115,10.83,N,N,N
431432,"W2 ZEN GOLD 1 3/8""",1.375,FT,720472143769,17.37,25.91,26.91,Frame Moulding,113,11.81,N,N,N
431434,"W2 ZEN BLACK 1 3/8""",1.375,FT,720472143783,18.18,27.11,28.11,Frame Moulding,110,12.36,N,N,N
432900,"W1 FOUNDRY FLAT BRASS 1 3/4""",1.75,FT,720472179768,11.21,15.78,16.78,Frame Moulding,225,7.61,N,N,N
432902,"W1 FOUNDRY FLAT IRON 1 3/4""",1.75,FT,720472179775,11.58,16.3,17.3,Frame Moulding,236,7.83,N,N,N
433082,"W2 SOHO BLK TALL CAP 1 3/4""",1.6875,FT,720472134903,10.98,15.13,16.13,Frame Moulding,108,5.85,N,N,N
433084,"W2 SOHO BLK WSIL TCAP 1 3/4""",1.6875,FT,720472134910,9.59,14.54,15.54,Frame Moulding,108,5.16,N,N,N
434110,"W2 CR2 SILVER CUBE 1 1/4""",1.25,FT,720472182300,10.73,15.73,16.73,Frame Moulding,176,7.28,N,N,N
435500,"W2 ALTO BLK FLAT 1 5/16""",1.3125,FT,720472184267,4.14,7.06,8.06,Frame Moulding,324,2.07,N,N,N
435510,"W2 ALTO WHT FLAT 1 5/16""",1.3125,FT,720472184311,4.14,7.06,8.06,Frame Moulding,296,2.07,N,N,N
436350,"W2 BROOKLYN BLK SLANT 1 5/8""",1.625,FT,720472163262,4.21,6.38,7.38,Frame Moulding,143,2.63,N,N,N
437500,"W1 ALTO BLK LG CUBE 1 3/16""",1.1875,FT,720472184274,4.14,7.58,8.58,Frame Moulding,198,2.33,N,N,N
437510,"W1 ALTO WHT LG CUBE 1 3/16""",1.1875,FT,720472184328,4.14,7.58,8.58,Frame Moulding,235,2.33,N,N,N
438120,"W2 DRESDEN BLACK 2""",2,FT,720472163422,11.8,15.8,16.8,Frame Moulding,150,7.8,N,N,N
439082,"W2 SOHO BLK PYRAMID W/BEV 2""",2.0625,FT,720472134934,8.72,11.97,12.97,Frame Moulding,185,5.08,N,N,N
441077,"W2 PRAGUE BAROQUE SLVR REV 2""",2.0625,FT,720472134743,13.82,23.86,24.86,Frame Moulding,155,9.44,N,N,N
442650,"W0 TATE BLACK FLOAT 1 3/4""",1.75,FT,720472181297,9.29,12.15,13.15,Frame Moulding,162,5.47,N,N,N
442670,"W0 TATE GOLD FLOAT 1 3/4""",1.75,FT,720472182447,8.9,11.59,12.59,Frame Moulding,162,5.37,N,N,N
443960,"W1 FLAX OYSTER LINER 2""",2,FT,720472159968,4.69,9.56,10.56,Frame Moulding,252,2.78,N,N,N
443962,"W1 FLAX SAND LINER 2""",2,FT,720472159975,4.39,8.96,9.96,Frame Moulding,246,2.62,N,N,N
444110,"W2 CR2 SILVER PYRAMID 1 5/8""",1.625,FT,720472182317,9.34,14.36,15.36,Frame Moulding,235,6.06,N,N,N
445482,"W2 JASPER BLACK FLAT 2 1/2""",2.5,FT,720472199216,4.2,5.94,6.94,Frame Moulding,135,3.32,N,N,N
445484,"W2 JASPER WHITE FLAT 2 1/2""",2.5,FT,720472199223,4.84,6.25,7.25,Frame Moulding,135,3.52,N,N,N
446317,W2 DRAYTON BLK&GLD PANEL 2 1/8,2.125,FT,720472194273,7.26,10.52,11.52,Frame Moulding,147,4.84,N,N,N
449350,"W2 BARRINGTON LT.CHERRY 1 3/4""",1.75,FT,720472140867,9.89,15.69,16.69,Frame Moulding,180,6.59,N,N,N
452100,"W2 CARBON 1 1/2"" CUBE BLACK",1.5,FT,720472193337,12.41,14.55,15.55,Frame Moulding,157,7.95,N,N,N
453250,W2 ANDOVER FLAT BLACK 1 1/2,1.5,FT,720472183079,6.39,8.33,9.33,Frame Moulding,423,4.23,N,N,N
453260,W2 ANDOVER FLAT WHITE 1 1/2,1.5,FT,720472183086,6.39,8.33,9.33,Frame Moulding,447,4.09,N,N,N
453270,W2 ANDOVER FLAT SILVER 1 1/2,1.5,FT,720472183093,5.56,8.33,9.33,Frame Moulding,406,3.72,N,N,N
454301,W2 BRITTANY CHAR BLACK 1 1/16,1.0625,FT,720472179423,14.7,18.9,19.9,Frame Moulding,112,9.13,N,N,N
458184,W1 L7 SLVR/WHT 1 7/8 H x 3/4 W,0.8125,FT,720472168762,14.84,17.06,18.06,Frame Moulding,151,11.68,N,N,N
458185,W1 L7 GOLD/BLK 1 7/8 H x 3/4 W,0.8125,FT,720472168779,13.57,16.03,17.03,Frame Moulding,240,10.8,N,N,N
459500,"W2 ALTO BLK FLAT 1 15/16""",1.9375,FT,720472184298,4.78,8.9,9.9,Frame Moulding,158,2.88,N,N,N
459510,"W2 ALTO WHT FLat 1 15/16""",1.9375,FT,720472184342,4.37,8.9,9.9,Frame Moulding,157,2.88,N,N,N
460620,"W2 ANVIL II FLOAT 1 7/8"" AGDST",1.875,FT,720472182508,17.83,25.43,26.43,Frame Moulding,73,12.31,N,N,N
461912,"W2 CHATEAU LOUIS XVI 2""(RIBB)",2,FT,720472131957,25.12,32.01,33.01,Frame Moulding,100,19.31,N,N,N
462620,W2 ANVIL II CUBE 1 9/16 AGDSTL,1.5625,FT,720472182515,14.27,18.81,19.81,Frame Moulding,115,9.97,N,N,N
463110,"W2 BRIGHTON RND WAL 1 1/16""",1.0625,FT,720472183482,3.83,5.68,6.68,Frame Moulding,360,1.9,N,N,N
463120,W2 BRIGHTON RND MAH  1 1/16,1.0625,FT,720472183574,3.63,5.39,6.39,Frame Moulding,360,1.81,N,N,N
463130,"W2 BRIGHTON RND ESP  1 1/16""",1.0625,FT,720472183666,3.83,5.68,6.68,Frame Moulding,360,1.9,N,N,N
465110,"W1 BRIGHTON SM SCO WAL 1 3/16""",1.1875,FT,720472183451,3.68,5.63,6.63,Frame Moulding,288,1.86,N,N,N
465120,W1 BRIGHTON SM SCP MAH 1 3/16,1.1875,FT,720472183543,3.98,6.08,7.08,Frame Moulding,288,2.01,N,N,N
465130,"W1 BRIGHTON SCP ESP SM 1 3/16""",1.1875,FT,720472183635,3.74,5.72,6.72,Frame Moulding,288,1.9,N,N,N
468120,"W2 DRESDEN BLK/SLVR 1 9/16""",1.5625,FT,720472163439,11.25,15.27,16.27,Frame Moulding,155,7.43,N,N,N
470270,W2 ANDOVER MD DOMESLVR 1 11/16,1.6875,FT,720472183048,7.87,9.94,10.94,Frame Moulding,218,5.69,N,N,N
470280,W2 ANDOVER MD DOME GLD 1 11/16,1.6875,FT,720472183055,7.88,10.26,11.26,Frame Moulding,206,5.26,N,N,N
470290,W2 ANDOVER MD DME SUED 1 11/16,1.6875,FT,720472183062,7.88,9.8,10.8,Frame Moulding,235,5.6,N,N,N
471550,"W2 INTERMEZZO UMBER 1 3/4""",1.5625,FT,720472180948,14.26,19.79,20.79,Frame Moulding,233,9.26,N,N,N
471560,"W2 INTERMEZZO MAHOG 1 3/4""",1.5625,FT,720472180955,14.27,19.8,20.8,Frame Moulding,226,9.19,N,N,N
471570,"W2 INTERMEZZO SABLE 1 3/4""",1.5625,FT,720472180962,14.27,19.79,20.79,Frame Moulding,248,9.33,N,N,N
471912,"W2 CHATEAU LOUIS XV 2""",2,FT,720472131964,22.52,29.41,30.41,Frame Moulding,88,15.39,N,N,N
472110,"W2 BRIGHTON PRY WAL 1 1/2""",1.5,FT,720472183499,3.96,5.9,6.9,Frame Moulding,198,2.13,N,N,N
472120,"W2 BRIGHTON PRY MAH  1 1/2""",1.5,FT,720472183581,3.83,5.71,6.71,Frame Moulding,198,2.06,N,N,N
472130,"W2 BRIGHTON PRY ESP  1 1/2 """,1.5,FT,720472183673,3.9,5.81,6.81,Frame Moulding,198,2.09,N,N,N
473110,"W2 BRIGHTON BEAD WAL 1 9/16""",1.5625,FT,720472183475,3.89,5.81,6.81,Frame Moulding,195,2.09,N,N,N
473120,W2 BRIGHTON BEADED MAH 1 9/16,1.5625,FT,720472183567,4.09,6.12,7.12,Frame Moulding,184,2.21,N,N,N
473130,W2 BRIGHTON BEADED ESP 1 9/16,1.5625,FT,720472183659,4.09,6.12,7.12,Frame Moulding,176,2.21,N,N,N
474110,"W2 CR2 SILVER FLAT  2""",2,FT,720472182324,10.55,15.44,16.44,Frame Moulding,160,7.13,N,N,N
475110,W2 BRIGHTON REV WAL 1 11/16,1.6875,FT,720472183505,3.92,5.86,6.86,Frame Moulding,216,2.12,N,N,N
475120,"W2 BRIGHTON REV MAH  1 11/16""",1.6875,FT,720472183598,3.96,5.9,6.9,Frame Moulding,216,2.14,N,N,N
475130,"W2 BRIGHTON REV ESP 1 11/16""",1.6875,FT,720472183680,4.09,6.1,7.1,Frame Moulding,216,2.21,N,N,N
476350,"W2 BROOKLYN BLK SLOPE 2""",2,FT,720472163200,4.84,7.95,8.95,Frame Moulding,133,3.05,N,N,N
477593,"W2 MARAIS BLACK SCOOP 1 1/2""",1.5,FT,720472156684,6.19,9.15,10.15,Frame Moulding,216,3.28,N,N,N
479110,"W1 BRIGHTON LIP SCOOP 1 13/16""",1.8125,FT,720472183444,4.2,6.18,7.18,Frame Moulding,162,2.25,N,N,N
479120,"W1 BRIGHTON SCP MAH 1 13/16""",1.8125,FT,720472183536,4.2,6.18,7.18,Frame Moulding,162,2.25,N,N,N
479130,"W1 BRIGHTON SCP ESP 1 13/16""",1.8125,FT,720472183628,4.2,6.18,7.18,Frame Moulding,162,2.25,N,N,N
480455,W2 LILLE SMALL SCP 1 11/16 GLD,1.625,FT,720472183383,11.33,15.49,16.49,Frame Moulding,146,7.95,N,N,N
480460,W2 LILLE SMALL SCP 1 11/16 BRZ,1.625,FT,720472183291,11.24,15.39,16.39,Frame Moulding,235,7.89,N,N,N
480465,W2 LILLE SMALL SCP 1 11/16 SLV,1.625,FT,720472183307,11.57,15.82,16.82,Frame Moulding,230,8.11,N,N,N
480470,W2 LILLE SMALL SCP 1 11/16 PWT,1.625,FT,720472183314,11.2,15.34,16.34,Frame Moulding,229,7.87,N,N,N
482310,W1 HOMESTEAD SCOOP BLK 1 15/16,1.9375,FT,720472180788,7.93,15.33,16.33,Frame Moulding,118,5.59,N,N,N
484110,"W0 CR2 SILVER FLOAT 1 3/4""",1.75,FT,720472182331,11.71,17,18,Frame Moulding,100,7.88,N,N,N
485110,"W2 BRIGHTON LG SCOOP WAL 2""",2,FT,720472183468,5.09,7.16,8.16,Frame Moulding,180,3.74,N,N,N
485120,"W2 BRIGHTON LG SCP MAH 2 """,2,FT,720472183550,5.09,7.16,8.16,Frame Moulding,180,3.74,N,N,N
485130,"W2 BRIGHTON LG SCP ESP 2""",2,FT,720472183642,4.97,6.98,7.98,Frame Moulding,180,3.65,N,N,N
486180,"W2 HUDSON GOLD SCOOP 1 9/16""",1.5625,FT,720472172738,7.04,10.53,11.53,Frame Moulding,162,4.76,N,N,N
486190,"W2 HUDSON SILVER SCP 1 9/16""",1.5625,FT,720472172745,6.84,10.48,11.48,Frame Moulding,162,4.65,N,N,N
486200,W2 HUDSON II IVORY SCP 1 9/16,1.5625,FT,720472183864,6.6,10.23,11.23,Frame Moulding,162,4.42,N,N,N
486220,W2 HUDSONII BKGDSC 1 9/16,1.5625,FT,720472183871,6.98,10.21,11.21,Frame Moulding,158,4.61,N,N,N
487BDG,W2 487BDG 1 1/4,#VALUE!,FT,720472102681,6.91,10.58,11.58,Frame Moulding,228,4.65,N,N,N
488150,"W2 SPENCER GOLD CUBE   1 1/4 """,1.25,FT,720472184137,5.29,7.27,8.27,Frame Moulding,198,3.6,N,N,N
488151,"W2 SPENCER SIL/BRN CUBE 1 1/4""",1.25,FT,720472184144,5.3,7.28,8.28,Frame Moulding,198,3.61,N,N,N
488152,"W2 SPENCER SIL/BLK CUBE 1 1/4""",1.25,FT,720472184151,5.18,7.1,8.1,Frame Moulding,198,3.52,N,N,N
488153,"W2 SPENCER II SIL CUBE 1 1/4""",1.25,FT,720472198905,6.01,8.18,9.18,Frame Moulding,198,4.08,N,N,N
488154,"W2 SPENCER II GOLD CUBE 1 1/4""",1.25,FT,720472198974,6.01,8.18,9.18,Frame Moulding,198,4.08,N,N,N
489500,"W2 FINN FLAT 1 3/4"" BLACK",1.75,FT,720472193559,6.73,10.43,11.43,Frame Moulding,156,4.73,N,N,N
489510,"W2 FINN FLAT 1 3/4"" NATURAL",1.75,FT,720472193566,6.74,10.43,11.43,Frame Moulding,157,4.73,N,N,N
492150,"W1 SPENCER GLD FLOAT  1 15/16""",1.9375,FT,720472184168,8.12,11.1,12.1,Frame Moulding,108,5.53,N,N,N
492151,WO SPENCER SIL/BRN FLO 1 15/16,1.9375,FT,720472184175,8.12,11.1,12.1,Frame Moulding,108,5.53,N,N,N
492152,W1 SPENCER SIL/BLK FLO 1 15/16,1.9375,FT,720472184182,8.12,11.1,12.1,Frame Moulding,108,5.53,N,N,N
492153,W1 SPENCER II SIL FLO 1 15/16,1.9375,FT,720472198912,8.15,11.09,12.09,Frame Moulding,108,5.53,N,N,N
492154,"WO SPENCER II GLD FLO 1 15/16""",1.9375,FT,720472198981,8.15,11.09,12.09,Frame Moulding,108,5.53,N,N,N
492G,W2 GOLD 1 1/2,1.5,FT,720472102742,8.77,14.2,15.2,Frame Moulding,210,4.22,N,N,N
493200,"W1 SALON SM CAP GOLD 1 3/16""",1.1875,FT,720472191043,5.87,8.02,9.02,Frame Moulding,288,3.13,N,N,N
493225,"W1 SALON SM CAP SILVER 1 3/16""",1.1875,FT,720472191050,5.83,7.97,8.97,Frame Moulding,288,3.11,N,N,N
493615,"W2 EASTLAKE BLACK 1 5/8""",1.625,FT,720472128230,3.9,5.73,6.73,Frame Moulding,270,2.13,N,N,N
494100,"W2 SPOLETO REVERSE SILVER 2""",2,FT,720472191432,13.08,19.94,20.94,Frame Moulding,165,7.15,N,N,N
494110,"W2 SPOLETO REVERSE PEWTER 2""",2,FT,720472191449,13.02,19.79,20.79,Frame Moulding,110,7.11,N,N,N
494130,"W2 SPOLETO REVERSE BRONZE 2""",2,FT,720472191456,13.11,19.97,20.97,Frame Moulding,150,7.18,N,N,N
496200,"W1 SALON SM EMB GOLD 1 5 /16""",1.3125,FT,720472191067,6.28,8.59,9.59,Frame Moulding,198,3.43,N,N,N
496225,"W1 SALON SM EMB SILVER 1 5/16""",1.3125,FT,720472191074,6.36,8.69,9.69,Frame Moulding,198,3.47,N,N,N
497150,"W2 SPENCER GOLD FLAT 1 15/16""",1.9375,FT,720472184229,6.36,8.69,9.69,Frame Moulding,162,4.32,N,N,N
497152,"W2 SPENCER SIL/BLK   1 15/16""",1.9375,FT,720472184243,5.76,8.32,9.32,Frame Moulding,162,3.77,N,N,N
497153,"W2 SPENCER II SIL CAP 1 15/16""",1.9375,FT,720472198929,6.19,8.42,9.42,Frame Moulding,162,4.2,N,N,N
497154,W2 SPENCER II GLD FLAT 1 15/16,1.9375,FT,720472198998,6.19,8.42,9.42,Frame Moulding,144,4.2,N,N,N
500CG,W2 CLASSIC GOLD 2,2,FT,720472102827,8.95,14.22,15.22,Frame Moulding,162,4.3,N,N,N
500CS,W2 CLASSIC SILVER 2,2,FT,720472102834,8.95,14.22,15.22,Frame Moulding,162,4.3,N,N,N
501-100M,"NATURAL MAPLE 5/8""",0.625,FT,720472184601,8.05,10.47,11.47,Frame Moulding,424,5.7,N,N,N
501-555X,"STEAMPUNK STEEL 5/8""",0.625,FT,720472187244,9.56,12.49,13.49,Frame Moulding,480,5.71,N,N,N
502530,W2 TUSCANY IT DRK WAL TRAD REV,1.9375,FT,720472145107,8.07,12.23,13.23,Frame Moulding,157,4.79,N,N,N
508200,"W2 SALON LG CAP GOLD    1 3/4""",1.875,FT,720472191081,8.31,11.38,12.38,Frame Moulding,108,6.16,N,N,N
509706,"W2 OLSEN MAPLE FLAT 2""",1.875,FT,720472199759,7.16,9.98,10.98,Frame Moulding,196,4.57,N,N,N
509708,"W2 OLSEN OAK FLAT 2""",1.875,FT,720472199766,7.16,9.98,10.98,Frame Moulding,174,4.57,N,N,N
50981,"ACRYLIC SHEET, .098 CLEAR",0,EA,720472217804,130.18,0,0,Glazing & Foam,0,0,N,N,N
510BL,W1 RF/BLACK 7/8,0.8125,FT,720472119481,5.84,9.32,10.32,Frame Moulding,216,3.46,N,N,N
511124,"W0 RAVELLO CRSGRN MP FL 2 1/4""",2.25,FT,720472197120,6.96,11.14,12.14,Frame Moulding,78,5.64,N,N,N
511125,"W0 RAVELLO ELM BURL FLO 2 1/4""",2.25,FT,720472197922,6.96,11.14,12.14,Frame Moulding,78,5.64,N,N,N
511126,W0 RAVELLO DANIELA WL FL 2 1/4,2.25,FT,720472197939,6.96,11.14,12.14,Frame Moulding,78,5.64,N,N,N
511127,"W0 RAVELLO POPLAR BURL 2 1/4""",2.25,FT,720472197946,6.96,11.14,12.14,Frame Moulding,78,5.64,N,N,N
511128,"W0 RAVELLO BIRDSEYE MP 2 1/4""",2.25,FT,720472198011,6.96,11.14,12.14,Frame Moulding,78,5.64,N,N,N
51181,ACRYLIC SHEET .118 CLEAR,0,EA,720472218566,152.33,0,0,Glazing & Foam,0,0,N,N,N
51183,SHEET NON-GLARE,0,EA,720472217811,226.55,0,0,Glazing & Foam,0,0,N,N,N
51185, SHEET UV FILTERING,0,EA,720472217828,258.03,0,0,Glazing & Foam,0,0,N,N,N
51187, NON-GLARE UV FILTERIN,0,EA,NULL,311.22,0,0,Glazing & Foam,32,0,N,N,N
51188, PREMIUM CLEAR 2MIL,0,EA,NULL,116.71,0,0,Glazing & Foam,0,0,N,N,N
51194,OPTIUM MUSEUM ACRYLIC AR 40x60,0,EA,NULL,593.62,0,0,Glazing & Foam,0,0,N,N,N
51196,OPTIUM ACRYLIC AR 48x96,0,EA,NULL,1020.67,0,0,Glazing & Foam,0,0,N,N,N
51198,OPTIUM MUSEUM ACRYLIC AR 48x96,0,EA,NULL,1076.05,0,0,Glazing & Foam,0,0,N,N,N
51200CB,"OPTIUM UV acr72x120""cardboard",0,EA,NULL,5549.55,0,0,Glazing & Foam,0,0,N,N,N
51245CB,"OPTIUM UV ACR 72x96""cardboard",0,EA,NULL,3102.34,0,0,Glazing & Foam,0,0,N,N,N
512500,"W0 FINN FLOAT 1 3/4"" BLACK",1.75,FT,720472193597,9.54,13.52,14.52,Frame Moulding,117,6.72,N,N,N
512510,"W0 FINN FLOAT 1 3/4"" NATURAL",1.75,FT,720472193603,9.55,13.5,14.5,Frame Moulding,105,6.69,N,N,N
512520,"W0 FINN FLOAT 1 3/4"" ESPRESSO",1.75,FT,720472193610,9.5,13.44,14.44,Frame Moulding,117,6.67,N,N,N
51300,"TRULIFE FACEMOUNT 48X96""",0,EA,NULL,615.84,0,0,Glazing & Foam,0,0,N,N,N
513200,"W2 SALON SM PANEL GOLD  2 """,2,FT,720472191104,7.56,10.36,11.36,Frame Moulding,216,5.11,N,N,N
513225,"W2 SALON SMALL PANEL SILVER 2""",2,FT,720472191111,8.02,10.97,11.97,Frame Moulding,216,5.42,N,N,N
516250,W0 ANDOVER SM FLOAT BLK 1 9/16,1.5625,FT,720472191265,10.38,13.49,14.49,Frame Moulding,175,6.45,N,N,N
516270,W0 ANDOVER SM FLOAT SIL 1 9/16,1.5625,FT,720472191272,10.45,13.49,14.49,Frame Moulding,175,6.56,N,N,N
516280,W0 ANDOVER SM FLOAT GLD 1 9/16,1.5625,FT,720472191289,10.48,13.49,14.49,Frame Moulding,175,6.52,N,N,N
516290,W0 ANDOVER SM FLOAT SUD 1 9/16,1.5625,FT,720472191296,10.49,13.49,14.49,Frame Moulding,175,6.53,N,N,N
517250,"W0 ANDOVER LG FLOAT BLK 2 1/4""",2.25,FT,720472191302,13.74,16.86,17.86,Frame Moulding,94,10.79,N,N,N
517270,"W0 ANDOVER LG FLOAT SIL 2 1/4""",2.25,FT,720472191319,13.77,16.86,17.86,Frame Moulding,87,10.73,N,N,N
517280,"W0 ANDOVER LG FLOAT GLD 2 1/4""",2.25,FT,720472191326,13.77,16.86,17.86,Frame Moulding,90,10.8,N,N,N
519-500P,"MULTI-FLOAT SATIN BLK STEP 2""",1,FT,720472187893,10,13.36,14.36,Frame Moulding,112,6.36,N,N,N
520750,"W2 SOFIA BRZ ORNATE REV 2 1/2""",2.5,FT,720472154918,18.75,25.82,26.82,Frame Moulding,68,12.73,N,N,N
520751,"W2 SOFIA GLD ORNATE REV 2 1/2""",2.5,FT,720472154864,18.89,26.02,27.02,Frame Moulding,61,12.56,N,N,N
520752,"W2 SOFIA IRN ORNATE REV 2 1/2""",2.5,FT,720472154819,18.84,24.58,25.58,Frame Moulding,68,12.14,N,N,N
521720,"W2 VERMONT BRICK RED 2 1/4""",2.25,FT,720472154314,11.41,18.16,19.16,Frame Moulding,103,6.4,N,N,N
521726,"W2 VERMONT OAT 2 1/4""",2.25,FT,720472154376,11.4,18.13,19.13,Frame Moulding,114,6.37,N,N,N
524940,"W2 GALLERY 1 BLK FLOAT 2 3/4""",2.75,FT,720472159821,9.6,13.45,14.45,Frame Moulding,72,6.34,N,N,N
524941,"W2 GALLERY 1 WHT FLOAT 2 3/4""",2.75,FT,720472159838,9.71,13.6,14.6,Frame Moulding,72,6.41,N,N,N
525552,"W2 FERROSA PEWTER 1 5/8""",1.5625,FT,720472146647,13.58,19.89,20.89,Frame Moulding,157,9.03,N,N,N
525554,"W2 FERROSA IRON 1 5/8""",1.5625,FT,720472146654,11.71,18.76,19.76,Frame Moulding,149,7.78,N,N,N
525556,"W2 FERROSA BRONZE 1 5/8""",1.5625,FT,720472146661,13.46,19.71,20.71,Frame Moulding,148,8.95,N,N,N
530650,"W2 TATE BLACK FLAT 2 1/4""",2.25,FT,720472181235,5.9,8.43,9.43,Frame Moulding,162,3.61,N,N,N
530660,"W2 TATE SILVER FLAT 2 1/4""",2.25,FT,720472181242,6.74,9.14,10.14,Frame Moulding,162,4.28,N,N,N
530670,"W2 TATE GOLD FLAT 2 1/4""",2.25,FT,720472182454,7.27,11.37,12.37,Frame Moulding,162,5,N,N,N
531610,W0 AXEL SMOKED TIMBER FLOAT,2.5625,FT,720472181365,22.66,32,33,Frame Moulding,49,15.53,N,N,N
532530,W2 TUSCANY IT DRK FLAT PANEL,2.75,FT,720472145121,9.95,15.87,16.87,Frame Moulding,87,6.3,N,N,N
533276,"W2 MILO MAPLE FLAT 1 1/4""",1.25,FT,720472199483,5.16,6.74,7.74,Frame Moulding,294,3.77,N,N,N
533277,"W2 MILO WALNUT FLAT 1 1/4""",1.25,FT,720472199520,5.16,6.74,7.74,Frame Moulding,294,3.77,N,N,N
533278,W2 MILO CERUSED OAK FLAT 1 1/4,1.25,FT,720472199568,4.86,6.35,7.35,Frame Moulding,295,3.55,N,N,N
533516,"W2 ANSLEY CHERRY 1 1/4""",1.25,FT,720472144520,4.96,7.57,8.57,Frame Moulding,144,3.11,N,N,N
533517,"W2 ANSLEY COFFEE 1 1/4""",1.25,FT,720472144537,5.11,7.8,8.8,Frame Moulding,144,3.19,N,N,N
533519,"W2 ANSLEY MAHOGANY 1 1/4""",1.25,FT,720472144551,4.91,7.52,8.52,Frame Moulding,144,3.07,N,N,N
533526,"W2 ANSLEY BLACK 1 1/4""",1.25,FT,720472180061,4.69,7.16,8.16,Frame Moulding,144,2.19,N,N,N
538120,"W2 DRESDEN BLK/SLVR 2 15/16""",2.9375,FT,720472163446,22.38,28.25,29.25,Frame Moulding,39,15.65,N,N,N
540950,W2 CEZANNE SLV CASSETA 2 15/16,2.9375,FT,720472160124,36.58,39.9,40.9,Frame Moulding,105,24.98,N,N,N
542285,"W1 TRIBECA TRAD W/SQ TRI 2""",2,FT,720472139793,4.67,8.21,9.21,Frame Moulding,162,3.17,N,N,N
543960,"W2 FLAX OYSTER LINER 2 1/2""",2.5,FT,720472160001,6.21,12.67,13.67,Frame Moulding,198,4.13,N,N,N
543964,"W2 FLAX PEBBLE LINER 2 1/2""",2.5,FT,720472160025,4.78,10.68,11.68,Frame Moulding,182,3.18,N,N,N
546100,"W1 PANZANO SM FLAT PEAT 1 1/4""",1.25,FT,720472191524,10.68,14.07,15.07,Frame Moulding,274,6.24,N,N,N
546200,"W1 PANZANO SM BEECHNUT  1 1/4""",1.25,FT,720472191531,9.8,12.64,13.64,Frame Moulding,274,5.45,N,N,N
549670,"W2 TATE GOLD SLANT 3""",3,FT,720472182478,9.1,14,15,Frame Moulding,108,5.85,N,N,N
550285,"W2 TRIBECA WIDE FLAT 2 1/4""",2.25,FT,720472139809,3.9,6.68,7.68,Frame Moulding,219,2.48,N,N,N
