ITEM,DESC,WIDTH,UM,UPC,LISTPRICE,CHOPPRICE,JOINPRICE,CLASS,BOXQTY,BOXPRICE,ISFILLET,ISCUTMAT,ISMATBOARD
N1101,"SILVER 9/32""",0.28125,FT,720472108652,4.6,6.9,0,Frame Moulding,400,4.6,N,N,N
N1102,"FROSTED SILVER 9/32""",0.28125,FT,720472108669,5.29,6.85,0,Frame Moulding,400,5.29,N,N,N
N1103,"GOLD 9/32""",0.28125,FT,720472108676,5.29,6.85,0,Frame Moulding,400,5.29,N,N,N
N1104,"FROSTED GOLD 9/32""",0.28125,FT,720472108683,5.28,6.85,0,Frame Moulding,400,5.28,N,N,N
N1108,"FROSTED BRONZE 9/32""",0.28125,FT,720472108720,6.12,7.83,0,Frame Moulding,400,6.12,N,N,N
N1110,GRAPHITE,0.28125,FT,720472117746,6.08,7.77,0,Frame Moulding,400,6.08,N,N,N
N1112,"FROSTED PEWTER 9/32""",0.28125,FT,720472108751,6.08,7.77,0,Frame Moulding,400,6.08,N,N,N
N1113,"CONTRAST GRAY 9/32""",0.28125,FT,720472108768,6.08,7.77,0,Frame Moulding,400,6.08,N,N,N
N1114,"GERMAN SILVER 9/32""",0.28125,FT,720472108775,6.08,7.77,0,Frame Moulding,400,6.08,N,N,N
N11154,FLORENTINE GRAY,0.28125,FT,720472119054,6.35,8.06,0,Frame Moulding,400,6.35,N,N,N
N11156,"FLORENTINE BLACK 9/32""",0.28125,FT,720472119078,6.17,7.89,0,Frame Moulding,400,6.17,N,N,N
N1120,"ANODIC BLACK 9/32""",0.28125,FT,720472108829,6.49,8.29,0,Frame Moulding,400,6.49,N,N,N
N1121,"MATTE BLACK 9/32""",0.28125,FT,720472108836,6.19,7.9,0,Frame Moulding,400,6.19,N,N,N
N1123,"ANTIQUE GOLD 9/32""",0.28125,FT,720472108850,5.63,7.29,0,Frame Moulding,400,5.63,N,N,N
N1150,"BLACK 9/32""",0.28125,FT,720472108935,4.34,7.04,0,Frame Moulding,200,4.34,N,N,N
N11701,"SILVER 7/16""",0.4375,FT,87828353983,5.99,8.94,0,Frame Moulding,120,5.99,N,N,N
N11702,"FROSTED SILVER 7/16""",0.4375,FT,87828703979,5.23,7.81,0,Frame Moulding,120,5.23,N,N,N
N11704,"FROSTED GOLD 7/16""",0.4375,FT,87828383515,5.99,8.94,0,Frame Moulding,120,5.99,N,N,N
N11710,"GRAPHITE 7/16""",0.4375,FT,87828903867,7.93,10.09,0,Frame Moulding,120,7.93,N,N,N
N11712,"FROSTED PEWTER 7/16""",0.4375,FT,87828203578,7.93,10.09,0,Frame Moulding,120,7.93,N,N,N
N11714,"GERMAN SILVER 7/16""",0.4375,FT,87828203585,5.69,8.5,0,Frame Moulding,120,5.69,N,N,N
N117164,"DUSK 7/16""",0.4375,FT,87828813586,7.93,10.16,0,Frame Moulding,120,7.93,N,N,N
N11719,"FROSTED WALNUT 7/16""",0.4375,FT,87828823455,6.78,8.69,0,Frame Moulding,120,6.78,N,N,N
