item,Description,Width,cost,chop,group,
36722,35x21x30 Chagall Blue,21,$24.31,$39.35,Wood,
36723,35x21x30 Chagall Tan,21,$24.31,$39.35,Wood,
36724,35x21x30 Chagall Light Grey,21,$24.31,$39.35,Wood,
36726,35x21x30 Chagall Red,21,$24.31,$39.35,Wood,
36727,35x21x30 Chagall Green,21,$24.31,$39.35,Wood,
36728,35x21x30 Chagall Blue Grey,21,$24.31,$39.35,Wood,
36729,35x21x30 Chagall White,21,$24.31,$39.35,Wood,
44271,20x65x12 442-71 Ivory,65,$5.64,,Wood,
44272,20x65x12  442-72 Luta Moulding,65,$5.40,,Wood,
67003,32x50x12 670-03 Gold Antique Imprezzio,50,$26.06,$42.17,Wood,
80914,38x19x28 Microtech Veneer Nordic Oak,19,$14.64,$24.38,Wood,
80915,38x19x28 Microtech Veneer Light Grey,19,$15.06,$24.38,Wood,
80916,38x19x28 Microtech Veneer Charcoal,19,$14.64,$24.38,Wood,
80917,38x19x28 Microtech Veneer Light Walnut,19,$15.06,$24.38,Wood,
80918,38x19x28 Microtech Veneer Mocha,19,$15.06,$24.38,Wood,
80919,21x31x16 Microtech Veneer Nordic Oak,31,$15.80,$26.32,Wood,
80920,21x31x16 Microtech Veneer Light Grey,31,$16.25,$26.32,Wood,
80921,21x31x16 Microtech Veneer Charcoal,31,$16.25,$26.32,Wood,
80922,21x31x16 Microtech Veneer Light Walnut,31,$16.25,$26.32,Wood,
80923,21x31x16 Microtech Veneer Mocha,31,$16.25,$26.32,Wood,
80924,38x28x28 Microtech Veneer Nordic Oak,28,$17.64,$29.37,Wood,
80925,38x28x28 Microtech Veneer Light Grey,28,$18.14,$29.37,Wood,
80926,38x28x28 Microtech Veneer Charcoal,28,$18.14,$29.37,Wood,
80927,38x28x28 Microtech Veneer Light Walnut,28,$18.14,$29.37,Wood,
80928,38x28x28 Microtech Veneer Mocha,28,$18.14,$29.37,Wood,
165001,31x16x27 1650-01 Black Open Grain,16,$6.77,$10.95,Wood,
200285,17x17x11 Matt Black Tribeca,17,$9.70,$16.49,Wood,
212285,22x22x16 Matt Black Tribeca,22,$9.70,$16.49,Wood,
230285,18x22x12 Matt Black Tribeca,18,$11.17,$18.98,Wood,
230286,18x22x12 Matt White Tribeca,18,$11.17,$18.98,Wood,
350285,22x37x16 Matt Black Tribeca,22,$15.19,$25.81,Wood,
350286,22x37x16 Matt White Tribeca,22,$15.19,$25.82,Wood,
370285,21x40x15 Matt Black Tribeca,21,$16.66,$28.31,Wood,
390285,23x41x17 Matt Black Tribeca,23,$17.93,$30.48,Wood,
390286,23x41x17 Matt White Tribeca,23,$17.93,$30.48,Wood,
542285,29x52x13 Matt Black Tribeca,29,$22.59,$38.40,Wood,
552285,29x63x14 Matt Black Tribeca,29,$26.86,$45.66,Wood,
555722,15x15x10 Chagall Blue,15,$10.99,$17.78,Wood,
555723,15x15x10 Chagall Tan,15,$10.99,$17.78,Wood,
555724,15x15x10 Chagall Light Grey,15,$10.99,$17.78,Wood,
555726,15x15x10 Chagall Red,15,$10.99,$17.78,Wood,
555727,15x15x10 Chagall Green,15,$10.99,$17.78,Wood,
555728,15x15x10 Chagall Blue Grey,15,$10.99,$17.78,Wood,
555729,15x15x10 Chagall White,15,$10.99,$17.78,Wood,
600648,30x40x17 6006-48 Matrix Black Gloss,40,$42.19,$75.10,Wood,
600649,30x40x17 6006-49 Matrix White Gloss,40,$46.40,$75.10,Wood,
956205,25x35x14 956-205 Silver,35,$5.00,$9.00,Wood,
2021202,20x25x10 2021-202 Silver Verde Fresco,25,$24.03,$40.26,Wood,
2021205,20x25x10 2021-205 Silver Fresco,25,$24.03,$40.26,Wood,
3089086,H41xW89xR20 Wash White Valencia,89,$78.25,$133.00,Wood,
3089602,H41xW89xR20 Champagne Valencia,89,$78.25,$133.00,Wood,
3089650,H41xW89xR20 Silver Valencia,89,$78.25,$133.00,Wood,
3089702,H41xW89xR20 Antique Gold Valencia,89,$78.25,$133.00,Wood,
5474605,H31xW43xR7 Silver Alhambra,43,$29.45,$50.07,Wood,
5474607,H31xW43xR7 Champagne Alhambra,43,$29.45,$50.07,Wood,
5474705,H31xW43xR7 Gold Alhambra,43,$29.45,$50.07,Wood,
5474874,H31xW43xR7 Black Alhambra,43,$29.45,$50.07,Wood,
5474884,H31xW43xR7 Ivory Alhambra,43,$29.45,$50.07,Wood,
5478605,H56xW85xR16 Silver Alhambra,86,$73.75,$125.36,Wood,
5478607,H56xW85xR16 Champagne Alhambra,86,$73.75,$125.36,Wood,
5478705,H56xW85xR16 Gold Alhambra,86,$73.75,$125.36,Wood,
5478874,H56xW85xR16 Black Alhambra,86,$73.75,$125.36,Wood,
5478884,H56xW85xR16 Ivory Alhambra,86,$73.75,$125.36,Wood,
5899380,H43xW99xR20 Marbella Ivory,99,$72.22,$122.76,Wood,
5899570,H43xW99xR20 Marbella Black,99,$72.22,$122.76,Wood,
5899602,H43xW99xR20 Marbella Champagne,99,$72.22,$122.76,Wood,
5899650,H43xW99xR20 Marbella Silver,99,$72.22,$122.76,Wood,
5899702,H43xW99xR20 Marbella Gold,99,$72.22,$122.76,Wood,
10623501,15x23x10 106-23-501 Black,23,$6.44,$10.01,Wood,
11830301,20x30x15 118-30-301 Black Open Grain,30,$11.41,$18.46,Wood,
11840301,20x40x15 118-40-301 Black Open Grain,40,$12.97,$21.73,Wood,
65040003,650-40-003 White Moulding,23,$5.40,$9.92,Wood,
90108370,21x102x15 Daintree Bunya Veneer,100,$4.00,$22.52,Wood,
90108403,21x102x15 Daintree Blond Veneer,100,$4.00,$22.52,Wood,
90108453,21x102x15 Daintree Graphite Veneer,100,$4.32,$22.52,Wood,
217170471,17x17x12 Black Andover,17,$9.37,$15.92,Wood,
217170476,17x17x12 Aged Bronze Andover,17,$9.37,$15.92,Wood,
217170653,17x17x12 Silver Andover,17,$9.37,$15.92,Wood,
217170673,17x17x12 Champagne Andover,17,$9.37,$15.92,Wood,
217170753,17x17x12 Gold Andover,17,$9.37,$15.92,Wood,
217170759,17x17x12 Aged Gold Andover,17,$9.37,$15.92,Wood,
217170773,17x17x12 Bronze Andover,17,$9.37,$15.92,Wood,
232170471,22x23x18 Black Andover,22,$11.54,$19.61,Wood,
232170476,22x23x18 Aged Bronze Andover,22,$11.54,$19.61,Wood,
232170653,22x23x18 Silver Andover,22,$11.54,$19.61,Wood,
232170673,22x23x18 Champagne Andover,22,$11.54,$19.61,Wood,
232170753,22x23x18 Gold Andover,22,$11.54,$19.61,Wood,
232170759,22x23x18 Aged Gold Andover,22,$11.54,$19.61,Wood,
232170773,22x23x18 Bronze Andover,22,$11.54,$19.61,Wood,
233170471,30x30x24 Black Andover,30,$17.12,$29.11,Wood,
233170476,30x30x24 Aged Bronze Andover,30,$17.12,$29.11,Wood,
233170653,30x30x24 Silver Andover,30,$17.12,$29.11,Wood,
233170673,30x30x24 Champagne Andover,30,$17.12,$29.11,Wood,
233170753,30x30x24 Gold Andover,30,$17.12,$29.11,Wood,
233170759,30x30x24 Aged Gold Andover,30,$17.12,$29.11,Wood,
233170773,30x30x24 Bronze Andover,30,$17.12,$29.11,Wood,
1064CEM,30x15x10 Urban Cement,15,$4.14,$19.81,Wood,
1064CON,30x15x10 Urban Concrete,15,$4.47,$19.81,Wood,
1066CEM,38x20x33 Urban Cement,20,$5.30,$24.89,Wood,
1067CEM,48x25x41 Urban Cement,25,$7.21,$33.96,Wood,
1067CON,48x25x41 Urban Concrete,25,$7.79,$33.96,Wood,
1068CEM,55x45 Urban Cement Float,45,$10.32,$48.38,Wood,
1068CON,55x45 Urban Concrete Float,45,$11.85,$48.38,Wood,
1076CHAR,31x25x11 1076 Charcoal,25,$14.73,$23.84,Wood,
1076WH,31x25x11 1076 White,25,$14.73,$23.84,Wood,
1082QDQ,20x20x14 1082 QDQ Oak Stockholm,20,$12.82,$21.35,Wood,
1082QPV,20x20x14 1082 QPV Beech Stockholm,20,$13.19,$21.35,Wood,
1084BLM,19x15x15 1084 Black Matt,15,$9.45,$15.75,Wood,
1084DW,19x15x15 1084 Dark Walnut,15,$10.27,$16.63,Wood,
1084G,19x15x15 1084 Gold Foil,15,$10.27,$16.63,Wood,
1084S,19x15x15 1084 Silver Foil,15,$10.27,$16.63,Wood,
1084WH,19x15x15 1084 Matt White,15,$9.99,$16.63,Wood,
11019DLAG,38x20x33 110-19-DLAG Silver,20,$13.56,$22.71,Wood,
1109BLM,27x20x11 1109 Black Matt,20,$13.65,$22.71,Wood,
1109SWH,27x20x11 1109 Solid White,20,$13.65,$22.71,Wood,
1121CHB,32x37x16 Wedgewood Antique Champagne,37,$16.72,$27.08,Wood,
1121G,32x37x16 Wedgewood Antique Gold,37,$16.72,$27.08,Wood,
1121SB,32x37x16 Wedgewood Silver/Black,37,$16.72,$27.08,Wood,
1121WS,32x37x16 Wedgewood White/Silver,37,$16.72,$27.08,Wood,
117G,26x31x9 117 Gold Leaf,31,$17.65,$28.58,Wood,
117S,26x31x9 117 Silver Leaf,31,$17.65,$28.58,Wood,
11830DLAG,20x30x15 118-30-DLAG Silver,30,$12.20,$19.75,Wood,
11840DLAG,20x40x15 118-40-DLAG Silver,40,$14.73,$23.84,Wood,
1192MBK,40x20x34 1192 MBK Matt Black MicroGesso,20,$11.21,$25.81,Wood,
1192MWH,40x20x34 1192 MWH Matt White MicroGesso,20,$11.21,$25.81,Wood,
1192QDQ,40x20x34 1192 QDQ Oak Stockholm,20,$17.82,$29.67,Wood,
1192QPV,40x20x34 1192 QPV Beech Stockholm,20,$18.33,$29.67,Wood,
1192W,40x20x34 1192 W White,20,$16.53,$26.77,Wood,
120BLK,16x15x8 120 Black/Gold Edge,15,$10.27,$16.63,Wood,
120BS,16x15x8 120 Black/Silver Edge,15,$10.27,$16.63,Wood,
1260WAL,25x30x16 Pezzato Walnut,30,$6.18,$29.65,Wood,
1261CHES,30x40x22 Pezzato Chestnut,40,$8.18,$39.44,Wood,
1261CO,30x40x22 Pezzato Chestnut/Oak,40,$8.82,$39.44,Wood,
1261OAK,30x40x22 Pezzato Oak,40,$9.34,$39.44,Wood,
1261OM,30x40x22 Pezzato Oak/Maple,40,$8.18,$39.44,Wood,
1261WAL,30x40x22 Pezzato Walnut,40,$8.18,$39.44,Wood,
1261WC,30x40x22 Pezzato Walnut/Chestnut,40,$8.18,$39.44,Wood,
126MTG,18x20x11 126 Mahogany/Gold Edge,20,$12.66,$20.49,Wood,
126YTG,18x20x11 126 Teak/Gold Edge,20,$12.66,$20.49,Wood,
127G,22x52x6 127 Gold Leaf,52,$19.98,$32.34,Wood,
127S,22x52x6 127 Silver Leaf,52,$19.98,$32.34,Wood,
128G,32x72x12 128 Gold Leaf,72,$30.15,$48.81,Wood,
1291QDQ,48x14x43 1291 QDQ Oak Stockholm,14,$19.96,$32.31,Wood,
1291QPV,48x14x43 1291 QPV Beech Stockholm,14,$19.29,$32.31,Wood,
1314BLM,20x40x15 Boden Black Matt,40,$12.33,$19.94,Wood,
1314BW,20x40x15 Boden Blackwood,40,$12.33,$19.94,Wood,
1314CN,20x40x15 Boden Cinnamon,40,$12.33,$19.94,Wood,
1314HN,20x40x15 Boden Hazelnut,40,$12.33,$19.94,Wood,
1314PECAN,20x40x15 Boden Pecan,40,$12.33,$19.94,Wood,
1314WH,20x40x15 Boden Matt White,40,$12.33,$19.94,Wood,
1316BLM,45x25x19 Boden Black Matt,25,$16.76,$27.13,Wood,
1316BW,45x25x19 Boden Blackwood,25,$16.76,$27.13,Wood,
1316CN,45x25x19 Boden Cinnamon,25,$16.76,$27.13,Wood,
1316HN,45x25x19 Boden Hazelnut,25,$16.76,$27.13,Wood,
1316PECAN,45x25x19 Boden Pecan,25,$16.76,$27.13,Wood,
1316WH,45x25x19 Boden Matt White,25,$16.76,$27.13,Wood,
1318BLM,60x25x15 Boden Black Matt,25,$20.11,$32.55,Wood,
1318BW,60x25x15 Boden Blackwood,25,$20.11,$32.55,Wood,
1318CN,60x25x15 Boden Cinnamon,25,$20.11,$32.55,Wood,
1318HN,60x25x15 Boden Hazelnut,25,$20.11,$32.55,Wood,
1318PECAN,60x25x15 Boden Pecan,25,$20.11,$32.55,Wood,
1318WH,60x25x15 Boden Matt White,25,$20.11,$32.55,Wood,
1333BG,24x30x12  Skyline Black / Gold edge,30,$15.33,$25.66,Wood,
1333BS,24x30x12  Skyline Black / silver edge,30,$15.33,$25.66,Wood,
1333WG,24x30x12  Skyline White / Gold edge,30,$15.33,$25.66,Wood,
1333WS,24x30x12  Skyline White / silver edge,30,$15.33,$25.66,Wood,
1333WZ,24x30x12  Skyline White / Copper edge,30,$4.48,$21.15,Wood,
1334WG,34x45x15  Skyline White / Gold edge,0,$6.75,$34.58,Wood,
1334WZ,34x45x15  Skyline White / Copper edge,45,$6.86,$34.58,Wood,
133WH,33x40x26 133 Matt White,40,$18.06,$29.24,Wood,
1523BLK,20x65x10 Black,65,$21.54,$34.85,Wood,
1523MAH,20x65x10 Mahogany,65,$21.54,$34.85,Wood,
1523MC,20x65x10 Mocha,65,$21.54,$34.85,Wood,
1523WN,20x65x10 Walnut,65,$21.54,$34.85,Wood,
1523WW,20x65x10 White Wash,65,$21.54,$34.85,Wood,
1889BKF,16x20x9 1889 BKF Black Bardon,20,$12.90,$20.88,Wood,
1889MAF,16x20x9 1889 MAF Walnut Bardon,20,$12.90,$20.88,Wood,
1901BEECH,20x20x14 Natural Beech,20,$9.67,$16.11,Wood,
1901BLK,20x20x14 Black Ash,20,$11.25,$18.74,Wood,
1901GRY,20x20x14 Grey Ash,20,$11.57,$18.74,Wood,
1901NAT,20x20x14 Natural White Ash,20,$10.06,$16.76,Wood,
1901TP,20x20x14 Taupe Ash,20,$11.57,$18.74,Wood,
1901WN,20x20x14 Walnut Ash,20,$11.25,$18.74,Wood,
1901WW,20x20x14 White Wash Ash,20,$11.57,$18.74,Wood,
1902BEECH,30x15x23 Natural Beech,30,$9.86,$15.96,Wood,
1902BLK,15x30x23 Black Ash,15,$11.76,$19.57,Wood,
1902GRY,15x30x23 Grey Ash,15,$12.09,$19.57,Wood,
1902NAT,15x30x23 Natural White Ash,15,$10.56,$17.59,Wood,
1902TP,15x30x23 Taupe Ash,15,$12.09,$19.57,Wood,
1902WN,15x30x23 Walnut Ash,15,$12.09,$19.57,Wood,
1902WW,15x30x23 White Wash Ash,15,$12.09,$19.57,Wood,
1903BLK,20x30x14 Black Ash,30,$13.92,$23.18,Wood,
1903GRY,20x30x14 Grey Ash,30,$14.32,$23.18,Wood,
1903NAT,20x30x14 Natural White Ash,30,$12.74,$21.21,Wood,
1903TP,20x30x14 Taupe Ash,30,$14.32,$23.18,Wood,
1903WN,20x30x14 Walnut Ash,30,$14.32,$23.18,Wood,
1903WW,20x30x14 White Wash Ash,30,$14.32,$23.18,Wood,
1904BLK,20x38x15 Black Ash,20,$17.67,$28.62,Wood,
1904GRY,20x38x15 Grey Ash,20,$17.67,$28.62,Wood,
1904NAT,20x38x15 Natural White Ash,20,$16.45,$26.64,Wood,
1904TP,20x38x15 Taupe Ash,20,$17.67,$28.62,Wood,
1904WN,20x38x15 Walnut Ash,20,$17.67,$28.62,Wood,
1904WW,20x38x15 White Wash Ash,20,$17.67,$28.62,Wood,
1905NAT,40x22x17 Natural White Ash,40,$17.97,$29.09,Wood,
1906NAT,45x30x38 Natural White Ash,30,$22.38,$36.23,Wood,
1907BLK,55x35 Black Ash Float,35,$21.95,$36.56,Wood,
1907GRY,55x35 Grey Ash Float,35,$22.58,$36.56,Wood,
1907NAT,55x35 Natural White Ash Float,35,$21.95,$36.56,Wood,
1907TP,55x35 Taupe Ash Float,35,$22.58,$36.56,Wood,
1907WN,55x35 Walnut Ash Float,35,$21.95,$36.56,Wood,
1907WW,55x35 White Wash Ash Float,35,$21.95,$36.56,Wood,
1908BEECH,55x35 Natural Beech Float,35,$24.39,$39.49,Wood,
1908CEDAR,55x35 Natural Cedar Float,35,$23.57,$39.49,Wood,
1909ASH,40x20x30 Natural White Ash,40,$19.90,$32.21,Wood,
1909BEECH,40x20x30 Natural Beech,40,$19.90,$32.21,Wood,
1910ASH,30x35x23 Natural White Ash,30,$20.42,$33.06,Wood,
1910BEECH,30x35x23 Natural Beech,30,$20.42,$33.06,Wood,
1911ASH,20x20x15 Natural White Ash,20,$9.95,$16.11,Wood,
1911BEECH,20x20x15 Natural Beech,20,$9.95,$16.11,Wood,
1914ASH,40x20x34 Natural White Ash,40,$19.90,$32.21,Wood,
1914BEECH,40x20x34 Natural Beech,40,$19.90,$32.21,Wood,
200BLK,15x15x9 200 Gloss Black,15,$10.27,$16.63,Wood,
200BLM,15x15x9 200 Black Matt,15,$10.27,$16.63,Wood,
2020BLM,20x20x15 2020 Black Matt,20,$7.06,$11.76,Wood,
2020BS,20x20x15 2020 Brushed Silver Foil,20,$7.57,$12.25,Wood,
2020CD,20x20x15 2020 Dark Chocolate Stain,20,$9.40,$13.39,Wood,
2020CL,20x20x15 2020 Clear Lacquer,20,$9.40,$13.39,Wood,
2020GL,20x20x15 2020 Gold Foil,20,$7.57,$12.25,Wood,
2020GRG,20x20x15 2020 Grey Stain,20,$9.40,$13.39,Wood,
2020MAH,20x20x15 2020 Mahogany Stain,20,$9.40,$13.39,Wood,
2020MC,20x20x15 2020 Moccha Foil,20,$7.57,$12.25,Wood,
2020MF,20x20x15 2020 Mahogany Foil,20,$7.57,$12.25,Wood,
2020SYN,20x20x15 2020 Silver Foil,20,$7.57,$12.25,Wood,
2020TK,20x20x15 2020 Teak Stain,20,$9.40,$13.39,Wood,
2020WH,20x20x15 2020 White Matt,20,$7.06,$11.76,Wood,
2020WN,20x20x15 2020 Walnut Stain,20,$8.67,$13.39,Wood,
2030BG,20x31x15 2030 Brushed Gold Foil,30,$9.59,$15.52,Wood,
2030BLM,20x30x15 2030 Black Matt,30,$9.32,$15.52,Wood,
2030BS,20x31x15 2030 Brushed Silver Foil,30,$9.59,$15.52,Wood,
2030CD,20x30x15 2030 Dark Chocolate Stain,30,$11.96,$16.78,Wood,
2030CL,20x30x15 2030 Clear Lacquer,30,$10.86,$16.78,Wood,
2030GL,20x30x15 2030 Gold Foil,30,$9.59,$15.52,Wood,
2030MAH,20x30x15 2030 Mahogany Stain,30,$10.86,$16.78,Wood,
2030MC,20x31x15 2030 Moccha Foil,30,$9.59,$15.52,Wood,
2030MF,20x31x15 2030 Mahogany Foil,30,$9.59,$15.52,Wood,
2030SYN,20x30x15 2030 Silver Foil,30,$9.59,$15.52,Wood,
