Mldg #,Width,Rabbet Height,Lip Size,Length,Chop,Join,Group,Description,UPC
354A3,2,0.562,0.25,11.26,15.99,22.39,Wood,Dark Grey #354 Ash,
FC-354A3,2,0.562,0.25,,,31.96,Wood,FC Dark Grey #354 Ash,
354CR,2,0.562,0.25,6.66,9.72,15.55,Wood,Raw #354 Cherry,
FC-354CR,2,0.562,0.25,,,31.03,Wood,FC Raw #354 Cherry,
354CF,2,0.562,0.25,10.19,14.88,20.83,Wood,Oil & Wax #354 Cherry,
FC-354CF,2,0.562,0.25,,,31.72,Wood,FC Oil & Wax #354 Cherry,
354CL,2,0.562,0.25,12.09,17.65,24.71,Wood,Clear Lacquer #354 Cherry,
FC-354CL,2,0.562,0.25,,,33.1,Wood,FC Clear Lacquer #354 Cherry,
354CG,2,0.562,0.25,12.09,17.65,24.71,Wood,Aged #354 Cherry,
FC-354CG,2,0.562,0.25,,,33.1,Wood,FC Aged #354 Cherry,
354CQ,2,0.562,0.25,12.09,17.65,24.71,Wood,Antique #354 Cherry,
FC-354CQ,2,0.562,0.25,,,33.1,Wood,FC Antique #354 Cherry,
354CD,2,0.562,0.25,12.09,17.65,24.71,Wood,Black Cherry #354 Cherry,
FC-354CD,2,0.562,0.25,,,33.78,Wood,FC Black Cherry #354 Cherry,
354MR,2,0.562,0.25,6.56,9.05,14.48,Wood,Raw #354 Maple,
FC-354MR,2,0.562,0.25,,,30.36,Wood,FC Raw #354 Maple,
354MF,2,0.562,0.25,9.82,13.55,18.97,Wood,Oil & Wax #354 Maple,
FC-354MF,2,0.562,0.25,,,31.05,Wood,FC Oil & Wax #354 Maple,
354ML,2,0.562,0.25,10.09,13.92,19.49,Wood,Clear Lacquer #354 Maple,
FC-354ML,2,0.562,0.25,,,31.05,Wood,FC Clear Lacquer #354 Maple,
354MW,2,0.562,0.25,11.15,15.39,21.55,Wood,WhiteWash #354 Maple,
FC-354MW,2,0.562,0.25,,,31.74,Wood,FC WhiteWash #354 Maple,
354MT,2,0.562,0.25,10.36,14.3,20.02,Wood,White #354 Maple,
FC-354MT,2,0.562,0.25,,,32.43,Wood,FC White #354 Maple,
354MK,2,0.562,0.25,10.36,14.3,20.02,Wood,Satin Black #354 Maple,
FC-354MK,2,0.562,0.25,,,32.43,Wood,FC Satin Black #354 Maple,
354MA,2,0.562,0.25,10.36,14.3,20.02,Wood,Warm White #354 Maple,
FC-354MA,2,0.562,0.25,,,32.43,Wood,FC Warm White #354 Maple,
354MI,2,0.562,0.25,10.36,14.3,20.02,Wood,Rising White #354 Maple,
FC-354MI,2,0.562,0.25,,,32.43,Wood,FC Rising White #354 Maple,
354M1,2,0.562,0.25,10.36,14.3,20.02,Wood,Light Grey #354 Maple,
FC-354M1,2,0.562,0.25,,,32.43,Wood,FC Light Grey #354 Maple,
354M2,2,0.562,0.25,10.36,14.3,20.02,Wood,Medium Grey #354 Maple,
FC-354M2,2,0.562,0.25,,,32.43,Wood,FC Medium Grey #354 Maple,
354M3,2,0.562,0.25,10.36,14.3,20.02,Wood,Dark Grey #354 Maple,
FC-354M3,2,0.562,0.25,,,32.43,Wood,FC Dark Grey #354 Maple,
354M9,2,0.562,0.25,11.15,15.39,21.55,Wood,Wheat #354 Maple,
FC-354M9,2,0.562,0.25,,,32.43,Wood,FC Wheat #354 Maple,
354OR,2,0.562,0.25,5.12,7.07,11.31,Wood,Raw #354 Oak,
FC-354OR,2,0.562,0.25,,,28.38,Wood,FC Raw #354 Oak,
354OF,2,0.562,0.25,8.38,11.56,16.18,Wood,Oil & Wax #354 Oak,
FC-354OF,2,0.562,0.25,,,29.07,Wood,FC Oil & Wax #354 Oak,
354OL,2,0.562,0.25,8.65,11.94,16.72,Wood,Clear Lacquer #354 Oak,
FC-354OL,2,0.562,0.25,,,29.07,Wood,FC Clear Lacquer #354 Oak,
354WR,2,0.562,0.25,11.77,17.18,27.49,Wood,Raw #354 Walnut,
FC-354WR,2,0.562,0.25,,,38.49,Wood,FC Raw #354 Walnut,
354WF,2,0.562,0.25,16.36,23.89,33.45,Wood,Oil & Wax #354 Walnut,
FC-354WF,2,0.562,0.25,,,39.18,Wood,FC Oil & Wax #354 Walnut,
354WP,2,0.562,0.25,17.2,25.11,35.15,Wood,Padauk #354 Walnut,
FC-354WP,2,0.562,0.25,,,39.87,Wood,FC Padauk #354 Walnut,
354WB,2,0.562,0.25,17.2,25.11,35.15,Wood,Special Dark #354 Walnut,
FC-354WB,2,0.562,0.25,,,39.87,Wood,FC Special Dark #354 Walnut,
354WE,2,0.562,0.25,16.36,23.89,33.45,Wood,Ebony #354 Walnut,
FC-354WE,2,0.562,0.25,,,39.87,Wood,FC Ebony #354 Walnut,
354WK,2,0.562,0.25,15.57,22.73,31.82,Wood,Satin Black #354 Walnut,
FC-354WK,2,0.562,0.25,,,39.18,Wood,FC Satin Black #354 Walnut,
354W1,2,0.562,0.25,15.57,22.73,31.82,Wood,Light Grey #354 Walnut,
FC-354W1,2,0.562,0.25,,,39.18,Wood,FC Light Grey #354 Walnut,
354W2,2,0.562,0.25,15.57,22.73,31.82,Wood,Medium Grey #354 Walnut,
FC-354W2,2,0.562,0.25,,,39.18,Wood,FC Medium Grey #354 Walnut,
354W3,2,0.562,0.25,15.57,22.73,31.82,Wood,Dark Grey #354 Walnut,
FC-354W3,2,0.562,0.25,,,39.18,Wood,FC Dark Grey #354 Walnut,
354QR,2,0.562,0.25,10.59,17.47,27.95,Wood,Raw #354 Qtrd W. Oak,
FC-354QR,2,0.562,0.25,,,39.47,Wood,FC Raw #354 Qtrd W. Oak,
354QF,2,0.562,0.25,13.85,22.85,31.99,Wood,Oil & Wax #354 Qtrd W. Oak,
FC-354QF,2,0.562,0.25,,,40.16,Wood,FC Oil & Wax #354 Qtrd W. Oak,
354QL,2,0.562,0.25,14.12,23.3,32.62,Wood,Clear Lacquer #354 Qtrd W. Oak,
FC-354QL,2,0.562,0.25,,,40.16,Wood,FC Clear Lacquer #354 Qtrd W. Oak,
354QC,2,0.562,0.25,16.02,26.43,37,Wood,Charcoal #354 Qtrd W. Oak,
FC-354QC,2,0.562,0.25,,,40.85,Wood,FC Charcoal #354 Qtrd W. Oak,
354QM,2,0.562,0.25,16.02,26.43,37,Wood,Mission #354 Qtrd W. Oak,
FC-354QM,2,0.562,0.25,,,40.85,Wood,FC Mission #354 Qtrd W. Oak,
354Q7,2,0.562,0.25,16.02,26.43,37,Wood,Bleached #354 Qtrd W. Oak,
FC-354Q7,2,0.562,0.25,,,40.85,Wood,FC Bleached #354 Qtrd W. Oak,
520AR,0.5,0.953,0.188,4.18,5.94,9.5,Wood,Raw #520 Ash,
FC-520AR,0.5,0.953,0.188,,,26.57,Wood,FC Raw #520 Ash,
520AF,0.5,0.953,0.188,7.71,10.95,15.33,Wood,Oil & Wax #520 Ash,
FC-520AF,0.5,0.953,0.188,,,27.25,Wood,FC Oil & Wax #520 Ash,
520AL,0.5,0.953,0.188,8.77,12.45,17.43,Wood,Clear Lacquer #520 Ash,
FC-520AL,0.5,0.953,0.188,,,27.25,Wood,FC Clear Lacquer #520 Ash,
520AW,0.5,0.953,0.188,9.88,14.03,19.64,Wood,WhiteWash #520 Ash,
FC-520AW,0.5,0.953,0.188,,,27.94,Wood,FC WhiteWash #520 Ash,
520AT,0.5,0.953,0.188,9.88,14.03,19.64,Wood,White #520 Ash,
FC-520AT,0.5,0.953,0.188,,,29.32,Wood,FC White #520 Ash,
520AK,0.5,0.953,0.188,9.88,14.03,19.64,Wood,Satin Black #520 Ash,
FC-520AK,0.5,0.953,0.188,,,29.32,Wood,FC Satin Black #520 Ash,
520AA,0.5,0.953,0.188,9.88,14.03,19.64,Wood,Warm White #520 Ash,
FC-520AA,0.5,0.953,0.188,,,29.32,Wood,FC Warm White #520 Ash,
520AC,0.5,0.953,0.188,9.88,14.03,19.64,Wood,Charcoal #520 Ash,
FC-520AC,0.5,0.953,0.188,,,29.32,Wood,FC Charcoal #520 Ash,
520AI,0.5,0.953,0.188,9.88,14.03,19.64,Wood,Rising White #520 Ash,
FC-520AI,0.5,0.953,0.188,,,29.32,Wood,FC Rising White #520 Ash,
520A1,0.5,0.953,0.188,9.88,14.03,19.64,Wood,Light Grey #520 Ash,
FC-520A1,0.5,0.953,0.188,,,29.32,Wood,FC Light Grey #520 Ash,
520A2,0.5,0.953,0.188,9.88,14.03,19.64,Wood,Medium Grey #520 Ash,
FC-520A2,0.5,0.953,0.188,,,29.32,Wood,FC Medium Grey #520 Ash,
520A3,0.5,0.953,0.188,9.88,14.03,19.64,Wood,Dark Grey #520 Ash,
FC-520A3,0.5,0.953,0.188,,,29.32,Wood,FC Dark Grey #520 Ash,
520CR,0.5,0.953,0.188,4.42,6.45,10.32,Wood,Raw #520 Cherry,
FC-520CR,0.5,0.953,0.188,,,27.08,Wood,FC Raw #520 Cherry,
520CF,0.5,0.953,0.188,8.22,12,16.8,Wood,Oil & Wax #520 Cherry,
FC-520CF,0.5,0.953,0.188,,,27.76,Wood,FC Oil & Wax #520 Cherry,
520CL,0.5,0.953,0.188,10.12,14.78,20.69,Wood,Clear Lacquer #520 Cherry,
FC-520CL,0.5,0.953,0.188,,,29.14,Wood,FC Clear Lacquer #520 Cherry,
520CG,0.5,0.953,0.188,10.12,14.78,20.69,Wood,Aged #520 Cherry,
FC-520CG,0.5,0.953,0.188,,,29.14,Wood,FC Aged #520 Cherry,
520CQ,0.5,0.953,0.188,10.12,14.78,20.69,Wood,Antique #520 Cherry,
FC-520CQ,0.5,0.953,0.188,,,29.14,Wood,FC Antique #520 Cherry,
520CD,0.5,0.953,0.188,10.12,14.78,20.69,Wood,Black Cherry #520 Cherry,
FC-520CD,0.5,0.953,0.188,,,29.83,Wood,FC Black Cherry #520 Cherry,
520MR,0.5,0.953,0.188,5,6.9,11.04,Wood,Raw #520 Maple,
FC-520MR,0.5,0.953,0.188,,,27.53,Wood,FC Raw #520 Maple,
520MF,0.5,0.953,0.188,8.53,11.77,16.48,Wood,Oil & Wax #520 Maple,
FC-520MF,0.5,0.953,0.188,,,28.21,Wood,FC Oil & Wax #520 Maple,
520ML,0.5,0.953,0.188,8.8,12.14,17,Wood,Clear Lacquer #520 Maple,
FC-520ML,0.5,0.953,0.188,,,28.21,Wood,FC Clear Lacquer #520 Maple,
520MW,0.5,0.953,0.188,10.43,14.39,20.15,Wood,WhiteWash #520 Maple,
FC-520MW,0.5,0.953,0.188,,,28.9,Wood,FC WhiteWash #520 Maple,
520MT,0.5,0.953,0.188,9.59,13.23,18.52,Wood,White #520 Maple,
FC-520MT,0.5,0.953,0.188,,,29.59,Wood,FC White #520 Maple,
520MK,0.5,0.953,0.188,9.59,13.23,18.52,Wood,Satin Black #520 Maple,
FC-520MK,0.5,0.953,0.188,,,29.59,Wood,FC Satin Black #520 Maple,
520MA,0.5,0.953,0.188,9.59,13.23,18.52,Wood,Warm White #520 Maple,
FC-520MA,0.5,0.953,0.188,,,29.59,Wood,FC Warm White #520 Maple,
520MI,0.5,0.953,0.188,9.59,13.23,18.52,Wood,Rising White #520 Maple,
FC-520MI,0.5,0.953,0.188,,,29.59,Wood,FC Rising White #520 Maple,
520M1,0.5,0.953,0.188,8.8,12.14,17,Wood,Light Grey #520 Maple,
FC-520M1,0.5,0.953,0.188,,,29.59,Wood,FC Light Grey #520 Maple,
520M2,0.5,0.953,0.188,8.8,12.14,17,Wood,Medium Grey #520 Maple,
FC-520M2,0.5,0.953,0.188,,,29.59,Wood,FC Medium Grey #520 Maple,
520M3,0.5,0.953,0.188,8.8,12.14,17,Wood,Dark Grey #520 Maple,
FC-520M3,0.5,0.953,0.188,,,29.59,Wood,FC Dark Grey #520 Maple,
520M9,0.5,0.953,0.188,9.59,13.23,18.52,Wood,Wheat #520 Maple,
FC-520M9,0.5,0.953,0.188,,,29.59,Wood,FC Wheat #520 Maple,
520WR,0.5,0.953,0.188,9.25,13.5,21.6,Wood,Raw #520 Walnut,
FC-520WR,0.5,0.953,0.188,,,34.13,Wood,FC Raw #520 Walnut,
520WF,0.5,0.953,0.188,14.68,21.43,30,Wood,Oil & Wax #520 Walnut,
FC-520WF,0.5,0.953,0.188,,,34.81,Wood,FC Oil & Wax #520 Walnut,
520WP,0.5,0.953,0.188,14.95,21.83,30.56,Wood,Padauk #520 Walnut,
FC-520WP,0.5,0.953,0.188,,,35.5,Wood,FC Padauk #520 Walnut,
520WB,0.5,0.953,0.188,14.95,21.83,30.56,Wood,Special Dark #520 Walnut,
FC-520WB,0.5,0.953,0.188,,,35.5,Wood,FC Special Dark #520 Walnut,
520WE,0.5,0.953,0.188,14.68,21.43,30,Wood,Ebony #520 Walnut,
FC-520WE,0.5,0.953,0.188,,,35.5,Wood,FC Ebony #520 Walnut,
520WK,0.5,0.953,0.188,13.84,20.21,28.29,Wood,Satin Black #520 Walnut,
FC-520WK,0.5,0.953,0.188,,,34.81,Wood,FC Satin Black #520 Walnut,
520W1,0.5,0.953,0.188,13.84,20.21,28.29,Wood,Light Grey #520 Walnut,
FC-520W1,0.5,0.953,0.188,,,34.81,Wood,FC Light Grey #520 Walnut,
520W2,0.5,0.953,0.188,13.84,20.21,28.29,Wood,Medium Grey #520 Walnut,
FC-520W2,0.5,0.953,0.188,,,34.81,Wood,FC Medium Grey #520 Walnut,
520W3,0.5,0.953,0.188,13.84,20.21,28.29,Wood,Dark Grey #520 Walnut,
FC-520W3,0.5,0.953,0.188,,,34.81,Wood,FC Dark Grey #520 Walnut,
520VR,0.5,0.953,0.188,6.54,10.79,17.26,Wood,Raw #520 White Oak,
FC-520VR,0.5,0.953,0.188,,,31.42,Wood,FC Raw #520 White Oak,
520VF,0.5,0.953,0.188,9.8,16.17,22.64,Wood,Oil & Wax #520 White Oak,
FC-520VF,0.5,0.953,0.188,,,32.1,Wood,FC Oil & Wax #520 White Oak,
520VL,0.5,0.953,0.188,10.07,16.62,23.27,Wood,Clear Lacquer #520 White Oak,
FC-520VL,0.5,0.953,0.188,,,32.1,Wood,FC Clear Lacquer #520 White Oak,
520VC,0.5,0.953,0.188,11.97,19.75,27.65,Wood,Charcoal #520 White Oak,
FC-520VC,0.5,0.953,0.188,,,32.79,Wood,FC Charcoal #520 White Oak,
520VM,0.5,0.953,0.188,11.97,19.75,27.65,Wood,Mission #520 White Oak,
FC-520VM,0.5,0.953,0.188,,,32.79,Wood,FC Mission #520 White Oak,
520V7,0.5,0.953,0.188,11.97,19.75,27.65,Wood,Bleached #520 White Oak,
FC-520V7,0.5,0.953,0.188,,,32.79,Wood,FC Bleached #520 White Oak,
532AR,0.625,1.141,0.25,4.53,6.43,10.29,Wood,Raw #532 Ash,
FC-532AR,0.625,1.141,0.25,,,27.06,Wood,FC Raw #532 Ash,
532AF,0.625,1.141,0.25,8.06,11.45,16.03,Wood,Oil & Wax #532 Ash,
FC-532AF,0.625,1.141,0.25,,,27.74,Wood,FC Oil & Wax #532 Ash,
532AL,0.625,1.141,0.25,9.12,12.95,18.13,Wood,Clear Lacquer #532 Ash,
FC-532AL,0.625,1.141,0.25,,,27.74,Wood,FC Clear Lacquer #532 Ash,
532AW,0.625,1.141,0.25,10.23,14.53,20.34,Wood,WhiteWash #532 Ash,
FC-532AW,0.625,1.141,0.25,,,28.43,Wood,FC WhiteWash #532 Ash,
532AT,0.625,1.141,0.25,10.23,14.53,20.34,Wood,White #532 Ash,
FC-532AT,0.625,1.141,0.25,,,29.81,Wood,FC White #532 Ash,
532AK,0.625,1.141,0.25,10.23,14.53,20.34,Wood,Satin Black #532 Ash,
FC-532AK,0.625,1.141,0.25,,,29.81,Wood,FC Satin Black #532 Ash,
532AA,0.625,1.141,0.25,10.23,14.53,20.34,Wood,Warm White #532 Ash,
FC-532AA,0.625,1.141,0.25,,,29.81,Wood,FC Warm White #532 Ash,
532AC,0.625,1.141,0.25,10.23,14.53,20.34,Wood,Charcoal #532 Ash,
FC-532AC,0.625,1.141,0.25,,,29.81,Wood,FC Charcoal #532 Ash,
532AI,0.625,1.141,0.25,10.23,14.53,20.34,Wood,Rising White #532 Ash,
FC-532AI,0.625,1.141,0.25,,,29.81,Wood,FC Rising White #532 Ash,
532A1,0.625,1.141,0.25,10.23,14.53,20.34,Wood,Light Grey #532 Ash,
FC-532A1,0.625,1.141,0.25,,,29.81,Wood,FC Light Grey #532 Ash,
532A2,0.625,1.141,0.25,10.23,14.53,20.34,Wood,Medium Grey #532 Ash,
FC-532A2,0.625,1.141,0.25,,,29.81,Wood,FC Medium Grey #532 Ash,
532A3,0.625,1.141,0.25,10.23,14.53,20.34,Wood,Dark Grey #532 Ash,
FC-532A3,0.625,1.141,0.25,,,29.81,Wood,FC Dark Grey #532 Ash,
532CR,0.625,1.141,0.25,4.93,7.2,11.52,Wood,Raw #532 Cherry,
FC-532CR,0.625,1.141,0.25,,,27.83,Wood,FC Raw #532 Cherry,
532CF,0.625,1.141,0.25,8.73,12.75,17.85,Wood,Oil & Wax #532 Cherry,
FC-532CF,0.625,1.141,0.25,,,28.51,Wood,FC Oil & Wax #532 Cherry,
532CL,0.625,1.141,0.25,10.63,15.52,21.73,Wood,Clear Lacquer #532 Cherry,
FC-532CL,0.625,1.141,0.25,,,29.89,Wood,FC Clear Lacquer #532 Cherry,
532CG,0.625,1.141,0.25,10.63,15.52,21.73,Wood,Aged #532 Cherry,
FC-532CG,0.625,1.141,0.25,,,29.89,Wood,FC Aged #532 Cherry,
532CQ,0.625,1.141,0.25,10.63,15.52,21.73,Wood,Antique #532 Cherry,
FC-532CQ,0.625,1.141,0.25,,,29.89,Wood,FC Antique #532 Cherry,
532CD,0.625,1.141,0.25,10.63,15.52,21.73,Wood,Black Cherry #532 Cherry,
FC-532CD,0.625,1.141,0.25,,,30.58,Wood,FC Black Cherry #532 Cherry,
532MR,0.625,1.141,0.25,5.25,7.24,11.58,Wood,Raw #532 Maple,
FC-532MR,0.625,1.141,0.25,,,27.87,Wood,FC Raw #532 Maple,
532MF,0.625,1.141,0.25,8.78,12.12,16.97,Wood,Oil & Wax #532 Maple,
FC-532MF,0.625,1.141,0.25,,,28.55,Wood,FC Oil & Wax #532 Maple,
532ML,0.625,1.141,0.25,9.05,12.49,17.49,Wood,Clear Lacquer #532 Maple,
FC-532ML,0.625,1.141,0.25,,,28.55,Wood,FC Clear Lacquer #532 Maple,
532MW,0.625,1.141,0.25,10.68,14.74,20.64,Wood,WhiteWash #532 Maple,
FC-532MW,0.625,1.141,0.25,,,29.24,Wood,FC WhiteWash #532 Maple,
532MT,0.625,1.141,0.25,9.84,13.58,19.01,Wood,White #532 Maple,
FC-532MT,0.625,1.141,0.25,,,29.93,Wood,FC White #532 Maple,
532MK,0.625,1.141,0.25,9.84,13.58,19.01,Wood,Satin Black #532 Maple,
FC-532MK,0.625,1.141,0.25,,,29.93,Wood,FC Satin Black #532 Maple,
532MA,0.625,1.141,0.25,9.84,13.58,19.01,Wood,Warm White #532 Maple,
FC-532MA,0.625,1.141,0.25,,,29.93,Wood,FC Warm White #532 Maple,
532MI,0.625,1.141,0.25,9.84,13.58,19.01,Wood,Rising White #532 Maple,
FC-532MI,0.625,1.141,0.25,,,29.93,Wood,FC Rising White #532 Maple,
532M1,0.625,1.141,0.25,9.05,12.49,17.49,Wood,Light Grey #532 Maple,
FC-532M1,0.625,1.141,0.25,,,29.93,Wood,FC Light Grey #532 Maple,
532M2,0.625,1.141,0.25,9.05,12.49,17.49,Wood,Medium Grey #532 Maple,
FC-532M2,0.625,1.141,0.25,,,29.93,Wood,FC Medium Grey #532 Maple,
532M3,0.625,1.141,0.25,9.05,12.49,17.49,Wood,Dark Grey #532 Maple,
FC-532M3,0.625,1.141,0.25,,,29.93,Wood,FC Dark Grey #532 Maple,
532M9,0.625,1.141,0.25,9.84,13.58,19.01,Wood,Wheat #532 Maple,
FC-532M9,0.625,1.141,0.25,,,29.93,Wood,FC Wheat #532 Maple,
532WR,0.625,1.141,0.25,9.95,14.53,23.25,Wood,Raw #532 Walnut,
FC-532WR,0.625,1.141,0.25,,,35.16,Wood,FC Raw #532 Walnut,
532WF,0.625,1.141,0.25,15.38,22.45,31.43,Wood,Oil & Wax #532 Walnut,
FC-532WF,0.625,1.141,0.25,,,35.84,Wood,FC Oil & Wax #532 Walnut,
532WP,0.625,1.141,0.25,15.65,22.85,31.99,Wood,Padauk #532 Walnut,
FC-532WP,0.625,1.141,0.25,,,36.53,Wood,FC Padauk #532 Walnut,
532WB,0.625,1.141,0.25,15.65,22.85,31.99,Wood,Special Dark #532 Walnut,
FC-532WB,0.625,1.141,0.25,,,36.53,Wood,FC Special Dark #532 Walnut,
532WE,0.625,1.141,0.25,15.38,22.45,31.43,Wood,Ebony #532 Walnut,
FC-532WE,0.625,1.141,0.25,,,36.53,Wood,FC Ebony #532 Walnut,
532WK,0.625,1.141,0.25,14.54,21.23,29.72,Wood,Satin Black #532 Walnut,
FC-532WK,0.625,1.141,0.25,,,35.84,Wood,FC Satin Black #532 Walnut,
532W1,0.625,1.141,0.25,14.54,21.23,29.72,Wood,Light Grey #532 Walnut,
FC-532W1,0.625,1.141,0.25,,,35.84,Wood,FC Light Grey #532 Walnut,
532W2,0.625,1.141,0.25,14.54,21.23,29.72,Wood,Medium Grey #532 Walnut,
FC-532W2,0.625,1.141,0.25,,,35.84,Wood,FC Medium Grey #532 Walnut,
532W3,0.625,1.141,0.25,14.54,21.23,29.72,Wood,Dark Grey #532 Walnut,
FC-532W3,0.625,1.141,0.25,,,35.84,Wood,FC Dark Grey #532 Walnut,
532VR,0.625,1.141,0.25,6.95,11.47,18.35,Wood,Raw #532 White Oak,
FC-532VR,0.625,1.141,0.25,,,32.1,Wood,FC Raw #532 White Oak,
532VF,0.625,1.141,0.25,10.21,16.85,23.59,Wood,Oil & Wax #532 White Oak,
FC-532VF,0.625,1.141,0.25,,,32.78,Wood,FC Oil & Wax #532 White Oak,
532VL,0.625,1.141,0.25,10.48,17.29,24.21,Wood,Clear Lacquer #532 White Oak,
FC-532VL,0.625,1.141,0.25,,,32.78,Wood,FC Clear Lacquer #532 White Oak,
532VC,0.625,1.141,0.25,12.38,20.43,28.6,Wood,Charcoal #532 White Oak,
FC-532VC,0.625,1.141,0.25,,,33.47,Wood,FC Charcoal #532 White Oak,
532VM,0.625,1.141,0.25,12.38,20.43,28.6,Wood,Mission #532 White Oak,
FC-532VM,0.625,1.141,0.25,,,33.47,Wood,FC Mission #532 White Oak,
532V7,0.625,1.141,0.25,12.38,20.43,28.6,Wood,Bleached #532 White Oak,
FC-532V7,0.625,1.141,0.25,,,33.47,Wood,FC Bleached #532 White Oak,
544AR,0.75,1.328,0.25,5.13,7.28,11.65,Wood,Raw #544 Ash,
FC-544AR,0.75,1.328,0.25,,,27.91,Wood,FC Raw #544 Ash,
544AF,0.75,1.328,0.25,8.66,12.3,17.22,Wood,Oil & Wax #544 Ash,
FC-544AF,0.75,1.328,0.25,,,28.59,Wood,FC Oil & Wax #544 Ash,
544AL,0.75,1.328,0.25,9.72,13.8,19.32,Wood,Clear Lacquer #544 Ash,
FC-544AL,0.75,1.328,0.25,,,28.59,Wood,FC Clear Lacquer #544 Ash,
544AW,0.75,1.328,0.25,10.83,15.38,21.53,Wood,WhiteWash #544 Ash,
FC-544AW,0.75,1.328,0.25,,,29.28,Wood,FC WhiteWash #544 Ash,
544AT,0.75,1.328,0.25,10.83,15.38,21.53,Wood,White #544 Ash,
FC-544AT,0.75,1.328,0.25,,,30.66,Wood,FC White #544 Ash,
544AK,0.75,1.328,0.25,10.83,15.38,21.53,Wood,Satin Black #544 Ash,
FC-544AK,0.75,1.328,0.25,,,30.66,Wood,FC Satin Black #544 Ash,
544AA,0.75,1.328,0.25,10.83,15.38,21.53,Wood,Warm White #544 Ash,
FC-544AA,0.75,1.328,0.25,,,30.66,Wood,FC Warm White #544 Ash,
544AC,0.75,1.328,0.25,10.83,15.38,21.53,Wood,Charcoal #544 Ash,
FC-544AC,0.75,1.328,0.25,,,30.66,Wood,FC Charcoal #544 Ash,
544AI,0.75,1.328,0.25,10.83,15.38,21.53,Wood,Rising White #544 Ash,
FC-544AI,0.75,1.328,0.25,,,30.66,Wood,FC Rising White #544 Ash,
544A1,0.75,1.328,0.25,10.83,15.38,21.53,Wood,Light Grey #544 Ash,
FC-544A1,0.75,1.328,0.25,,,30.66,Wood,FC Light Grey #544 Ash,
544A2,0.75,1.328,0.25,10.83,15.38,21.53,Wood,Medium Grey #544 Ash,
FC-544A2,0.75,1.328,0.25,,,30.66,Wood,FC Medium Grey #544 Ash,
544A3,0.75,1.328,0.25,10.83,15.38,21.53,Wood,Dark Grey #544 Ash,
FC-544A3,0.75,1.328,0.25,,,30.66,Wood,FC Dark Grey #544 Ash,
544CR,0.75,1.328,0.25,5.69,8.31,13.3,Wood,Raw #544 Cherry,
FC-544CR,0.75,1.328,0.25,,,28.94,Wood,FC Raw #544 Cherry,
544CF,0.75,1.328,0.25,9.49,13.86,19.4,Wood,Oil & Wax #544 Cherry,
FC-544CF,0.75,1.328,0.25,,,29.62,Wood,FC Oil & Wax #544 Cherry,
544CL,0.75,1.328,0.25,11.39,16.63,23.28,Wood,Clear Lacquer #544 Cherry,
FC-544CL,0.75,1.328,0.25,,,31,Wood,FC Clear Lacquer #544 Cherry,
544CG,0.75,1.328,0.25,11.39,16.63,23.28,Wood,Aged #544 Cherry,
FC-544CG,0.75,1.328,0.25,,,31,Wood,FC Aged #544 Cherry,
544CQ,0.75,1.328,0.25,11.39,16.63,23.28,Wood,Antique #544 Cherry,
FC-544CQ,0.75,1.328,0.25,,,31,Wood,FC Antique #544 Cherry,
544CD,0.75,1.328,0.25,11.39,16.63,23.28,Wood,Black Cherry #544 Cherry,
FC-544CD,0.75,1.328,0.25,,,31.69,Wood,FC Black Cherry #544 Cherry,
544MR,0.75,1.328,0.25,5.9,8.14,13.02,Wood,Raw #544 Maple,
FC-544MR,0.75,1.328,0.25,,,28.77,Wood,FC Raw #544 Maple,
544MF,0.75,1.328,0.25,9.43,13.01,18.21,Wood,Oil & Wax #544 Maple,
FC-544MF,0.75,1.328,0.25,,,29.45,Wood,FC Oil & Wax #544 Maple,
544ML,0.75,1.328,0.25,9.7,13.39,18.75,Wood,Clear Lacquer #544 Maple,
FC-544ML,0.75,1.328,0.25,,,29.45,Wood,FC Clear Lacquer #544 Maple,
544MW,0.75,1.328,0.25,11.33,15.64,21.9,Wood,WhiteWash #544 Maple,
FC-544MW,0.75,1.328,0.25,,,30.14,Wood,FC WhiteWash #544 Maple,
544MT,0.75,1.328,0.25,10.49,14.48,20.27,Wood,White #544 Maple,
FC-544MT,0.75,1.328,0.25,,,30.83,Wood,FC White #544 Maple,
544MK,0.75,1.328,0.25,10.49,14.48,20.27,Wood,Satin Black #544 Maple,
FC-544MK,0.75,1.328,0.25,,,30.83,Wood,FC Satin Black #544 Maple,
544MA,0.75,1.328,0.25,10.49,14.48,20.27,Wood,Warm White #544 Maple,
FC-544MA,0.75,1.328,0.25,,,30.83,Wood,FC Warm White #544 Maple,
544MI,0.75,1.328,0.25,10.49,14.48,20.27,Wood,Rising White #544 Maple,
FC-544MI,0.75,1.328,0.25,,,30.83,Wood,FC Rising White #544 Maple,
544M1,0.75,1.328,0.25,9.7,13.39,18.75,Wood,Light Grey #544 Maple,
FC-544M1,0.75,1.328,0.25,,,30.83,Wood,FC Light Grey #544 Maple,
544M2,0.75,1.328,0.25,9.7,13.39,18.75,Wood,Medium Grey #544 Maple,
FC-544M2,0.75,1.328,0.25,,,30.83,Wood,FC Medium Grey #544 Maple,
544M3,0.75,1.328,0.25,9.7,13.39,18.75,Wood,Dark Grey #544 Maple,
FC-544M3,0.75,1.328,0.25,,,30.83,Wood,FC Dark Grey #544 Maple,
