ITEM,description,fortybysixty,UPC,cost,group
A4873,ARTIQUE JARDIN 32X40,32x40,720472330961,12.78,Matboard
A4874,ARTIQUE CHALK 32X40,32x40,720472330978,12.78,Matboard
A4875,ARTIQUE COAL 32X40,32x40,720472330985,12.78,Matboard
A4876,ARTIQUE AGAVE 32X40,32x40,720472334679,12.78,Matboard
A4877,ARTIQUE ALOE 32X40,32x40,720472334686,12.78,Matboard
A4878,ARTIQUE LAPIS 32X40,32x40,720472334693,12.78,Matboard
A4879,ARTIQUE LAURA 32X40,32x40,720472334709,12.78,Matboard
A4880,ARTIQUE REED 32X40,32x40,720472334716,12.78,Matboard
A4881,ARTIQUE SEDONA 32X40,32x40,720472334723,12.78,Matboard
A4882,ARTIQUE TALCUM 32X40,32x40,720472334730,12.78,Matboard
A4883,ARTIQUE FRESCO 32X40,32x40,720472334747,12.78,Matboard
A4885,ARTIQUE DUNE 32X40,32x40,720472334761,12.78,Matboard
A4886,ARTIQUE BARLEY 32X40,32x40,720472334778,12.78,Matboard
A4901,ARTIQUE WHITE 32X40,32x40,720472329361,12.78,Matboard
A4902,ARTIQUE OFF WHITE 32X40,32x40,720472329378,12.78,Matboard
A4903,ARTIQUE IVORY 32X40,32x40,720472329385,12.78,Matboard
A4905,ARTIQUE SHALETONE 32X40,32x40,720472329408,12.78,Matboard
A4906,ARTIQUE DEVONSHIRE 32X40,32x40,720472329415,12.78,Matboard
A4907,ARTIQUE TRUE BLACK 32X40,32x40,720472329422,12.78,Matboard
A4908,ARTIQUE SAPPHIRE 32X40,32x40,720472329439,12.78,Matboard
A4909,ARTIQUE ROYAL BLUE 32X40,32x40,720472329446,12.78,Matboard
A4910,ARTIQUE ECRU 32X40,32x40,720472329453,12.78,Matboard
A4911,ARTIQUE LOGANBERRY 32X40,32x40,720472329460,12.78,Matboard
A4912,ARTIQUE ADMIRALTY 32X40,32x40,720472329477,12.78,Matboard
A4913,ARTIQUE EMERALD 32X40,32x40,720472329484,12.78,Matboard
A4914,ARTIQUE HERITAGE BLUE 32X40,32x40,720472329491,12.78,Matboard
A4915,ARTIQUE BERRY RED 32X40,32x40,720472329507,12.78,Matboard
A4916,ARTIQUE MAGNOLIA 32X40,32x40,720472329514,12.78,Matboard
A4917,ARTIQUE LINEN 32X40,32x40,720472329521,12.78,Matboard
A4918,ARTIQUE SNOW WHITE 32X40,32x40,720472329538,12.78,Matboard
