category,item,description, cost , dimensions 
BAINBRIDGE,8086B,BRASS BAND ALPHA PRECIOUS META,  31.50 , 32x40 
BAINBRIDGE,8093B,REAL RED,  31.50 , 32x40 
BAINBRIDGE,8094B,PATRIOT BLUE,  31.50 , 32x40 
BAINBRIDGE,8096B,BRONZE,  31.50 , 32x40 
BAINBRIDGE,8097B,ALUMINUM,  31.50 , 32x40 
BAINBRIDGE,8108B,SHERRY,  24.00 , 32x40 
BAINBRIDGE,8140B,TOPAZ,  29.80 , 32x40 
BAINBRIDGE,8142B,AZURITE,  29.80 , 32x40 
BAINBRIDGE,8151B,PALM,  24.00 , 32x40 
BAINBRIDGE,8153B,JUTE,  24.00 , 32x40 
BAINBRIDGE,8155VB,FIORI,  24.00 , 32x40 
BAINBRIDGE,8156VB,PRATO,  24.00 , 32x40 
BAINBRIDGE,8157VB,VERDE,  24.00 , 32x40 
BAINBRIDGE,8158VB,SOLE,  24.00 , 32x40 
BAINBRIDGE,8159VB,MARE,  24.00 , 32x40 
BAINBRIDGE,8160VB,LUNA,  24.00 , 32x40 
BAINBRIDGE,8162VB,FANGO,  24.00 , 32x40 
BAINBRIDGE,8180VB,MOCHA,  24.00 , 32x40 
BAINBRIDGE,8181VB,MATTE BLACK,  24.00 , 32x40 
BAINBRIDGE,8182VB,RAINFOREST GREEN,  24.00 , 32x40 
BAINBRIDGE,8183VB,DARKEST BLUE,  24.00 , 32x40 
BAINBRIDGE,8189VB,TOASTED ALMOND,  24.00 , 32x40 
BAINBRIDGE,8192B,FIERY RED,  24.00 , 32x40 
BAINBRIDGE,8254B,COWHIDE LEATHER,  31.50 , 32x40 
BAINBRIDGE,8260B,ICE WHITE,  24.00 , 32x40 
BAINBRIDGE,8262B,POLAR WHITE,  24.00 , 32x40 
BAINBRIDGE,8264B,WILD OLIVE,  24.00 , 32x40 
BAINBRIDGE,8265B,TABASCO,  24.00 , 32x40 
BAINBRIDGE,8267B,CRYSTAL BLUE ALPHA,  24.00 , 32x40 
BAINBRIDGE,8268B,MOONROCK ALPHA,  24.00 , 32x40 
BAINBRIDGE,8269B,CLARET ALPHA,  24.00 , 32x40 
BAINBRIDGE,8270B,CLEMENTINE ALPHA,  24.00 , 32x40 
